round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,201.49,201.49
2,0.2826,0.1043,2.3064,196.58,201.49,398.07
3,0.4473,0.1394,2.2772,196.58,201.49,398.07
4,0.4168,0.1719,2.2291,196.58,201.49,398.07
5,0.3855,0.1856,2.2009,196.58,201.49,398.07
6,0.3683,0.1927,2.1848,196.58,201.49,398.07
7,0.3579,0.1984,2.1739,196.58,201.49,398.07
8,0.3504,0.2040,2.1654,196.58,201.49,398.07
9,0.3446,0.2097,2.1581,196.58,201.49,398.07
10,0.3380,0.2140,2.1518,196.58,201.49,398.07
11,0.3323,0.2181,2.1455,196.58,201.49,398.07
12,0.3326,0.2236,2.1395,196.58,201.49,398.07
13,0.3310,0.2286,2.1341,196.58,201.49,398.07
14,0.3313,0.2328,2.1286,196.58,201.49,398.07
15,0.3312,0.2367,2.1229,196.58,201.49,398.07
16,0.3299,0.2400,2.1178,196.58,201.49,398.07
17,0.3285,0.2434,2.1120,196.58,201.49,398.07
18,0.3301,0.2478,2.1061,196.58,201.49,398.07
19,0.3289,0.2520,2.1017,196.58,201.49,398.07
20,0.3318,0.2542,2.0963,196.58,201.49,398.07
21,0.3316,0.2574,2.0911,196.58,201.49,398.07
22,0.3369,0.2603,2.0865,196.58,201.49,398.07
23,0.3392,0.2630,2.0807,196.58,201.49,398.07
24,0.3386,0.2670,2.0758,196.58,201.49,398.07
25,0.3425,0.2693,2.0707,196.58,201.49,398.07
26,0.3409,0.2707,2.0647,196.58,201.49,398.07
27,0.3475,0.2712,2.0610,196.58,201.49,398.07
28,0.3496,0.2714,2.0561,196.58,201.49,398.07
29,0.3489,0.2724,2.0505,196.58,201.49,398.07
30,0.3512,0.2737,2.0459,196.58,201.49,398.07
31,0.3531,0.2738,2.0404,196.58,201.49,398.07
32,0.3515,0.2762,2.0351,196.58,201.49,398.07
33,0.3571,0.2763,2.0309,196.58,201.49,398.07
34,0.3573,0.2771,2.0264,196.58,201.49,398.07
35,0.3599,0.2792,2.0218,196.58,201.49,398.07
36,0.3586,0.2802,2.0170,196.58,201.49,398.07
37,0.3582,0.2811,2.0116,196.58,201.49,398.07
38,0.3632,0.2812,2.0069,196.58,201.49,398.07
39,0.3690,0.2811,2.0027,196.58,201.49,398.07
40,0.3671,0.2791,1.9983,196.58,201.49,398.07
41,0.3645,0.2810,1.9933,196.58,201.49,398.07
42,0.3703,0.2821,1.9890,196.58,201.49,398.07
43,0.3664,0.2831,1.9850,196.58,201.49,398.07
44,0.3722,0.2832,1.9821,196.58,201.49,398.07
45,0.3709,0.2839,1.9760,196.58,201.49,398.07
46,0.3735,0.2840,1.9723,196.58,201.49,398.07
47,0.3771,0.2849,1.9677,196.58,201.49,398.07
48,0.3776,0.2875,1.9625,196.58,201.49,398.07
49,0.3778,0.2894,1.9592,196.58,201.49,398.07
50,0.3795,0.2899,1.9556,196.58,201.49,398.07
51,0.3823,0.2918,1.9503,196.58,201.49,398.07
52,0.3815,0.2896,1.9483,196.58,201.49,398.07
53,0.3836,0.2905,1.9455,196.58,201.49,398.07
54,0.3856,0.2913,1.9420,196.58,201.49,398.07
55,0.3845,0.2912,1.9398,196.58,201.49,398.07
56,0.3838,0.2914,1.9369,196.58,201.49,398.07
57,0.3849,0.2932,1.9324,196.58,201.49,398.07
58,0.3912,0.2939,1.9295,196.58,201.49,398.07
59,0.3880,0.2952,1.9258,196.58,201.49,398.07
60,0.3896,0.2955,1.9210,196.58,201.49,398.07
61,0.3906,0.2976,1.9177,196.58,201.49,398.07
62,0.3897,0.2978,1.9139,196.58,201.49,398.07
63,0.3972,0.2981,1.9128,196.58,201.49,398.07
64,0.3950,0.2982,1.9100,196.58,201.49,398.07
65,0.3955,0.3001,1.9055,196.58,201.49,398.07
66,0.3984,0.2992,1.9033,196.58,201.49,398.07
67,0.4027,0.2974,1.9020,196.58,201.49,398.07
68,0.3958,0.2984,1.8985,196.58,201.49,398.07
69,0.4052,0.2977,1.8984,196.58,201.49,398.07
70,0.4009,0.2986,1.8922,196.58,201.49,398.07
71,0.4012,0.3025,1.8891,196.58,201.49,398.07
72,0.3991,0.3052,1.8862,196.58,201.49,398.07
73,0.4043,0.3054,1.8824,196.58,201.49,398.07
74,0.3974,0.3034,1.8807,196.58,201.49,398.07
75,0.4046,0.3057,1.8800,196.58,201.49,398.07
76,0.4048,0.3081,1.8740,196.58,201.49,398.07
