round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3036,0.00,201.49,201.49
2,0.4977,,2.1214,196.58,201.49,398.07
3,0.5088,,1.4499,196.58,201.49,398.07
4,0.6095,,0.8898,196.58,201.49,398.07
5,0.6832,,0.6986,196.58,201.49,398.07
6,0.7136,,0.6267,196.58,201.49,398.07
7,0.7296,,0.5880,196.58,201.49,398.07
8,0.7414,,0.5625,196.58,201.49,398.07
9,0.7513,,0.5427,196.58,201.49,398.07
10,0.7595,,0.5274,196.58,201.49,398.07
11,0.7657,,0.5145,196.58,201.49,398.07
12,0.7713,,0.5028,196.58,201.49,398.07
13,0.7764,,0.4926,196.58,201.49,398.07
14,0.7800,,0.4835,196.58,201.49,398.07
15,0.7849,,0.4744,196.58,201.49,398.07
16,0.7890,,0.4660,196.58,201.49,398.07
17,0.7937,,0.4564,196.58,201.49,398.07
18,0.7985,,0.4480,196.58,201.49,398.07
19,0.8015,,0.4409,196.58,201.49,398.07
20,0.8049,,0.4346,196.58,201.49,398.07
21,0.8099,,0.4268,196.58,201.49,398.07
22,0.8154,,0.4189,196.58,201.49,398.07
23,0.8171,,0.4147,196.58,201.49,398.07
24,0.8190,,0.4104,196.58,201.49,398.07
25,0.8205,,0.4059,196.58,201.49,398.07
26,0.8235,,0.4014,196.58,201.49,398.07
27,0.8259,,0.3954,196.58,201.49,398.07
28,0.8274,,0.3926,196.58,201.49,398.07
29,0.8300,,0.3875,196.58,201.49,398.07
30,0.8316,,0.3832,196.58,201.49,398.07
31,0.8336,,0.3777,196.58,201.49,398.07
32,0.8361,,0.3734,196.58,201.49,398.07
33,0.8357,,0.3720,196.58,201.49,398.07
34,0.8377,,0.3691,196.58,201.49,398.07
35,0.8402,,0.3632,196.58,201.49,398.07
36,0.8407,,0.3608,196.58,201.49,398.07
37,0.8437,,0.3552,196.58,201.49,398.07
38,0.8443,,0.3531,196.58,201.49,398.07
39,0.8464,,0.3495,196.58,201.49,398.07
40,0.8464,,0.3485,196.58,201.49,398.07
41,0.8492,,0.3426,196.58,201.49,398.07
42,0.8487,,0.3416,196.58,201.49,398.07
43,0.8510,,0.3380,196.58,201.49,398.07
44,0.8518,,0.3356,196.58,201.49,398.07
45,0.8524,,0.3335,196.58,201.49,398.07
46,0.8551,,0.3293,196.58,201.49,398.07
47,0.8552,,0.3279,196.58,201.49,398.07
48,0.8560,,0.3250,196.58,201.49,398.07
49,0.8572,,0.3227,196.58,201.49,398.07
50,0.8590,,0.3193,196.58,201.49,398.07
51,0.8598,,0.3175,196.58,201.49,398.07
52,0.8597,,0.3164,196.58,201.49,398.07
53,0.8618,,0.3137,196.58,201.49,398.07
54,0.8624,,0.3114,196.58,201.49,398.07
55,0.8626,,0.3106,196.58,201.49,398.07
56,0.8632,,0.3086,196.58,201.49,398.07
57,0.8650,,0.3051,196.58,201.49,398.07
58,0.8656,,0.3032,196.58,201.49,398.07
59,0.8664,,0.3021,196.58,201.49,398.07
60,0.8663,,0.3015,196.58,201.49,398.07
61,0.8669,,0.2995,196.58,201.49,398.07
62,0.8688,,0.2969,196.58,201.49,398.07
63,0.8689,,0.2961,196.58,201.49,398.07
64,0.8695,,0.2935,196.58,201.49,398.07
65,0.8703,,0.2913,196.58,201.49,398.07
66,0.8711,,0.2897,196.58,201.49,398.07
67,0.8719,,0.2881,196.58,201.49,398.07
68,0.8715,,0.2872,196.58,201.49,398.07
69,0.8718,,0.2863,196.58,201.49,398.07
70,0.8735,,0.2836,196.58,201.49,398.07
71,0.8725,,0.2840,196.58,201.49,398.07
72,0.8730,,0.2822,196.58,201.49,398.07
73,0.8741,,0.2804,196.58,201.49,398.07
74,0.8756,,0.2779,196.58,201.49,398.07
75,0.8747,,0.2785,196.58,201.49,398.07
76,0.8754,,0.2762,196.58,201.49,398.07
77,0.8753,,0.2769,196.58,201.49,398.07
78,0.8761,,0.2744,196.58,201.49,398.07
79,0.8766,,0.2744,196.58,201.49,398.07
80,0.8768,,0.2718,196.58,201.49,398.07
81,0.8779,,0.2708,196.58,201.49,398.07
82,0.8782,,0.2701,196.58,201.49,398.07
83,0.8785,,0.2679,196.58,201.49,398.07
84,0.8785,,0.2682,196.58,201.49,398.07
85,0.8800,,0.2659,196.58,201.49,398.07
86,0.8792,,0.2660,196.58,201.49,398.07
87,0.8798,,0.2634,196.58,201.49,398.07
88,0.8795,,0.2633,196.58,201.49,398.07
89,0.8801,,0.2628,196.58,201.49,398.07
90,0.8818,,0.2600,196.58,201.49,398.07
91,0.8814,,0.2600,196.58,201.49,398.07
92,0.8836,,0.2563,196.58,201.49,398.07
93,0.8821,,0.2575,196.58,201.49,398.07
94,0.8820,,0.2580,196.58,201.49,398.07
95,0.8830,,0.2559,196.58,201.49,398.07
96,0.8841,,0.2546,196.58,201.49,398.07
97,0.8852,,0.2524,196.58,201.49,398.07
98,0.8836,,0.2523,196.58,201.49,398.07
99,0.8854,,0.2495,196.58,201.49,398.07
100,0.8844,,0.2517,196.58,201.49,398.07
101,0.8852,,0.2493,196.58,201.49,398.07
