round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3036,0.00,201.49,201.49
2,0.4147,,2.1214,196.58,201.49,398.07
3,0.4238,,1.4499,196.58,201.49,398.07
4,0.5063,,0.8898,196.58,201.49,398.07
5,0.5667,,0.6986,196.58,201.49,398.07
6,0.5919,,0.6267,196.58,201.49,398.07
7,0.6061,,0.5881,196.58,201.49,398.07
8,0.6165,,0.5625,196.58,201.49,398.07
9,0.6246,,0.5427,196.58,201.49,398.07
10,0.6308,,0.5274,196.58,201.49,398.07
11,0.6358,,0.5145,196.58,201.49,398.07
12,0.6411,,0.5028,196.58,201.49,398.07
13,0.6454,,0.4926,196.58,201.49,398.07
14,0.6483,,0.4835,196.58,201.49,398.07
15,0.6532,,0.4744,196.58,201.49,398.07
16,0.6563,,0.4660,196.58,201.49,398.07
17,0.6602,,0.4564,196.58,201.49,398.07
18,0.6646,,0.4480,196.58,201.49,398.07
19,0.6664,,0.4409,196.58,201.49,398.07
20,0.6700,,0.4346,196.58,201.49,398.07
21,0.6738,,0.4268,196.58,201.49,398.07
22,0.6776,,0.4189,196.58,201.49,398.07
23,0.6798,,0.4147,196.58,201.49,398.07
24,0.6813,,0.4104,196.58,201.49,398.07
25,0.6826,,0.4059,196.58,201.49,398.07
26,0.6849,,0.4014,196.58,201.49,398.07
27,0.6874,,0.3954,196.58,201.49,398.07
28,0.6889,,0.3926,196.58,201.49,398.07
29,0.6909,,0.3875,196.58,201.49,398.07
30,0.6924,,0.3832,196.58,201.49,398.07
31,0.6948,,0.3777,196.58,201.49,398.07
32,0.6963,,0.3734,196.58,201.49,398.07
33,0.6962,,0.3720,196.58,201.49,398.07
34,0.6973,,0.3691,196.58,201.49,398.07
35,0.7005,,0.3632,196.58,201.49,398.07
36,0.7011,,0.3608,196.58,201.49,398.07
37,0.7031,,0.3552,196.58,201.49,398.07
38,0.7040,,0.3531,196.58,201.49,398.07
39,0.7056,,0.3495,196.58,201.49,398.07
40,0.7054,,0.3485,196.58,201.49,398.07
41,0.7073,,0.3427,196.58,201.49,398.07
42,0.7077,,0.3416,196.58,201.49,398.07
43,0.7095,,0.3380,196.58,201.49,398.07
44,0.7100,,0.3356,196.58,201.49,398.07
45,0.7104,,0.3335,196.58,201.49,398.07
46,0.7116,,0.3293,196.58,201.49,398.07
47,0.7123,,0.3279,196.58,201.49,398.07
48,0.7131,,0.3250,196.58,201.49,398.07
49,0.7141,,0.3228,196.58,201.49,398.07
50,0.7159,,0.3193,196.58,201.49,398.07
51,0.7159,,0.3175,196.58,201.49,398.07
52,0.7164,,0.3165,196.58,201.49,398.07
53,0.7175,,0.3137,196.58,201.49,398.07
54,0.7182,,0.3114,196.58,201.49,398.07
55,0.7183,,0.3106,196.58,201.49,398.07
56,0.7186,,0.3086,196.58,201.49,398.07
57,0.7211,,0.3051,196.58,201.49,398.07
58,0.7219,,0.3032,196.58,201.49,398.07
59,0.7225,,0.3021,196.58,201.49,398.07
60,0.7227,,0.3015,196.58,201.49,398.07
61,0.7226,,0.2995,196.58,201.49,398.07
62,0.7232,,0.2969,196.58,201.49,398.07
63,0.7240,,0.2961,196.58,201.49,398.07
64,0.7247,,0.2935,196.58,201.49,398.07
65,0.7258,,0.2913,196.58,201.49,398.07
66,0.7257,,0.2897,196.58,201.49,398.07
67,0.7264,,0.2881,196.58,201.49,398.07
68,0.7263,,0.2872,196.58,201.49,398.07
69,0.7269,,0.2863,196.58,201.49,398.07
70,0.7282,,0.2836,196.58,201.49,398.07
71,0.7273,,0.2840,196.58,201.49,398.07
72,0.7281,,0.2822,196.58,201.49,398.07
73,0.7293,,0.2804,196.58,201.49,398.07
74,0.7307,,0.2779,196.58,201.49,398.07
75,0.7296,,0.2785,196.58,201.49,398.07
76,0.7302,,0.2763,196.58,201.49,398.07
77,0.7295,,0.2769,196.58,201.49,398.07
78,0.7302,,0.2744,196.58,201.49,398.07
79,0.7305,,0.2744,196.58,201.49,398.07
80,0.7311,,0.2718,196.58,201.49,398.07
81,0.7322,,0.2708,196.58,201.49,398.07
82,0.7326,,0.2701,196.58,201.49,398.07
83,0.7325,,0.2679,196.58,201.49,398.07
84,0.7324,,0.2683,196.58,201.49,398.07
85,0.7333,,0.2659,196.58,201.49,398.07
86,0.7332,,0.2660,196.58,201.49,398.07
87,0.7342,,0.2634,196.58,201.49,398.07
88,0.7341,,0.2633,196.58,201.49,398.07
89,0.7343,,0.2628,196.58,201.49,398.07
90,0.7351,,0.2600,196.58,201.49,398.07
91,0.7348,,0.2600,196.58,201.49,398.07
92,0.7376,,0.2563,196.58,201.49,398.07
93,0.7360,,0.2575,196.58,201.49,398.07
94,0.7355,,0.2580,196.58,201.49,398.07
95,0.7360,,0.2559,196.58,201.49,398.07
96,0.7372,,0.2546,196.58,201.49,398.07
97,0.7378,,0.2524,196.58,201.49,398.07
98,0.7370,,0.2523,196.58,201.49,398.07
99,0.7384,,0.2495,196.58,201.49,398.07
100,0.7374,,0.2517,196.58,201.49,398.07
101,0.7381,,0.2493,196.58,201.49,398.07
