round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,80.59,80.59
2,0.2210,0.1896,2.2099,78.63,80.59,159.23
3,0.2585,0.2399,2.1015,78.63,80.59,159.23
4,0.2738,0.2574,2.0424,78.63,80.59,159.23
5,0.2791,0.2680,1.9942,78.63,80.59,159.23
6,0.2871,0.2784,1.9576,78.63,80.59,159.23
7,0.2940,0.2867,1.9240,78.63,80.59,159.23
8,0.2991,0.2965,1.8920,78.63,80.59,159.23
9,0.3074,0.3045,1.8676,78.63,80.59,159.23
10,0.3155,0.3110,1.8444,78.63,80.59,159.23
11,0.3213,0.3188,1.8267,78.63,80.59,159.23
12,0.3269,0.3259,1.8158,78.63,80.59,159.23
13,0.3343,0.3312,1.8038,78.63,80.59,159.23
14,0.3387,0.3378,1.7902,78.63,80.59,159.23
15,0.3456,0.3460,1.7793,78.63,80.59,159.23
16,0.3508,0.3509,1.7674,78.63,80.59,159.23
17,0.3553,0.3584,1.7622,78.63,80.59,159.23
18,0.3619,0.3635,1.7567,78.63,80.59,159.23
19,0.3657,0.3696,1.7436,78.63,80.59,159.23
20,0.3698,0.3719,1.7453,78.63,80.59,159.23
21,0.3687,0.3744,1.7340,78.63,80.59,159.23
22,0.3759,0.3813,1.7221,78.63,80.59,159.23
23,0.3807,0.3888,1.7105,78.63,80.59,159.23
24,0.3808,0.3912,1.7080,78.63,80.59,159.23
25,0.3927,0.3976,1.6884,78.63,80.59,159.23
26,0.3917,0.3995,1.6917,78.63,80.59,159.23
27,0.4071,0.4094,1.6765,78.63,80.59,159.23
28,0.4013,0.4087,1.6683,78.63,80.59,159.23
29,0.3997,0.4105,1.6633,78.63,80.59,159.23
30,0.4121,0.4199,1.6523,78.63,80.59,159.23
31,0.4163,0.4216,1.6415,78.63,80.59,159.23
32,0.4115,0.4241,1.6300,78.63,80.59,159.23
33,0.4161,0.4273,1.6324,78.63,80.59,159.23
34,0.4209,0.4308,1.6227,78.63,80.59,159.23
35,0.4256,0.4342,1.6227,78.63,80.59,159.23
36,0.4290,0.4376,1.6106,78.63,80.59,159.23
37,0.4283,0.4372,1.6100,78.63,80.59,159.23
38,0.4230,0.4357,1.6113,78.63,80.59,159.23
39,0.4306,0.4417,1.5973,78.63,80.59,159.23
40,0.4396,0.4498,1.5929,78.63,80.59,159.23
41,0.4407,0.4496,1.5881,78.63,80.59,159.23
42,0.4374,0.4510,1.5988,78.63,80.59,159.23
43,0.4451,0.4555,1.5734,78.63,80.59,159.23
44,0.4509,0.4583,1.5658,78.63,80.59,159.23
45,0.4427,0.4552,1.5796,78.63,80.59,159.23
46,0.4492,0.4600,1.5662,78.63,80.59,159.23
47,0.4542,0.4689,1.5550,78.63,80.59,159.23
48,0.4581,0.4688,1.5459,78.63,80.59,159.23
49,0.4577,0.4667,1.5516,78.63,80.59,159.23
50,0.4720,0.4785,1.5355,78.63,80.59,159.23
51,0.4667,0.4819,1.5393,78.63,80.59,159.23
52,0.4681,0.4756,1.5491,78.63,80.59,159.23
53,0.4650,0.4775,1.5343,78.63,80.59,159.23
54,0.4689,0.4848,1.5183,78.63,80.59,159.23
55,0.4725,0.4858,1.5182,78.63,80.59,159.23
56,0.4728,0.4856,1.5209,78.63,80.59,159.23
57,0.4745,0.4871,1.5186,78.63,80.59,159.23
58,0.4717,0.4894,1.5152,78.63,80.59,159.23
59,0.4737,0.4882,1.5264,78.63,80.59,159.23
60,0.4844,0.4940,1.5239,78.63,80.59,159.23
61,0.4858,0.4984,1.4885,78.63,80.59,159.23
62,0.4816,0.4951,1.5023,78.63,80.59,159.23
63,0.4843,0.4941,1.5107,78.63,80.59,159.23
64,0.4998,0.5061,1.4868,78.63,80.59,159.23
65,0.4951,0.4995,1.5045,78.63,80.59,159.23
66,0.5013,0.5081,1.4838,78.63,80.59,159.23
67,0.4906,0.5048,1.4922,78.63,80.59,159.23
68,0.4946,0.5086,1.4925,78.63,80.59,159.23
69,0.4979,0.5081,1.4851,78.63,80.59,159.23
70,0.4984,0.5052,1.4824,78.63,80.59,159.23
71,0.4997,0.5118,1.4893,78.63,80.59,159.23
72,0.5119,0.5158,1.4602,78.63,80.59,159.23
73,0.5042,0.5113,1.4840,78.63,80.59,159.23
74,0.5198,0.5239,1.4594,78.63,80.59,159.23
75,0.4990,0.5125,1.4864,78.63,80.59,159.23
76,0.5092,0.5163,1.4722,78.63,80.59,159.23
77,0.5190,0.5250,1.4539,78.63,80.59,159.23
78,0.5148,0.5204,1.4610,78.63,80.59,159.23
79,0.5026,0.5107,1.4980,78.63,80.59,159.23
80,0.5221,0.5259,1.4462,78.63,80.59,159.23
81,0.5261,0.5294,1.4552,78.63,80.59,159.23
82,0.5313,0.5318,1.4421,78.63,80.59,159.23
83,0.5237,0.5311,1.4328,78.63,80.59,159.23
84,0.5297,0.5327,1.4414,78.63,80.59,159.23
85,0.5271,0.5319,1.4503,78.63,80.59,159.23
86,0.5252,0.5345,1.4510,78.63,80.59,159.23
87,0.5274,0.5382,1.4416,78.63,80.59,159.23
88,0.5231,0.5265,1.4561,78.63,80.59,159.23
89,0.5255,0.5352,1.4417,78.63,80.59,159.23
90,0.5345,0.5376,1.4266,78.63,80.59,159.23
91,0.5260,0.5330,1.4475,78.63,80.59,159.23
92,0.5222,0.5266,1.4839,78.63,80.59,159.23
93,0.5244,0.5360,1.4620,78.63,80.59,159.23
94,0.5353,0.5419,1.4337,78.63,80.59,159.23
95,0.5405,0.5426,1.4353,78.63,80.59,159.23
96,0.5300,0.5426,1.4373,78.63,80.59,159.23
97,0.5361,0.5451,1.4181,78.63,80.59,159.23
98,0.5455,0.5468,1.4408,78.63,80.59,159.23
99,0.5413,0.5473,1.4421,78.63,80.59,159.23
100,0.5434,0.5482,1.4294,78.63,80.59,159.23
101,0.5381,0.5417,1.4306,78.63,80.59,159.23
