round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,80.59,80.59
2,0.4216,0.1185,2.2298,78.63,80.59,159.23
3,0.3783,0.1445,2.1731,78.63,80.59,159.23
4,0.3586,0.1645,2.1637,78.63,80.59,159.23
5,0.3499,0.1814,2.1537,78.63,80.59,159.23
6,0.3441,0.1957,2.1437,78.63,80.59,159.23
7,0.3446,0.2094,2.1301,78.63,80.59,159.23
8,0.3459,0.2153,2.1190,78.63,80.59,159.23
9,0.3457,0.2213,2.1068,78.63,80.59,159.23
10,0.3496,0.2285,2.0954,78.63,80.59,159.23
11,0.3542,0.2346,2.0858,78.63,80.59,159.23
12,0.3561,0.2387,2.0756,78.63,80.59,159.23
13,0.3586,0.2487,2.0634,78.63,80.59,159.23
14,0.3650,0.2517,2.0540,78.63,80.59,159.23
15,0.3687,0.2537,2.0455,78.63,80.59,159.23
16,0.3707,0.2584,2.0366,78.63,80.59,159.23
17,0.3622,0.2663,2.0240,78.63,80.59,159.23
18,0.3578,0.2725,2.0159,78.63,80.59,159.23
19,0.3658,0.2740,2.0077,78.63,80.59,159.23
20,0.3682,0.2767,2.0001,78.63,80.59,159.23
21,0.3786,0.2821,1.9947,78.63,80.59,159.23
22,0.3630,0.2864,1.9807,78.63,80.59,159.23
23,0.3661,0.2898,1.9733,78.63,80.59,159.23
24,0.3659,0.2896,1.9666,78.63,80.59,159.23
25,0.3770,0.2919,1.9648,78.63,80.59,159.23
26,0.3883,0.2920,1.9601,78.63,80.59,159.23
27,0.3729,0.3017,1.9439,78.63,80.59,159.23
28,0.3843,0.3002,1.9373,78.63,80.59,159.23
29,0.3839,0.3047,1.9268,78.63,80.59,159.23
30,0.3822,0.3048,1.9239,78.63,80.59,159.23
31,0.3845,0.3082,1.9162,78.63,80.59,159.23
32,0.3945,0.3047,1.9180,78.63,80.59,159.23
33,0.3878,0.3071,1.9073,78.63,80.59,159.23
34,0.3911,0.3123,1.8966,78.63,80.59,159.23
35,0.4055,0.3117,1.8966,78.63,80.59,159.23
36,0.4007,0.3117,1.8967,78.63,80.59,159.23
37,0.4113,0.3100,1.8913,78.63,80.59,159.23
38,0.4033,0.3158,1.8782,78.63,80.59,159.23
39,0.4014,0.3210,1.8694,78.63,80.59,159.23
40,0.4020,0.3223,1.8640,78.63,80.59,159.23
41,0.4196,0.3221,1.8615,78.63,80.59,159.23
42,0.4043,0.3256,1.8552,78.63,80.59,159.23
43,0.4208,0.3196,1.8558,78.63,80.59,159.23
44,0.4123,0.3225,1.8509,78.63,80.59,159.23
45,0.4285,0.3264,1.8434,78.63,80.59,159.23
46,0.4221,0.3307,1.8335,78.63,80.59,159.23
47,0.4188,0.3262,1.8327,78.63,80.59,159.23
48,0.4380,0.3188,1.8418,78.63,80.59,159.23
49,0.4331,0.3289,1.8276,78.63,80.59,159.23
50,0.4254,0.3391,1.8065,78.63,80.59,159.23
51,0.4383,0.3234,1.8223,78.63,80.59,159.23
52,0.4412,0.3269,1.8161,78.63,80.59,159.23
53,0.4430,0.3323,1.8007,78.63,80.59,159.23
54,0.4509,0.3312,1.8051,78.63,80.59,159.23
55,0.4500,0.3381,1.7906,78.63,80.59,159.23
56,0.4419,0.3428,1.7820,78.63,80.59,159.23
57,0.4659,0.3325,1.7871,78.63,80.59,159.23
58,0.4659,0.3342,1.7752,78.63,80.59,159.23
59,0.4710,0.3369,1.7717,78.63,80.59,159.23
60,0.4817,0.3389,1.7584,78.63,80.59,159.23
61,0.4903,0.3328,1.7564,78.63,80.59,159.23
62,0.4953,0.3376,1.7478,78.63,80.59,159.23
63,0.5026,0.3471,1.7332,78.63,80.59,159.23
64,0.5266,0.3255,1.7382,78.63,80.59,159.23
65,0.5440,0.3335,1.7073,78.63,80.59,159.23
66,0.5753,0.3205,1.6953,78.63,80.59,159.23
67,0.5984,0.3178,1.6678,78.63,80.59,159.23
68,0.6457,0.3089,1.6350,78.63,80.59,159.23
69,0.6958,0.3123,1.5795,78.63,80.59,159.23
70,0.7576,0.2727,1.5010,78.63,80.59,159.23
71,0.8062,0.2185,1.3537,78.63,80.59,159.23
72,0.8482,0.1700,0.9768,78.63,80.59,159.23
73,0.8328,0.1667,0.3546,78.63,80.59,159.23
74,0.8498,0.1701,0.3203,78.63,80.59,159.23
75,0.8689,0.1737,0.2951,78.63,80.59,159.23
76,0.8580,0.1716,0.3094,78.63,80.59,159.23
77,0.8593,0.1716,0.3079,78.63,80.59,159.23
78,0.8709,0.1741,0.2896,78.63,80.59,159.23
79,0.8586,0.1714,0.3038,78.63,80.59,159.23
80,0.8651,0.1731,0.2899,78.63,80.59,159.23
81,0.8796,0.1759,0.2715,78.63,80.59,159.23
82,0.8717,0.1747,0.2799,78.63,80.59,159.23
83,0.8832,0.1766,0.2636,78.63,80.59,159.23
84,0.8758,0.1751,0.2715,78.63,80.59,159.23
85,0.8841,0.1767,0.2602,78.63,80.59,159.23
86,0.8751,0.1745,0.2785,78.63,80.59,159.23
87,0.8829,0.1768,0.2615,78.63,80.59,159.23
88,0.8800,0.1760,0.2681,78.63,80.59,159.23
89,0.8918,0.1783,0.2462,78.63,80.59,159.23
90,0.8924,0.1782,0.2482,78.63,80.59,159.23
91,0.8874,0.1776,0.2512,78.63,80.59,159.23
92,0.8858,0.1769,0.2533,78.63,80.59,159.23
93,0.8863,0.1771,0.2539,78.63,80.59,159.23
94,0.8887,0.1775,0.2531,78.63,80.59,159.23
95,0.8870,0.1773,0.2524,78.63,80.59,159.23
96,0.8917,0.1782,0.2462,78.63,80.59,159.23
97,0.8673,0.1733,0.2820,78.63,80.59,159.23
98,0.8866,0.1774,0.2538,78.63,80.59,159.23
99,0.8968,0.1794,0.2350,78.63,80.59,159.23
100,0.8967,0.1793,0.2345,78.63,80.59,159.23
101,0.8958,0.1786,0.2391,78.63,80.59,159.23
