round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3030,0.00,201.49,201.49
2,0.2343,,2.3085,196.58,201.49,398.07
3,0.2702,,2.2881,196.58,201.49,398.07
4,0.3002,,2.2462,196.58,201.49,398.07
5,0.3041,,2.2210,196.58,201.49,398.07
6,0.3068,,2.2058,196.58,201.49,398.07
7,0.3080,,2.1946,196.58,201.49,398.07
8,0.3064,,2.1851,196.58,201.49,398.07
9,0.3035,,2.1768,196.58,201.49,398.07
10,0.3019,,2.1691,196.58,201.49,398.07
11,0.3006,,2.1620,196.58,201.49,398.07
12,0.2954,,2.1549,196.58,201.49,398.07
13,0.2924,,2.1483,196.58,201.49,398.07
14,0.2940,,2.1420,196.58,201.49,398.07
15,0.2935,,2.1359,196.58,201.49,398.07
16,0.2957,,2.1298,196.58,201.49,398.07
17,0.2977,,2.1237,196.58,201.49,398.07
18,0.3006,,2.1181,196.58,201.49,398.07
19,0.3009,,2.1126,196.58,201.49,398.07
20,0.3008,,2.1073,196.58,201.49,398.07
21,0.3027,,2.1020,196.58,201.49,398.07
22,0.3062,,2.0969,196.58,201.49,398.07
23,0.3092,,2.0917,196.58,201.49,398.07
24,0.3111,,2.0866,196.58,201.49,398.07
25,0.3161,,2.0818,196.58,201.49,398.07
26,0.3151,,2.0765,196.58,201.49,398.07
27,0.3191,,2.0711,196.58,201.49,398.07
28,0.3217,,2.0666,196.58,201.49,398.07
29,0.3257,,2.0616,196.58,201.49,398.07
30,0.3292,,2.0563,196.58,201.49,398.07
31,0.3350,,2.0520,196.58,201.49,398.07
32,0.3370,,2.0466,196.58,201.49,398.07
33,0.3403,,2.0418,196.58,201.49,398.07
34,0.3407,,2.0372,196.58,201.49,398.07
35,0.3419,,2.0317,196.58,201.49,398.07
36,0.3418,,2.0263,196.58,201.49,398.07
37,0.3455,,2.0221,196.58,201.49,398.07
38,0.3473,,2.0181,196.58,201.49,398.07
39,0.3516,,2.0127,196.58,201.49,398.07
40,0.3490,,2.0071,196.58,201.49,398.07
41,0.3521,,2.0039,196.58,201.49,398.07
42,0.3516,,1.9986,196.58,201.49,398.07
43,0.3502,,1.9942,196.58,201.49,398.07
44,0.3551,,1.9897,196.58,201.49,398.07
45,0.3559,,1.9843,196.58,201.49,398.07
46,0.3635,,1.9807,196.58,201.49,398.07
47,0.3646,,1.9779,196.58,201.49,398.07
48,0.3647,,1.9726,196.58,201.49,398.07
49,0.3649,,1.9703,196.58,201.49,398.07
50,0.3671,,1.9658,196.58,201.49,398.07
51,0.3703,,1.9627,196.58,201.49,398.07
52,0.3696,,1.9603,196.58,201.49,398.07
53,0.3713,,1.9568,196.58,201.49,398.07
54,0.3717,,1.9521,196.58,201.49,398.07
55,0.3706,,1.9472,196.58,201.49,398.07
56,0.3724,,1.9463,196.58,201.49,398.07
57,0.3728,,1.9421,196.58,201.49,398.07
58,0.3707,,1.9388,196.58,201.49,398.07
59,0.3710,,1.9339,196.58,201.49,398.07
60,0.3781,,1.9323,196.58,201.49,398.07
61,0.3765,,1.9299,196.58,201.49,398.07
62,0.3773,,1.9292,196.58,201.49,398.07
63,0.3790,,1.9267,196.58,201.49,398.07
64,0.3808,,1.9237,196.58,201.49,398.07
65,0.3778,,1.9190,196.58,201.49,398.07
66,0.3750,,1.9147,196.58,201.49,398.07
67,0.3799,,1.9145,196.58,201.49,398.07
68,0.3791,,1.9130,196.58,201.49,398.07
69,0.3771,,1.9118,196.58,201.49,398.07
70,0.3757,,1.9057,196.58,201.49,398.07
71,0.3825,,1.9004,196.58,201.49,398.07
72,0.3835,,1.8991,196.58,201.49,398.07
73,0.3814,,1.8971,196.58,201.49,398.07
74,0.3790,,1.8990,196.58,201.49,398.07
75,0.3859,,1.8947,196.58,201.49,398.07
76,0.3828,,1.8916,196.58,201.49,398.07
77,0.3832,,1.8892,196.58,201.49,398.07
78,0.3833,,1.8823,196.58,201.49,398.07
79,0.3820,,1.8800,196.58,201.49,398.07
80,0.3881,,1.8783,196.58,201.49,398.07
81,0.3878,,1.8765,196.58,201.49,398.07
82,0.3928,,1.8792,196.58,201.49,398.07
83,0.3887,,1.8756,196.58,201.49,398.07
84,0.3880,,1.8739,196.58,201.49,398.07
85,0.3879,,1.8691,196.58,201.49,398.07
86,0.3968,,1.8715,196.58,201.49,398.07
87,0.3936,,1.8724,196.58,201.49,398.07
88,0.3914,,1.8681,196.58,201.49,398.07
89,0.3903,,1.8638,196.58,201.49,398.07
90,0.3911,,1.8591,196.58,201.49,398.07
91,0.3912,,1.8598,196.58,201.49,398.07
92,0.3910,,1.8540,196.58,201.49,398.07
93,0.3925,,1.8535,196.58,201.49,398.07
94,0.3924,,1.8486,196.58,201.49,398.07
95,0.3940,,1.8495,196.58,201.49,398.07
96,0.3996,,1.8508,196.58,201.49,398.07
97,0.3957,,1.8489,196.58,201.49,398.07
98,0.3981,,1.8475,196.58,201.49,398.07
99,0.3942,,1.8438,196.58,201.49,398.07
100,0.3983,,1.8407,196.58,201.49,398.07
101,0.4031,,1.8392,196.58,201.49,398.07
