round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1001,,2.3032,0.00,201.49,201.49
2,0.1989,,2.3063,196.58,201.49,398.07
3,0.3042,,2.2769,196.58,201.49,398.07
4,0.3023,,2.2291,196.58,201.49,398.07
5,0.2926,,2.2004,196.58,201.49,398.07
6,0.2871,,2.1848,196.58,201.49,398.07
7,0.2839,,2.1734,196.58,201.49,398.07
8,0.2820,,2.1654,196.58,201.49,398.07
9,0.2810,,2.1583,196.58,201.49,398.07
10,0.2814,,2.1517,196.58,201.49,398.07
11,0.2821,,2.1455,196.58,201.49,398.07
12,0.2837,,2.1398,196.58,201.49,398.07
13,0.2858,,2.1339,196.58,201.49,398.07
14,0.2868,,2.1286,196.58,201.49,398.07
15,0.2872,,2.1232,196.58,201.49,398.07
16,0.2882,,2.1180,196.58,201.49,398.07
17,0.2901,,2.1122,196.58,201.49,398.07
18,0.2910,,2.1067,196.58,201.49,398.07
19,0.2938,,2.1013,196.58,201.49,398.07
20,0.2958,,2.0958,196.58,201.49,398.07
21,0.2956,,2.0904,196.58,201.49,398.07
22,0.2981,,2.0857,196.58,201.49,398.07
23,0.3008,,2.0811,196.58,201.49,398.07
24,0.3016,,2.0763,196.58,201.49,398.07
25,0.3020,,2.0707,196.58,201.49,398.07
26,0.3042,,2.0655,196.58,201.49,398.07
27,0.3064,,2.0612,196.58,201.49,398.07
28,0.3102,,2.0558,196.58,201.49,398.07
29,0.3116,,2.0516,196.58,201.49,398.07
30,0.3112,,2.0464,196.58,201.49,398.07
31,0.3140,,2.0415,196.58,201.49,398.07
32,0.3145,,2.0373,196.58,201.49,398.07
33,0.3159,,2.0319,196.58,201.49,398.07
34,0.3164,,2.0266,196.58,201.49,398.07
35,0.3191,,2.0217,196.58,201.49,398.07
36,0.3191,,2.0175,196.58,201.49,398.07
37,0.3201,,2.0134,196.58,201.49,398.07
38,0.3215,,2.0083,196.58,201.49,398.07
39,0.3216,,2.0031,196.58,201.49,398.07
40,0.3233,,1.9978,196.58,201.49,398.07
41,0.3235,,1.9945,196.58,201.49,398.07
42,0.3262,,1.9907,196.58,201.49,398.07
43,0.3263,,1.9854,196.58,201.49,398.07
44,0.3281,,1.9824,196.58,201.49,398.07
45,0.3283,,1.9768,196.58,201.49,398.07
46,0.3308,,1.9714,196.58,201.49,398.07
47,0.3319,,1.9659,196.58,201.49,398.07
48,0.3317,,1.9634,196.58,201.49,398.07
49,0.3323,,1.9583,196.58,201.49,398.07
50,0.3346,,1.9537,196.58,201.49,398.07
51,0.3368,,1.9511,196.58,201.49,398.07
52,0.3371,,1.9484,196.58,201.49,398.07
53,0.3376,,1.9468,196.58,201.49,398.07
54,0.3382,,1.9407,196.58,201.49,398.07
55,0.3403,,1.9380,196.58,201.49,398.07
56,0.3401,,1.9359,196.58,201.49,398.07
57,0.3414,,1.9300,196.58,201.49,398.07
58,0.3406,,1.9270,196.58,201.49,398.07
59,0.3448,,1.9242,196.58,201.49,398.07
60,0.3444,,1.9201,196.58,201.49,398.07
61,0.3452,,1.9189,196.58,201.49,398.07
62,0.3432,,1.9153,196.58,201.49,398.07
63,0.3470,,1.9143,196.58,201.49,398.07
64,0.3449,,1.9080,196.58,201.49,398.07
65,0.3478,,1.9053,196.58,201.49,398.07
66,0.3495,,1.9038,196.58,201.49,398.07
67,0.3504,,1.8968,196.58,201.49,398.07
68,0.3510,,1.8990,196.58,201.49,398.07
69,0.3523,,1.8955,196.58,201.49,398.07
70,0.3512,,1.8956,196.58,201.49,398.07
71,0.3514,,1.8891,196.58,201.49,398.07
72,0.3538,,1.8861,196.58,201.49,398.07
73,0.3521,,1.8856,196.58,201.49,398.07
74,0.3551,,1.8829,196.58,201.49,398.07
75,0.3557,,1.8781,196.58,201.49,398.07
76,0.3552,,1.8779,196.58,201.49,398.07
77,0.3562,,1.8750,196.58,201.49,398.07
78,0.3568,,1.8709,196.58,201.49,398.07
79,0.3588,,1.8707,196.58,201.49,398.07
80,0.3574,,1.8680,196.58,201.49,398.07
81,0.3592,,1.8653,196.58,201.49,398.07
82,0.3613,,1.8642,196.58,201.49,398.07
83,0.3612,,1.8660,196.58,201.49,398.07
84,0.3602,,1.8646,196.58,201.49,398.07
85,0.3594,,1.8538,196.58,201.49,398.07
86,0.3615,,1.8539,196.58,201.49,398.07
87,0.3639,,1.8545,196.58,201.49,398.07
88,0.3629,,1.8527,196.58,201.49,398.07
89,0.3593,,1.8460,196.58,201.49,398.07
90,0.3643,,1.8373,196.58,201.49,398.07
91,0.3631,,1.8385,196.58,201.49,398.07
92,0.3640,,1.8364,196.58,201.49,398.07
93,0.3676,,1.8384,196.58,201.49,398.07
94,0.3646,,1.8338,196.58,201.49,398.07
95,0.3672,,1.8375,196.58,201.49,398.07
96,0.3667,,1.8331,196.58,201.49,398.07
97,0.3658,,1.8297,196.58,201.49,398.07
98,0.3662,,1.8223,196.58,201.49,398.07
99,0.3696,,1.8261,196.58,201.49,398.07
100,0.3695,,1.8231,196.58,201.49,398.07
101,0.3697,,1.8209,196.58,201.49,398.07
