round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.2062,0.1055,2.1682,0.2062,0.1055,2.1682,78.63,78.63,157.27
3,0.2087,0.1060,2.1602,0.2087,0.1060,2.1602,78.63,78.63,157.27
4,0.2063,0.1063,2.1679,0.2063,0.1063,2.1679,78.63,78.63,157.27
5,0.2043,0.1069,2.1764,0.2043,0.1069,2.1764,78.63,78.63,157.27
6,0.2061,0.1066,2.1564,0.2061,0.1066,2.1564,78.63,78.63,157.27
7,0.2067,0.1066,2.1658,0.2067,0.1066,2.1658,78.63,78.63,157.27
8,0.2068,0.1071,2.1806,0.2068,0.1071,2.1806,78.63,78.63,157.27
9,0.2043,0.1074,2.1731,0.2043,0.1074,2.1731,78.63,78.63,157.27
10,0.2044,0.1062,2.1696,0.2044,0.1062,2.1696,78.63,78.63,157.27
11,0.2059,0.1074,2.1741,0.2059,0.1074,2.1741,78.63,78.63,157.27
12,0.2090,0.1068,2.1702,0.2090,0.1068,2.1702,78.63,78.63,157.27
13,0.2053,0.1065,2.1781,0.2053,0.1065,2.1781,78.63,78.63,157.27
14,0.2060,0.1061,2.1742,0.2060,0.1061,2.1742,78.63,78.63,157.27
15,0.2069,0.1064,2.1718,0.2069,0.1064,2.1718,78.63,78.63,157.27
16,0.2058,0.1068,2.1732,0.2058,0.1068,2.1732,78.63,78.63,157.27
17,0.2071,0.1054,2.1755,0.2071,0.1054,2.1755,78.63,78.63,157.27
18,0.2090,0.1061,2.1678,0.2090,0.1061,2.1678,78.63,78.63,157.27
19,0.2070,0.1063,2.1692,0.2070,0.1063,2.1692,78.63,78.63,157.27
20,0.2043,0.1072,2.1760,0.2043,0.1072,2.1760,78.63,78.63,157.27
21,0.2056,0.1067,2.1700,0.2056,0.1067,2.1700,78.63,78.63,157.27
