round,global_local_test_acc,global_global_test_acc,global_train_loss,global_id_test_acc,global_ood_test_acc,global_id_test_count,global_ood_test_count,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,personalized_id_test_acc,personalized_ood_test_acc,personalized_id_test_count,personalized_ood_test_count,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,0.1000,,2.3019,,,,,0.00,117.95,117.95
2,0.1088,,2.2081,,,,,0.1466,,0.8513,,,,,117.95,117.95,235.90
3,0.1161,,2.2206,,,,,0.1550,,0.8091,,,,,117.95,117.95,235.90
4,0.1154,,2.2248,,,,,0.1553,,0.8114,,,,,117.95,117.95,235.90
5,0.1151,,2.2286,,,,,0.1540,,0.8076,,,,,117.95,117.95,235.90
6,0.1154,,2.2295,,,,,0.1547,,0.8024,,,,,117.95,117.95,235.90
7,0.1156,,2.2334,,,,,0.1572,,0.7939,,,,,117.95,117.95,235.90
8,0.1158,,2.2348,,,,,0.1557,,0.8025,,,,,117.95,117.95,235.90
9,0.1164,,2.2359,,,,,0.1561,,0.7996,,,,,117.95,117.95,235.90
10,0.1149,,2.2370,,,,,0.1571,,0.7952,,,,,117.95,117.95,235.90
11,0.1151,,2.2371,,,,,0.1539,,0.8208,,,,,117.95,117.95,235.90
12,0.1162,,2.2386,,,,,0.1557,,0.8099,,,,,117.95,117.95,235.90
13,0.1156,,2.2390,,,,,0.1565,,0.7956,,,,,117.95,117.95,235.90
14,0.1143,,2.2409,,,,,0.1568,,0.7959,,,,,117.95,117.95,235.90
15,0.1154,,2.2409,,,,,0.1569,,0.7984,,,,,117.95,117.95,235.90
16,0.1155,,2.2420,,,,,0.1561,,0.7975,,,,,117.95,117.95,235.90
17,0.1158,,2.2406,,,,,0.1568,,0.7995,,,,,117.95,117.95,235.90
18,0.1145,,2.2410,,,,,0.1577,,0.7978,,,,,117.95,117.95,235.90
19,0.1148,,2.2421,,,,,0.1548,,0.8170,,,,,117.95,117.95,235.90
20,0.1155,,2.2417,,,,,0.1581,,0.7881,,,,,117.95,117.95,235.90
21,0.1149,,2.2421,,,,,0.1564,,0.7948,,,,,117.95,117.95,235.90
22,0.1159,,2.2397,,,,,0.1578,,0.7932,,,,,117.95,117.95,235.90
23,0.1152,,2.2415,,,,,0.1562,,0.7959,,,,,117.95,117.95,235.90
24,0.1151,,2.2425,,,,,0.1549,,0.8092,,,,,117.95,117.95,235.90
25,0.1151,,2.2411,,,,,0.1575,,0.7909,,,,,117.95,117.95,235.90
26,0.1154,,2.2427,,,,,0.1540,,0.8159,,,,,117.95,117.95,235.90
27,0.1154,,2.2427,,,,,0.1566,,0.8083,,,,,117.95,117.95,235.90
28,0.1158,,2.2431,,,,,0.1555,,0.8039,,,,,117.95,117.95,235.90
29,0.1150,,2.2406,,,,,0.1587,,0.7866,,,,,117.95,117.95,235.90
30,0.1153,,2.2415,,,,,0.1552,,0.8043,,,,,117.95,117.95,235.90
31,0.1150,,2.2434,,,,,0.1589,,0.7811,,,,,117.95,117.95,235.90
32,0.1157,,2.2445,,,,,0.1549,,0.8094,,,,,117.95,117.95,235.90
33,0.1150,,2.2433,,,,,0.1602,,0.7774,,,,,117.95,117.95,235.90
