round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.2281,0.1099,2.1888,0.2281,0.1099,2.1888,78.63,78.63,157.27
3,0.2255,0.1098,2.1924,0.2255,0.1098,2.1924,78.63,78.63,157.27
4,0.2253,0.1092,2.1915,0.2253,0.1092,2.1915,78.63,78.63,157.27
5,0.2286,0.1097,2.1916,0.2286,0.1097,2.1916,78.63,78.63,157.27
6,0.2295,0.1099,2.1878,0.2295,0.1099,2.1878,78.63,78.63,157.27
7,0.2251,0.1094,2.1926,0.2251,0.1094,2.1926,78.63,78.63,157.27
8,0.2237,0.1092,2.1953,0.2237,0.1092,2.1953,78.63,78.63,157.27
9,0.2273,0.1095,2.1950,0.2273,0.1095,2.1950,78.63,78.63,157.27
10,0.2287,0.1096,2.1903,0.2287,0.1096,2.1903,78.63,78.63,157.27
11,0.2270,0.1096,2.1925,0.2270,0.1096,2.1925,78.63,78.63,157.27
12,0.2252,0.1094,2.1918,0.2252,0.1094,2.1918,78.63,78.63,157.27
13,0.2259,0.1094,2.1928,0.2259,0.1094,2.1928,78.63,78.63,157.27
14,0.2285,0.1095,2.1902,0.2285,0.1095,2.1902,78.63,78.63,157.27
15,0.2266,0.1096,2.1894,0.2266,0.1096,2.1894,78.63,78.63,157.27
16,0.2273,0.1097,2.1917,0.2273,0.1097,2.1917,78.63,78.63,157.27
17,0.2256,0.1091,2.1892,0.2256,0.1091,2.1892,78.63,78.63,157.27
18,0.2276,0.1093,2.1906,0.2276,0.1093,2.1906,78.63,78.63,157.27
19,0.2274,0.1091,2.1928,0.2274,0.1091,2.1928,78.63,78.63,157.27
20,0.2290,0.1098,2.1873,0.2290,0.1098,2.1873,78.63,78.63,157.27
21,0.2230,0.1092,2.1924,0.2230,0.1092,2.1924,78.63,78.63,157.27
22,0.2266,0.1096,2.1907,0.2266,0.1096,2.1907,78.63,78.63,157.27
23,0.2248,0.1091,2.1907,0.2248,0.1091,2.1907,78.63,78.63,157.27
24,0.2254,0.1093,2.1917,0.2254,0.1093,2.1917,78.63,78.63,157.27
25,0.2242,0.1095,2.1922,0.2242,0.1095,2.1922,78.63,78.63,157.27
26,0.2268,0.1096,2.1928,0.2268,0.1096,2.1928,78.63,78.63,157.27
27,0.2228,0.1093,2.1875,0.2228,0.1093,2.1875,78.63,78.63,157.27
28,0.2283,0.1098,2.1927,0.2283,0.1098,2.1927,78.63,78.63,157.27
29,0.2280,0.1102,2.1928,0.2280,0.1102,2.1928,78.63,78.63,157.27
30,0.2260,0.1095,2.1901,0.2260,0.1095,2.1901,78.63,78.63,157.27
31,0.2263,0.1096,2.1955,0.2264,0.1096,2.1955,78.63,78.63,157.27
32,0.2287,0.1098,2.1902,0.2287,0.1098,2.1902,78.63,78.63,157.27
33,0.2253,0.1093,2.1916,0.2253,0.1093,2.1916,78.63,78.63,157.27
34,0.2261,0.1093,2.1917,0.2261,0.1093,2.1917,78.63,78.63,157.27
35,0.2278,0.1091,2.1879,0.2278,0.1091,2.1879,78.63,78.63,157.27
36,0.2284,0.1099,2.1902,0.2284,0.1099,2.1902,78.63,78.63,157.27
37,0.2252,0.1090,2.1885,0.2252,0.1090,2.1885,78.63,78.63,157.27
38,0.2294,0.1097,2.1907,0.2294,0.1097,2.1907,78.63,78.63,157.27
39,0.2254,0.1094,2.1910,0.2254,0.1094,2.1910,78.63,78.63,157.27
40,0.2244,0.1097,2.1932,0.2244,0.1097,2.1932,78.63,78.63,157.27
41,0.2258,0.1097,2.1879,0.2258,0.1097,2.1879,78.63,78.63,157.27
42,0.2298,0.1097,2.1884,0.2298,0.1097,2.1884,78.63,78.63,157.27
43,0.2280,0.1093,2.1903,0.2280,0.1093,2.1903,78.63,78.63,157.27
44,0.2271,0.1100,2.1936,0.2271,0.1100,2.1936,78.63,78.63,157.27
45,0.2268,0.1094,2.1931,0.2268,0.1094,2.1931,78.63,78.63,157.27
46,0.2299,0.1101,2.1905,0.2299,0.1101,2.1905,78.63,78.63,157.27
47,0.2289,0.1097,2.1906,0.2289,0.1097,2.1906,78.63,78.63,157.27
48,0.2260,0.1098,2.1905,0.2260,0.1098,2.1905,78.63,78.63,157.27
49,0.2246,0.1089,2.1890,0.2246,0.1089,2.1890,78.63,78.63,157.27
50,0.2264,0.1098,2.1930,0.2264,0.1098,2.1930,78.63,78.63,157.27
51,0.2311,0.1099,2.1908,0.2311,0.1099,2.1908,78.63,78.63,157.27
52,0.2227,0.1088,2.1913,0.2227,0.1088,2.1913,78.63,78.63,157.27
53,0.2227,0.1091,2.1928,0.2227,0.1091,2.1928,78.63,78.63,157.27
54,0.2273,0.1093,2.1939,0.2273,0.1093,2.1939,78.63,78.63,157.27
55,0.2239,0.1089,2.1882,0.2239,0.1089,2.1882,78.63,78.63,157.27
56,0.2244,0.1093,2.1940,0.2244,0.1093,2.1940,78.63,78.63,157.27
57,0.2270,0.1097,2.1882,0.2270,0.1097,2.1882,78.63,78.63,157.27
58,0.2261,0.1097,2.1904,0.2261,0.1097,2.1904,78.63,78.63,157.27
59,0.2243,0.1094,2.1907,0.2243,0.1094,2.1907,78.63,78.63,157.27
60,0.2275,0.1094,2.1885,0.2275,0.1094,2.1885,78.63,78.63,157.27
61,0.2234,0.1098,2.1924,0.2234,0.1098,2.1924,78.63,78.63,157.27
62,0.2300,0.1097,2.1934,0.2300,0.1097,2.1934,78.63,78.63,157.27
63,0.2271,0.1094,2.1901,0.2271,0.1094,2.1901,78.63,78.63,157.27
64,0.2250,0.1091,2.1896,0.2250,0.1091,2.1896,78.63,78.63,157.27
65,0.2252,0.1093,2.1891,0.2252,0.1093,2.1891,78.63,78.63,157.27
66,0.2235,0.1083,2.1914,0.2235,0.1083,2.1914,78.63,78.63,157.27
67,0.2281,0.1095,2.1920,0.2281,0.1095,2.1920,78.63,78.63,157.27
68,0.2278,0.1095,2.1895,0.2278,0.1095,2.1895,78.63,78.63,157.27
69,0.2259,0.1093,2.1927,0.2259,0.1093,2.1927,78.63,78.63,157.27
70,0.2268,0.1097,2.1860,0.2268,0.1097,2.1860,78.63,78.63,157.27
71,0.2239,0.1091,2.1912,0.2239,0.1091,2.1912,78.63,78.63,157.27
72,0.2231,0.1089,2.1890,0.2231,0.1089,2.1890,78.63,78.63,157.27
73,0.2271,0.1088,2.1912,0.2271,0.1088,2.1912,78.63,78.63,157.27
74,0.2253,0.1094,2.1938,0.2253,0.1094,2.1938,78.63,78.63,157.27
75,0.2260,0.1093,2.1899,0.2260,0.1093,2.1899,78.63,78.63,157.27
76,0.2251,0.1089,2.1905,0.2251,0.1089,2.1905,78.63,78.63,157.27
77,0.2259,0.1097,2.1868,0.2259,0.1097,2.1868,78.63,78.63,157.27
78,0.2245,0.1096,2.1916,0.2245,0.1096,2.1916,78.63,78.63,157.27
79,0.2245,0.1095,2.1911,0.2245,0.1095,2.1911,78.63,78.63,157.27
80,0.2283,0.1101,2.1894,0.2283,0.1101,2.1894,78.63,78.63,157.27
81,0.2253,0.1098,2.1895,0.2253,0.1098,2.1895,78.63,78.63,157.27
82,0.2266,0.1091,2.1889,0.2266,0.1091,2.1889,78.63,78.63,157.27
83,0.2204,0.1084,2.1907,0.2204,0.1084,2.1907,78.63,78.63,157.27
84,0.2244,0.1090,2.1905,0.2244,0.1090,2.1905,78.63,78.63,157.27
85,0.2271,0.1100,2.1882,0.2271,0.1100,2.1882,78.63,78.63,157.27
86,0.2271,0.1096,2.1856,0.2271,0.1096,2.1856,78.63,78.63,157.27
87,0.2265,0.1094,2.1912,0.2265,0.1094,2.1912,78.63,78.63,157.27
88,0.2263,0.1091,2.1892,0.2263,0.1091,2.1892,78.63,78.63,157.27
89,0.2295,0.1091,2.1888,0.2295,0.1091,2.1888,78.63,78.63,157.27
90,0.2256,0.1088,2.1919,0.2256,0.1088,2.1919,78.63,78.63,157.27
91,0.2255,0.1096,2.1904,0.2255,0.1096,2.1904,78.63,78.63,157.27
92,0.2236,0.1094,2.1935,0.2236,0.1094,2.1935,78.63,78.63,157.27
93,0.2261,0.1095,2.1897,0.2261,0.1095,2.1897,78.63,78.63,157.27
94,0.2257,0.1092,2.1879,0.2257,0.1092,2.1879,78.63,78.63,157.27
95,0.2258,0.1089,2.1908,0.2258,0.1089,2.1908,78.63,78.63,157.27
96,0.2260,0.1093,2.1913,0.2260,0.1093,2.1913,78.63,78.63,157.27
97,0.2247,0.1084,2.1906,0.2247,0.1084,2.1906,78.63,78.63,157.27
98,0.2281,0.1092,2.1917,0.2281,0.1092,2.1917,78.63,78.63,157.27
99,0.2249,0.1089,2.1911,0.2249,0.1089,2.1911,78.63,78.63,157.27
100,0.2289,0.1099,2.1900,0.2289,0.1099,2.1900,78.63,78.63,157.27
101,0.2279,0.1098,2.1893,0.2279,0.1098,2.1893,78.63,78.63,157.27
