round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1001,,2.3032,0.1001,,2.3032,0.00,196.58,196.58
2,0.3309,,2.1976,0.5576,,0.8224,196.58,196.58,393.17
3,0.3110,,2.2070,0.5705,,0.7875,196.58,196.58,393.17
4,0.3168,,2.2066,0.5813,,0.7658,196.58,196.58,393.17
5,0.3097,,2.2086,0.5808,,0.7683,196.58,196.58,393.17
6,0.3074,,2.2087,0.5760,,0.7781,196.58,196.58,393.17
7,0.2996,,2.2095,0.5798,,0.7651,196.58,196.58,393.17
8,0.2935,,2.2119,0.5792,,0.7772,196.58,196.58,393.17
9,0.2919,,2.2108,0.5815,,0.7623,196.58,196.58,393.17
10,0.2849,,2.2113,0.5815,,0.7646,196.58,196.58,393.17
11,0.2800,,2.2133,0.5799,,0.7690,196.58,196.58,393.17
12,0.2788,,2.2152,0.5780,,0.7719,196.58,196.58,393.17
13,0.2701,,2.2133,0.5751,,0.7718,196.58,196.58,393.17
14,0.2743,,2.2149,0.5843,,0.7594,196.58,196.58,393.17
15,0.2734,,2.2148,0.5812,,0.7563,196.58,196.58,393.17
16,0.2703,,2.2164,0.5843,,0.7504,196.58,196.58,393.17
17,0.2668,,2.2149,0.5819,,0.7651,196.58,196.58,393.17
18,0.2691,,2.2159,0.5829,,0.7641,196.58,196.58,393.17
19,0.2697,,2.2167,0.5822,,0.7568,196.58,196.58,393.17
20,0.2683,,2.2172,0.5814,,0.7593,196.58,196.58,393.17
21,0.2651,,2.2168,0.5824,,0.7560,196.58,196.58,393.17
22,0.2613,,2.2180,0.5742,,0.7788,196.58,196.58,393.17
23,0.2641,,2.2166,0.5786,,0.7746,196.58,196.58,393.17
24,0.2641,,2.2162,0.5837,,0.7567,196.58,196.58,393.17
25,0.2655,,2.2178,0.5840,,0.7590,196.58,196.58,393.17
26,0.2606,,2.2180,0.5773,,0.7699,196.58,196.58,393.17
27,0.2638,,2.2182,0.5774,,0.7691,196.58,196.58,393.17
28,0.2615,,2.2183,0.5825,,0.7561,196.58,196.58,393.17
29,0.2624,,2.2169,0.5773,,0.7815,196.58,196.58,393.17
30,0.2608,,2.2179,0.5818,,0.7563,196.58,196.58,393.17
31,0.2603,,2.2175,0.5790,,0.7716,196.58,196.58,393.17
32,0.2599,,2.2182,0.5764,,0.7711,196.58,196.58,393.17
33,0.2613,,2.2182,0.5839,,0.7609,196.58,196.58,393.17
34,0.2594,,2.2181,0.5800,,0.7683,196.58,196.58,393.17
35,0.2611,,2.2185,0.5782,,0.7741,196.58,196.58,393.17
36,0.2589,,2.2192,0.5819,,0.7595,196.58,196.58,393.17
37,0.2593,,2.2191,0.5772,,0.7730,196.58,196.58,393.17
38,0.2579,,2.2194,0.5839,,0.7545,196.58,196.58,393.17
39,0.2559,,2.2206,0.5852,,0.7524,196.58,196.58,393.17
40,0.2593,,2.2188,0.5854,,0.7585,196.58,196.58,393.17
41,0.2585,,2.2189,0.5873,,0.7503,196.58,196.58,393.17
42,0.2579,,2.2198,0.5743,,0.7750,196.58,196.58,393.17
43,0.2574,,2.2181,0.5828,,0.7653,196.58,196.58,393.17
44,0.2579,,2.2205,0.5779,,0.7682,196.58,196.58,393.17
45,0.2610,,2.2189,0.5781,,0.7672,196.58,196.58,393.17
46,0.2581,,2.2186,0.5829,,0.7598,196.58,196.58,393.17
47,0.2539,,2.2187,0.5824,,0.7605,196.58,196.58,393.17
48,0.2573,,2.2182,0.5798,,0.7674,196.58,196.58,393.17
49,0.2585,,2.2194,0.5762,,0.7767,196.58,196.58,393.17
50,0.2603,,2.2206,0.5841,,0.7586,196.58,196.58,393.17
51,0.2564,,2.2203,0.5832,,0.7569,196.58,196.58,393.17
52,0.2551,,2.2196,0.5753,,0.7775,196.58,196.58,393.17
53,0.2579,,2.2183,0.5813,,0.7635,196.58,196.58,393.17
54,0.2578,,2.2197,0.5820,,0.7636,196.58,196.58,393.17
55,0.2586,,2.2179,0.5863,,0.7510,196.58,196.58,393.17
56,0.2550,,2.2204,0.5766,,0.7812,196.58,196.58,393.17
57,0.2577,,2.2195,0.5805,,0.7603,196.58,196.58,393.17
58,0.2596,,2.2203,0.5809,,0.7716,196.58,196.58,393.17
59,0.2579,,2.2198,0.5730,,0.7798,196.58,196.58,393.17
60,0.2566,,2.2183,0.5792,,0.7664,196.58,196.58,393.17
61,0.2553,,2.2186,0.5854,,0.7495,196.58,196.58,393.17
62,0.2590,,2.2193,0.5805,,0.7639,196.58,196.58,393.17
63,0.2568,,2.2208,0.5793,,0.7656,196.58,196.58,393.17
64,0.2533,,2.2216,0.5846,,0.7565,196.58,196.58,393.17
65,0.2563,,2.2212,0.5721,,0.7799,196.58,196.58,393.17
66,0.2539,,2.2214,0.5775,,0.7693,196.58,196.58,393.17
67,0.2550,,2.2204,0.5856,,0.7529,196.58,196.58,393.17
68,0.2554,,2.2200,0.5888,,0.7464,196.58,196.58,393.17
69,0.2559,,2.2211,0.5812,,0.7591,196.58,196.58,393.17
70,0.2584,,2.2209,0.5872,,0.7551,196.58,196.58,393.17
71,0.2556,,2.2207,0.5802,,0.7709,196.58,196.58,393.17
72,0.2563,,2.2211,0.5817,,0.7616,196.58,196.58,393.17
73,0.2547,,2.2214,0.5797,,0.7664,196.58,196.58,393.17
74,0.2562,,2.2206,0.5830,,0.7614,196.58,196.58,393.17
75,0.2552,,2.2212,0.5843,,0.7584,196.58,196.58,393.17
76,0.2539,,2.2210,0.5795,,0.7647,196.58,196.58,393.17
77,0.2538,,2.2207,0.5795,,0.7762,196.58,196.58,393.17
78,0.2558,,2.2207,0.5795,,0.7673,196.58,196.58,393.17
79,0.2550,,2.2219,0.5767,,0.7723,196.58,196.58,393.17
80,0.2535,,2.2209,0.5815,,0.7591,196.58,196.58,393.17
81,0.2549,,2.2219,0.5806,,0.7617,196.58,196.58,393.17
82,0.2532,,2.2213,0.5789,,0.7680,196.58,196.58,393.17
83,0.2560,,2.2227,0.5848,,0.7576,196.58,196.58,393.17
84,0.2530,,2.2216,0.5805,,0.7645,196.58,196.58,393.17
85,0.2525,,2.2212,0.5813,,0.7616,196.58,196.58,393.17
86,0.2521,,2.2226,0.5734,,0.7762,196.58,196.58,393.17
87,0.2526,,2.2241,0.5872,,0.7471,196.58,196.58,393.17
88,0.2545,,2.2220,0.5815,,0.7626,196.58,196.58,393.17
89,0.2520,,2.2220,0.5817,,0.7634,196.58,196.58,393.17
90,0.2572,,2.2221,0.5844,,0.7509,196.58,196.58,393.17
91,0.2541,,2.2226,0.5782,,0.7702,196.58,196.58,393.17
92,0.2514,,2.2221,0.5764,,0.7759,196.58,196.58,393.17
93,0.2528,,2.2223,0.5819,,0.7617,196.58,196.58,393.17
94,0.2516,,2.2222,0.5778,,0.7750,196.58,196.58,393.17
95,0.2536,,2.2235,0.5842,,0.7603,196.58,196.58,393.17
96,0.2527,,2.2221,0.5837,,0.7563,196.58,196.58,393.17
97,0.2515,,2.2232,0.5794,,0.7699,196.58,196.58,393.17
98,0.2557,,2.2224,0.5809,,0.7631,196.58,196.58,393.17
99,0.2520,,2.2226,0.5858,,0.7520,196.58,196.58,393.17
100,0.2539,,2.2229,0.5815,,0.7648,196.58,196.58,393.17
101,0.2504,,2.2222,0.5796,,0.7657,196.58,196.58,393.17
