round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.0865,0.1009,2.0847,196.58,0.00,196.58
3,0.0934,0.1030,1.6076,393.17,0.00,393.17
4,0.1285,0.1032,1.2502,589.75,0.00,589.75
5,0.1204,0.1037,1.0229,786.34,0.00,786.34
6,0.1114,0.1058,0.8935,982.92,0.00,982.92
7,0.1074,0.1052,0.7700,1179.50,0.00,1179.50
8,0.1135,0.1067,0.7460,1376.09,0.00,1376.09
9,0.1178,0.1080,0.7118,1572.67,0.00,1572.67
10,0.1124,0.1081,0.6702,1769.26,0.00,1769.26
11,0.1147,0.1090,0.6504,1965.84,0.00,1965.84
12,0.1159,0.1114,0.6403,2162.42,0.00,2162.42
13,0.1173,0.1134,0.6335,2359.01,0.00,2359.01
14,0.1303,0.1166,0.6209,2555.59,0.00,2555.59
15,0.1289,0.1166,0.6206,2752.18,0.00,2752.18
16,0.1266,0.1167,0.6117,2948.76,0.00,2948.76
17,0.1366,0.1177,0.6040,3145.34,0.00,3145.34
18,0.1362,0.1178,0.5908,3341.93,0.00,3341.93
19,0.1369,0.1212,0.5847,3538.51,0.00,3538.51
20,0.1433,0.1226,0.5785,3735.09,0.00,3735.09
21,0.1479,0.1234,0.5704,3931.68,0.00,3931.68
22,0.1533,0.1258,0.5637,4128.26,0.00,4128.26
23,0.1524,0.1253,0.5617,4324.85,0.00,4324.85
24,0.1552,0.1258,0.5537,4521.43,0.00,4521.43
25,0.1599,0.1286,0.5525,4718.01,0.00,4718.01
26,0.1672,0.1280,0.5433,4914.60,0.00,4914.60
27,0.1598,0.1305,0.5407,5111.18,0.00,5111.18
28,0.1635,0.1289,0.5364,5307.77,0.00,5307.77
29,0.1646,0.1295,0.5342,5504.35,0.00,5504.35
30,0.1643,0.1287,0.5354,5700.93,0.00,5700.93
31,0.1669,0.1337,0.5226,5897.52,0.00,5897.52
32,0.1666,0.1342,0.5260,6094.10,0.00,6094.10
33,0.1777,0.1360,0.5282,6290.69,0.00,6290.69
34,0.1685,0.1358,0.5139,6487.27,0.00,6487.27
35,0.1775,0.1360,0.5088,6683.85,0.00,6683.85
36,0.1702,0.1391,0.5095,6880.44,0.00,6880.44
37,0.1802,0.1384,0.5098,7077.02,0.00,7077.02
38,0.1818,0.1352,0.5184,7273.61,0.00,7273.61
39,0.1794,0.1355,0.5073,7470.19,0.00,7470.19
40,0.1748,0.1355,0.5035,7666.77,0.00,7666.77
41,0.1790,0.1363,0.5044,7863.36,0.00,7863.36
42,0.1807,0.1402,0.5031,8059.94,0.00,8059.94
43,0.1695,0.1419,0.4966,8256.53,0.00,8256.53
44,0.1759,0.1408,0.4884,8453.11,0.00,8453.11
45,0.1730,0.1407,0.4884,8649.69,0.00,8649.69
46,0.1792,0.1416,0.4907,8846.28,0.00,8846.28
47,0.1714,0.1410,0.4962,9042.86,0.00,9042.86
48,0.1753,0.1416,0.5044,9239.45,0.00,9239.45
49,0.1722,0.1463,0.4755,9436.03,0.00,9436.03
50,0.1658,0.1429,0.4784,9632.61,0.00,9632.61
51,0.1752,0.1446,0.4838,9829.20,0.00,9829.20
52,0.1840,0.1404,0.4829,10025.78,0.00,10025.78
53,0.1791,0.1438,0.4857,10222.36,0.00,10222.36
54,0.1742,0.1420,0.5092,10418.95,0.00,10418.95
55,0.1784,0.1419,0.4846,10615.53,0.00,10615.53
56,0.1846,0.1451,0.4780,10812.12,0.00,10812.12
57,0.1808,0.1468,0.4977,11008.70,0.00,11008.70
58,0.1798,0.1480,0.4724,11205.28,0.00,11205.28
59,0.1781,0.1462,0.4644,11401.87,0.00,11401.87
60,0.1690,0.1444,0.4950,11598.45,0.00,11598.45
61,0.1780,0.1470,0.4624,11795.04,0.00,11795.04
62,0.1716,0.1479,0.4681,11991.62,0.00,11991.62
63,0.1663,0.1484,0.4682,12188.20,0.00,12188.20
64,0.1756,0.1494,0.4574,12384.79,0.00,12384.79
65,0.1851,0.1525,0.4588,12581.37,0.00,12581.37
66,0.1775,0.1507,0.4732,12777.96,0.00,12777.96
67,0.1856,0.1485,0.4672,12974.54,0.00,12974.54
68,0.1790,0.1483,0.4625,13171.12,0.00,13171.12
69,0.1804,0.1500,0.4603,13367.71,0.00,13367.71
70,0.1834,0.1510,0.4621,13564.29,0.00,13564.29
71,0.1868,0.1532,0.4696,13760.88,0.00,13760.88
72,0.1859,0.1513,0.4829,13957.46,0.00,13957.46
73,0.1839,0.1503,0.4676,14154.04,0.00,14154.04
74,0.1950,0.1525,0.4601,14350.63,0.00,14350.63
75,0.1975,0.1528,0.4722,14547.21,0.00,14547.21
76,0.1863,0.1535,0.4469,14743.80,0.00,14743.80
77,0.1972,0.1493,0.4724,14940.38,0.00,14940.38
78,0.1895,0.1545,0.4492,15136.96,0.00,15136.96
79,0.1884,0.1532,0.4487,15333.55,0.00,15333.55
80,0.1944,0.1509,0.4580,15530.13,0.00,15530.13
81,0.1889,0.1528,0.4588,15726.72,0.00,15726.72
82,0.1972,0.1529,0.4776,15923.30,0.00,15923.30
83,0.1948,0.1549,0.4643,16119.88,0.00,16119.88
84,0.1650,0.1471,0.4561,16316.47,0.00,16316.47
85,0.1793,0.1517,0.4996,16513.05,0.00,16513.05
86,0.1792,0.1533,0.4378,16709.63,0.00,16709.63
87,0.1698,0.1539,0.4429,16906.22,0.00,16906.22
88,0.1759,0.1497,0.4443,17102.80,0.00,17102.80
89,0.1833,0.1521,0.4550,17299.39,0.00,17299.39
90,0.1867,0.1576,0.4490,17495.97,0.00,17495.97
91,0.1855,0.1575,0.4341,17692.55,0.00,17692.55
92,0.1897,0.1591,0.4338,17889.14,0.00,17889.14
93,0.2030,0.1570,0.4536,18085.72,0.00,18085.72
94,0.1854,0.1569,0.4568,18282.31,0.00,18282.31
95,0.1934,0.1553,0.4469,18478.89,0.00,18478.89
96,0.2032,0.1538,0.4760,18675.47,0.00,18675.47
97,0.1973,0.1521,0.4712,18872.06,0.00,18872.06
98,0.1909,0.1582,0.4440,19068.64,0.00,19068.64
99,0.2049,0.1590,0.4458,19265.23,0.00,19265.23
100,0.1965,0.1601,0.4382,19461.81,0.00,19461.81
101,0.1952,0.1558,0.4687,19658.39,0.00,19658.39
