round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.4002,0.1000,2.2347,196.58,0.00,196.58
3,0.5189,0.1039,2.1054,393.17,0.00,393.17
4,0.5262,0.1053,1.8831,589.75,0.00,589.75
5,0.5918,0.1185,1.5681,786.34,0.00,786.34
6,0.6830,0.1363,1.2516,982.92,0.00,982.92
7,0.7235,0.1447,1.0336,1179.50,0.00,1179.50
8,0.7309,0.1457,0.8882,1376.09,0.00,1376.09
9,0.7350,0.1465,0.8010,1572.67,0.00,1572.67
10,0.7352,0.1472,0.7364,1769.26,0.00,1769.26
11,0.7371,0.1474,0.6915,1965.84,0.00,1965.84
12,0.7311,0.1468,0.6623,2162.42,0.00,2162.42
13,0.7370,0.1471,0.6410,2359.01,0.00,2359.01
14,0.7385,0.1475,0.6252,2555.59,0.00,2555.59
15,0.7425,0.1480,0.6132,2752.18,0.00,2752.18
16,0.7392,0.1477,0.6044,2948.76,0.00,2948.76
17,0.7356,0.1472,0.5980,3145.34,0.00,3145.34
18,0.7438,0.1485,0.5880,3341.93,0.00,3341.93
19,0.7345,0.1472,0.5834,3538.51,0.00,3538.51
20,0.7331,0.1470,0.5756,3735.09,0.00,3735.09
21,0.7442,0.1487,0.5674,3931.68,0.00,3931.68
22,0.7501,0.1498,0.5632,4128.26,0.00,4128.26
23,0.7385,0.1476,0.5606,4324.85,0.00,4324.85
24,0.7428,0.1486,0.5537,4521.43,0.00,4521.43
25,0.7466,0.1490,0.5507,4718.01,0.00,4718.01
26,0.7447,0.1490,0.5451,4914.60,0.00,4914.60
27,0.7443,0.1488,0.5422,5111.18,0.00,5111.18
28,0.7474,0.1490,0.5379,5307.77,0.00,5307.77
29,0.7543,0.1503,0.5323,5504.35,0.00,5504.35
30,0.7438,0.1482,0.5342,5700.93,0.00,5700.93
31,0.7344,0.1467,0.5359,5897.52,0.00,5897.52
32,0.7494,0.1503,0.5257,6094.10,0.00,6094.10
33,0.7513,0.1501,0.5206,6290.69,0.00,6290.69
34,0.7550,0.1506,0.5189,6487.27,0.00,6487.27
35,0.7418,0.1490,0.5265,6683.85,0.00,6683.85
36,0.7510,0.1500,0.5136,6880.44,0.00,6880.44
37,0.7528,0.1510,0.5084,7077.02,0.00,7077.02
38,0.7582,0.1515,0.5033,7273.61,0.00,7273.61
39,0.7472,0.1493,0.5090,7470.19,0.00,7470.19
40,0.7507,0.1502,0.5099,7666.77,0.00,7666.77
41,0.7699,0.1538,0.4876,7863.36,0.00,7863.36
42,0.7720,0.1547,0.4831,8059.94,0.00,8059.94
43,0.7525,0.1504,0.4966,8256.53,0.00,8256.53
44,0.7563,0.1511,0.4933,8453.11,0.00,8453.11
45,0.7580,0.1512,0.4949,8649.69,0.00,8649.69
46,0.7770,0.1556,0.4717,8846.28,0.00,8846.28
47,0.7640,0.1521,0.4852,9042.86,0.00,9042.86
48,0.7598,0.1512,0.4946,9239.45,0.00,9239.45
49,0.7647,0.1523,0.4807,9436.03,0.00,9436.03
50,0.7595,0.1518,0.4895,9632.61,0.00,9632.61
51,0.7895,0.1571,0.4575,9829.20,0.00,9829.20
52,0.7791,0.1554,0.4642,10025.78,0.00,10025.78
53,0.7626,0.1528,0.4751,10222.36,0.00,10222.36
54,0.7609,0.1520,0.4824,10418.95,0.00,10418.95
55,0.7627,0.1524,0.4732,10615.53,0.00,10615.53
56,0.7620,0.1522,0.4762,10812.12,0.00,10812.12
57,0.7744,0.1543,0.4646,11008.70,0.00,11008.70
58,0.7674,0.1541,0.4622,11205.28,0.00,11205.28
59,0.7759,0.1546,0.4587,11401.87,0.00,11401.87
60,0.7739,0.1539,0.4634,11598.45,0.00,11598.45
61,0.7827,0.1556,0.4558,11795.04,0.00,11795.04
62,0.7668,0.1539,0.4708,11991.62,0.00,11991.62
63,0.7671,0.1533,0.4689,12188.20,0.00,12188.20
64,0.7731,0.1544,0.4670,12384.79,0.00,12384.79
65,0.7882,0.1568,0.4488,12581.37,0.00,12581.37
66,0.7892,0.1575,0.4404,12777.96,0.00,12777.96
67,0.7769,0.1558,0.4559,12974.54,0.00,12974.54
68,0.7884,0.1571,0.4456,13171.12,0.00,13171.12
69,0.8000,0.1603,0.4210,13367.71,0.00,13367.71
70,0.7901,0.1584,0.4310,13564.29,0.00,13564.29
71,0.7929,0.1584,0.4345,13760.88,0.00,13760.88
72,0.7822,0.1566,0.4456,13957.46,0.00,13957.46
73,0.7629,0.1524,0.4670,14154.04,0.00,14154.04
74,0.7775,0.1549,0.4612,14350.63,0.00,14350.63
75,0.7977,0.1587,0.4317,14547.21,0.00,14547.21
76,0.8136,0.1620,0.4039,14743.80,0.00,14743.80
77,0.7955,0.1585,0.4283,14940.38,0.00,14940.38
78,0.8194,0.1632,0.3953,15136.96,0.00,15136.96
79,0.7995,0.1594,0.4178,15333.55,0.00,15333.55
80,0.7982,0.1593,0.4242,15530.13,0.00,15530.13
81,0.8013,0.1606,0.4114,15726.72,0.00,15726.72
82,0.8097,0.1621,0.4032,15923.30,0.00,15923.30
83,0.7837,0.1563,0.4382,16119.88,0.00,16119.88
84,0.8108,0.1619,0.3993,16316.47,0.00,16316.47
85,0.8038,0.1605,0.4085,16513.05,0.00,16513.05
86,0.8075,0.1610,0.4048,16709.63,0.00,16709.63
87,0.8068,0.1612,0.4062,16906.22,0.00,16906.22
88,0.8162,0.1634,0.3897,17102.80,0.00,17102.80
89,0.8119,0.1619,0.3998,17299.39,0.00,17299.39
90,0.8076,0.1614,0.4020,17495.97,0.00,17495.97
91,0.8037,0.1604,0.4112,17692.55,0.00,17692.55
92,0.7923,0.1586,0.4227,17889.14,0.00,17889.14
93,0.8041,0.1608,0.4097,18085.72,0.00,18085.72
94,0.8112,0.1616,0.4037,18282.31,0.00,18282.31
95,0.8242,0.1642,0.3820,18478.89,0.00,18478.89
96,0.8132,0.1623,0.3925,18675.47,0.00,18675.47
97,0.8181,0.1632,0.3875,18872.06,0.00,18872.06
98,0.8003,0.1595,0.4117,19068.64,0.00,19068.64
99,0.7803,0.1560,0.4365,19265.23,0.00,19265.23
100,0.7810,0.1559,0.4400,19461.81,0.00,19461.81
101,0.7974,0.1591,0.4186,19658.39,0.00,19658.39
