round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0929,2.4304,0.00,25615.98
2,0.3769,2.0170,25615.98,51231.96
3,0.5603,1.3971,51231.96,76847.94
4,0.6448,1.0810,76847.94,102463.92
5,0.7062,0.9110,102463.92,128079.90
6,0.7340,0.8064,128079.90,153695.89
7,0.7598,0.7333,153695.89,179311.87
8,0.7726,0.6858,179311.87,204927.85
9,0.7829,0.6399,204927.85,230543.83
10,0.7905,0.6102,230543.83,256159.81
11,0.7953,0.5834,256159.81,281775.79
12,0.8067,0.5454,281775.79,307391.77
13,0.8116,0.5210,307391.77,333007.75
14,0.8167,0.4982,333007.75,358623.73
15,0.8196,0.4789,358623.73,384239.71
16,0.8248,0.4623,384239.71,409855.69
17,0.8246,0.4485,409855.69,435471.68
18,0.8302,0.4306,435471.68,461087.66
19,0.8296,0.4197,461087.66,486703.64
20,0.8324,0.4107,486703.64,512319.62
21,0.8365,0.3959,512319.62,537935.60
22,0.8399,0.3830,537935.60,563551.58
23,0.8422,0.3730,563551.58,589167.56
24,0.8411,0.3667,589167.56,614783.54
25,0.8439,0.3528,614783.54,640399.52
26,0.8425,0.3520,640399.52,666015.50
27,0.8465,0.3391,666015.50,691631.48
28,0.8458,0.3324,691631.48,717247.47
29,0.8503,0.3171,717247.47,742863.45
30,0.8495,0.3141,742863.45,768479.43
31,0.8511,0.3027,768479.43,794095.41
32,0.8535,0.2962,794095.41,819711.39
33,0.8552,0.2855,819711.39,845327.37
34,0.8558,0.2822,845327.37,870943.35
35,0.8561,0.2720,870943.35,896559.33
36,0.8571,0.2666,896559.33,922175.31
37,0.8570,0.2623,922175.31,947791.29
38,0.8601,0.2519,947791.29,973407.27
39,0.8614,0.2437,973407.27,999023.26
40,0.8612,0.2395,999023.26,1024639.24
41,0.8628,0.2365,1024639.24,1050255.22
42,0.8621,0.2314,1050255.22,1075871.20
43,0.8643,0.2256,1075871.20,1101487.18
44,0.8634,0.2204,1101487.18,1127103.16
45,0.8657,0.2098,1127103.16,1152719.14
46,0.8648,0.2100,1152719.14,1178335.12
47,0.8654,0.2059,1178335.12,1203951.10
48,0.8662,0.1993,1203951.10,1229567.08
49,0.8654,0.1942,1229567.08,1255183.06
50,0.8666,0.1889,1255183.06,1280799.05
51,0.8674,0.1828,1280799.05,1306415.03
52,0.8682,0.1809,1306415.03,1332031.01
53,0.8687,0.1753,1332031.01,1357646.99
54,0.8664,0.1753,1357646.99,1383262.97
55,0.8687,0.1682,1383262.97,1408878.95
56,0.8682,0.1656,1408878.95,1434494.93
57,0.8688,0.1613,1434494.93,1460110.91
58,0.8687,0.1598,1460110.91,1485726.89
59,0.8694,0.1573,1485726.89,1511342.87
60,0.8701,0.1517,1511342.87,1536958.85
61,0.8701,0.1463,1536958.85,1562574.84
62,0.8706,0.1471,1562574.84,1588190.82
63,0.8709,0.1410,1588190.82,1613806.80
64,0.8700,0.1397,1613806.80,1639422.78
65,0.8714,0.1388,1639422.78,1665038.76
66,0.8704,0.1335,1665038.76,1690654.74
67,0.8714,0.1307,1690654.74,1716270.72
68,0.8713,0.1230,1716270.72,1741886.70
69,0.8723,0.1229,1741886.70,1767502.68
70,0.8714,0.1244,1767502.68,1793118.66
71,0.8714,0.1181,1793118.66,1818734.64
72,0.8735,0.1177,1818734.64,1844350.63
73,0.8714,0.1132,1844350.63,1869966.61
74,0.8744,0.1095,1869966.61,1895582.59
75,0.8735,0.1091,1895582.59,1921198.57
76,0.8729,0.1070,1921198.57,1946814.55
77,0.8737,0.1038,1946814.55,1972430.53
78,0.8740,0.0995,1972430.53,1998046.51
79,0.8742,0.0976,1998046.51,2023662.49
80,0.8738,0.0961,2023662.49,2049278.47
81,0.8752,0.0958,2049278.47,2074894.45
82,0.8738,0.0938,2074894.45,2100510.43
83,0.8740,0.0917,2100510.43,2126126.42
84,0.8749,0.0896,2126126.42,2151742.40
85,0.8760,0.0868,2151742.40,2177358.38
86,0.8739,0.0867,2177358.38,2202974.36
87,0.8740,0.0847,2202974.36,2228590.34
88,0.8760,0.0821,2228590.34,2254206.32
89,0.8760,0.0793,2254206.32,2279822.30
90,0.8760,0.0778,2279822.30,2305438.28
91,0.8754,0.0766,2305438.28,2331054.26
92,0.8769,0.0747,2331054.26,2356670.24
93,0.8764,0.0746,2356670.24,2382286.22
94,0.8758,0.0736,2382286.22,2407902.21
95,0.8772,0.0726,2407902.21,2433518.19
96,0.8768,0.0692,2433518.19,2459134.17
97,0.8764,0.0687,2459134.17,2484750.15
98,0.8758,0.0679,2484750.15,2510366.13
99,0.8770,0.0659,2510366.13,2535982.11
100,0.8771,0.0640,2535982.11,2561598.09
101,0.8759,0.0661,2561598.09,2587214.07
