round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0962,2.4307,0.00,10246.39
2,0.2037,2.2413,10246.39,20492.78
3,0.4401,1.9923,20492.78,30739.18
4,0.5460,1.7386,30739.18,40985.57
5,0.6050,1.5263,40985.57,51231.96
6,0.6467,1.3613,51231.96,61478.35
7,0.6708,1.2255,61478.35,71724.75
8,0.6869,1.1208,71724.75,81971.14
9,0.7002,1.0289,81971.14,92217.53
10,0.7089,0.9774,92217.53,102463.92
11,0.7143,0.9259,102463.92,112710.32
12,0.7216,0.8754,112710.32,122956.71
13,0.7281,0.8256,122956.71,133203.10
14,0.7309,0.8071,133203.10,143449.49
15,0.7344,0.7810,143449.49,153695.89
16,0.7386,0.7532,153695.89,163942.28
17,0.7403,0.7376,163942.28,174188.67
18,0.7461,0.7042,174188.67,184435.06
19,0.7475,0.6928,184435.06,194681.45
20,0.7505,0.6667,194681.45,204927.85
21,0.7521,0.6532,204927.85,215174.24
22,0.7558,0.6414,215174.24,225420.63
23,0.7603,0.6155,225420.63,235667.02
24,0.7582,0.6125,235667.02,245913.42
25,0.7617,0.6052,245913.42,256159.81
26,0.7635,0.5978,256159.81,266406.20
27,0.7617,0.5815,266406.20,276652.59
28,0.7661,0.5673,276652.59,286898.99
29,0.7678,0.5605,286898.99,297145.38
30,0.7653,0.5514,297145.38,307391.77
31,0.7705,0.5422,307391.77,317638.16
32,0.7725,0.5313,317638.16,327884.56
33,0.7723,0.5241,327884.56,338130.95
34,0.7719,0.5212,338130.95,348377.34
35,0.7746,0.5198,348377.34,358623.73
36,0.7773,0.5053,358623.73,368870.13
37,0.7747,0.5138,368870.13,379116.52
38,0.7745,0.5018,379116.52,389362.91
39,0.7770,0.4917,389362.91,399609.30
40,0.7807,0.4837,399609.30,409855.69
41,0.7803,0.4772,409855.69,420102.09
42,0.7801,0.4770,420102.09,430348.48
43,0.7837,0.4666,430348.48,440594.87
44,0.7847,0.4628,440594.87,450841.26
45,0.7819,0.4646,450841.26,461087.66
46,0.7869,0.4529,461087.66,471334.05
47,0.7837,0.4555,471334.05,481580.44
48,0.7843,0.4546,481580.44,491826.83
49,0.7854,0.4493,491826.83,502073.23
50,0.7851,0.4422,502073.23,512319.62
51,0.7862,0.4387,512319.62,522566.01
52,0.7899,0.4340,522566.01,532812.40
53,0.7870,0.4382,532812.40,543058.80
54,0.7901,0.4277,543058.80,553305.19
55,0.7852,0.4347,553305.19,563551.58
56,0.7917,0.4211,563551.58,573797.97
57,0.7911,0.4216,573797.97,584044.36
58,0.7928,0.4138,584044.36,594290.76
59,0.7945,0.4091,594290.76,604537.15
60,0.7944,0.4063,604537.15,614783.54
61,0.7936,0.4022,614783.54,625029.93
62,0.7939,0.4115,625029.93,635276.33
63,0.7940,0.4065,635276.33,645522.72
64,0.7952,0.3987,645522.72,655769.11
65,0.7958,0.3902,655769.11,666015.50
66,0.7966,0.3937,666015.50,676261.90
67,0.7953,0.3916,676261.90,686508.29
68,0.7959,0.3981,686508.29,696754.68
69,0.7967,0.3840,696754.68,707001.07
70,0.7989,0.3826,707001.07,717247.47
71,0.7993,0.3803,717247.47,727493.86
72,0.7979,0.3815,727493.86,737740.25
73,0.7997,0.3752,737740.25,747986.64
74,0.8010,0.3726,747986.64,758233.03
75,0.8015,0.3682,758233.03,768479.43
76,0.8041,0.3626,768479.43,778725.82
77,0.8013,0.3678,778725.82,788972.21
78,0.7999,0.3680,788972.21,799218.60
79,0.7985,0.3700,799218.60,809465.00
80,0.7995,0.3684,809465.00,819711.39
81,0.8001,0.3711,819711.39,829957.78
82,0.8003,0.3617,829957.78,840204.17
83,0.8007,0.3606,840204.17,850450.57
84,0.8038,0.3529,850450.57,860696.96
85,0.8032,0.3553,860696.96,870943.35
86,0.8036,0.3555,870943.35,881189.74
87,0.8064,0.3467,881189.74,891436.14
88,0.8027,0.3527,891436.14,901682.53
89,0.7992,0.3635,901682.53,911928.92
90,0.8043,0.3494,911928.92,922175.31
91,0.8075,0.3389,922175.31,932421.71
92,0.8055,0.3436,932421.71,942668.10
93,0.8082,0.3417,942668.10,952914.49
94,0.8005,0.3541,952914.49,963160.88
95,0.8095,0.3358,963160.88,973407.27
96,0.8069,0.3388,973407.27,983653.67
97,0.8063,0.3359,983653.67,993900.06
98,0.8086,0.3309,993900.06,1004146.45
99,0.8071,0.3313,1004146.45,1014392.84
100,0.8059,0.3344,1014392.84,1024639.24
101,0.8059,0.3431,1024639.24,1034885.63
