round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3037,0.00,0.00,0.00
2,0.1011,0.1048,2.2301,0.00,0.00,0.00
3,0.1045,0.1099,2.0687,0.00,0.00,0.00
4,0.1322,0.1182,1.8661,0.00,0.00,0.00
5,0.1429,0.1275,1.6926,0.00,0.00,0.00
6,0.1436,0.1345,1.5775,0.00,0.00,0.00
7,0.1491,0.1416,1.5048,0.00,0.00,0.00
8,0.1587,0.1476,1.4553,0.00,0.00,0.00
9,0.1665,0.1533,1.4198,0.00,0.00,0.00
10,0.1694,0.1576,1.3914,0.00,0.00,0.00
11,0.1748,0.1610,1.3677,0.00,0.00,0.00
12,0.1819,0.1653,1.3470,0.00,0.00,0.00
13,0.1837,0.1673,1.3287,0.00,0.00,0.00
14,0.1910,0.1711,1.3134,0.00,0.00,0.00
15,0.1946,0.1745,1.2978,0.00,0.00,0.00
16,0.1964,0.1776,1.2829,0.00,0.00,0.00
17,0.2012,0.1811,1.2702,0.00,0.00,0.00
18,0.2018,0.1824,1.2555,0.00,0.00,0.00
19,0.2064,0.1849,1.2432,0.00,0.00,0.00
20,0.2057,0.1856,1.2315,0.00,0.00,0.00
21,0.2132,0.1903,1.2215,0.00,0.00,0.00
22,0.2135,0.1909,1.2109,0.00,0.00,0.00
23,0.2156,0.1930,1.2004,0.00,0.00,0.00
24,0.2181,0.1941,1.1915,0.00,0.00,0.00
25,0.2192,0.1972,1.1766,0.00,0.00,0.00
26,0.2197,0.1963,1.1715,0.00,0.00,0.00
27,0.2239,0.2002,1.1639,0.00,0.00,0.00
28,0.2251,0.2031,1.1500,0.00,0.00,0.00
29,0.2277,0.2046,1.1436,0.00,0.00,0.00
30,0.2274,0.2053,1.1405,0.00,0.00,0.00
31,0.2305,0.2049,1.1218,0.00,0.00,0.00
32,0.2336,0.2079,1.1204,0.00,0.00,0.00
33,0.2328,0.2087,1.1097,0.00,0.00,0.00
34,0.2380,0.2102,1.0989,0.00,0.00,0.00
35,0.2366,0.2131,1.0888,0.00,0.00,0.00
36,0.2352,0.2124,1.0861,0.00,0.00,0.00
37,0.2337,0.2134,1.0834,0.00,0.00,0.00
38,0.2409,0.2170,1.0864,0.00,0.00,0.00
39,0.2384,0.2175,1.0630,0.00,0.00,0.00
40,0.2370,0.2176,1.0586,0.00,0.00,0.00
41,0.2415,0.2204,1.0560,0.00,0.00,0.00
42,0.2389,0.2190,1.0446,0.00,0.00,0.00
43,0.2437,0.2220,1.0320,0.00,0.00,0.00
44,0.2422,0.2227,1.0350,0.00,0.00,0.00
45,0.2439,0.2246,1.0211,0.00,0.00,0.00
46,0.2446,0.2227,1.0273,0.00,0.00,0.00
47,0.2443,0.2264,1.0129,0.00,0.00,0.00
48,0.2490,0.2268,0.9951,0.00,0.00,0.00
49,0.2452,0.2286,0.9986,0.00,0.00,0.00
50,0.2468,0.2296,0.9834,0.00,0.00,0.00
51,0.2540,0.2320,0.9882,0.00,0.00,0.00
52,0.2530,0.2314,0.9713,0.00,0.00,0.00
53,0.2506,0.2297,0.9695,0.00,0.00,0.00
54,0.2486,0.2280,0.9819,0.00,0.00,0.00
55,0.2527,0.2324,0.9811,0.00,0.00,0.00
56,0.2527,0.2362,0.9518,0.00,0.00,0.00
57,0.2636,0.2376,0.9653,0.00,0.00,0.00
58,0.2553,0.2373,0.9625,0.00,0.00,0.00
59,0.2506,0.2358,0.9558,0.00,0.00,0.00
60,0.2527,0.2326,0.9426,0.00,0.00,0.00
61,0.2524,0.2415,0.9340,0.00,0.00,0.00
62,0.2610,0.2404,0.9218,0.00,0.00,0.00
63,0.2552,0.2380,0.9396,0.00,0.00,0.00
64,0.2537,0.2385,0.9342,0.00,0.00,0.00
65,0.2583,0.2388,0.9519,0.00,0.00,0.00
66,0.2562,0.2417,0.9052,0.00,0.00,0.00
67,0.2613,0.2361,0.9120,0.00,0.00,0.00
68,0.2580,0.2400,0.8961,0.00,0.00,0.00
69,0.2556,0.2391,0.9015,0.00,0.00,0.00
70,0.2574,0.2410,0.8977,0.00,0.00,0.00
71,0.2639,0.2463,0.8874,0.00,0.00,0.00
72,0.2580,0.2421,0.8879,0.00,0.00,0.00
73,0.2676,0.2436,0.8743,0.00,0.00,0.00
74,0.2661,0.2461,0.8775,0.00,0.00,0.00
75,0.2568,0.2479,0.8686,0.00,0.00,0.00
76,0.2672,0.2452,0.8708,0.00,0.00,0.00
77,0.2651,0.2473,0.8530,0.00,0.00,0.00
78,0.2599,0.2481,0.8929,0.00,0.00,0.00
79,0.2629,0.2392,0.9620,0.00,0.00,0.00
80,0.2574,0.2450,0.8505,0.00,0.00,0.00
81,0.2621,0.2479,0.8370,0.00,0.00,0.00
82,0.2689,0.2465,0.8322,0.00,0.00,0.00
83,0.2742,0.2493,0.8498,0.00,0.00,0.00
84,0.2580,0.2430,0.8295,0.00,0.00,0.00
85,0.2631,0.2487,0.8270,0.00,0.00,0.00
86,0.2617,0.2507,0.8386,0.00,0.00,0.00
87,0.2725,0.2521,0.8087,0.00,0.00,0.00
88,0.2606,0.2452,0.8461,0.00,0.00,0.00
89,0.2615,0.2533,0.8311,0.00,0.00,0.00
90,0.2682,0.2460,0.8350,0.00,0.00,0.00
91,0.2673,0.2526,0.8045,0.00,0.00,0.00
92,0.2665,0.2497,0.8320,0.00,0.00,0.00
