round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3037,0.00,0.00,0.00
2,0.4022,0.1002,2.2042,0.00,0.00,0.00
3,0.5047,0.1009,1.9679,0.00,0.00,0.00
4,0.5097,0.1020,1.6084,0.00,0.00,0.00
5,0.5650,0.1130,1.2502,0.00,0.00,0.00
6,0.6583,0.1315,1.0112,0.00,0.00,0.00
7,0.7162,0.1428,0.8890,0.00,0.00,0.00
8,0.7376,0.1475,0.8296,0.00,0.00,0.00
9,0.7469,0.1495,0.7964,0.00,0.00,0.00
10,0.7535,0.1508,0.7737,0.00,0.00,0.00
11,0.7594,0.1517,0.7559,0.00,0.00,0.00
12,0.7659,0.1527,0.7420,0.00,0.00,0.00
13,0.7701,0.1535,0.7284,0.00,0.00,0.00
14,0.7729,0.1542,0.7171,0.00,0.00,0.00
15,0.7771,0.1551,0.7049,0.00,0.00,0.00
16,0.7819,0.1560,0.6931,0.00,0.00,0.00
17,0.7873,0.1569,0.6814,0.00,0.00,0.00
18,0.7926,0.1580,0.6703,0.00,0.00,0.00
19,0.7973,0.1589,0.6591,0.00,0.00,0.00
20,0.8008,0.1596,0.6480,0.00,0.00,0.00
21,0.8033,0.1602,0.6370,0.00,0.00,0.00
22,0.8067,0.1610,0.6268,0.00,0.00,0.00
23,0.8110,0.1618,0.6165,0.00,0.00,0.00
24,0.8141,0.1624,0.6057,0.00,0.00,0.00
25,0.8172,0.1631,0.5961,0.00,0.00,0.00
26,0.8201,0.1636,0.5861,0.00,0.00,0.00
27,0.8240,0.1639,0.5766,0.00,0.00,0.00
28,0.8237,0.1643,0.5672,0.00,0.00,0.00
29,0.8269,0.1646,0.5592,0.00,0.00,0.00
30,0.8262,0.1651,0.5498,0.00,0.00,0.00
31,0.8313,0.1656,0.5410,0.00,0.00,0.00
32,0.8326,0.1661,0.5323,0.00,0.00,0.00
33,0.8381,0.1665,0.5234,0.00,0.00,0.00
34,0.8370,0.1668,0.5162,0.00,0.00,0.00
35,0.8382,0.1668,0.5099,0.00,0.00,0.00
36,0.8364,0.1667,0.5044,0.00,0.00,0.00
37,0.8387,0.1672,0.4951,0.00,0.00,0.00
38,0.8416,0.1679,0.4861,0.00,0.00,0.00
39,0.8402,0.1676,0.4809,0.00,0.00,0.00
40,0.8441,0.1682,0.4726,0.00,0.00,0.00
41,0.8382,0.1679,0.4700,0.00,0.00,0.00
42,0.8478,0.1686,0.4600,0.00,0.00,0.00
43,0.8455,0.1683,0.4562,0.00,0.00,0.00
44,0.8448,0.1689,0.4495,0.00,0.00,0.00
45,0.8458,0.1690,0.4444,0.00,0.00,0.00
46,0.8480,0.1690,0.4388,0.00,0.00,0.00
47,0.8484,0.1693,0.4356,0.00,0.00,0.00
48,0.8452,0.1688,0.4329,0.00,0.00,0.00
49,0.8516,0.1698,0.4241,0.00,0.00,0.00
50,0.8535,0.1700,0.4190,0.00,0.00,0.00
51,0.8517,0.1700,0.4168,0.00,0.00,0.00
52,0.8500,0.1699,0.4136,0.00,0.00,0.00
53,0.8529,0.1698,0.4096,0.00,0.00,0.00
54,0.8464,0.1690,0.4143,0.00,0.00,0.00
55,0.8494,0.1696,0.4057,0.00,0.00,0.00
56,0.8522,0.1702,0.3998,0.00,0.00,0.00
57,0.8531,0.1702,0.3976,0.00,0.00,0.00
58,0.8555,0.1706,0.3938,0.00,0.00,0.00
59,0.8542,0.1706,0.3912,0.00,0.00,0.00
60,0.8538,0.1696,0.3943,0.00,0.00,0.00
61,0.8541,0.1709,0.3849,0.00,0.00,0.00
62,0.8545,0.1708,0.3815,0.00,0.00,0.00
63,0.8539,0.1702,0.3824,0.00,0.00,0.00
64,0.8495,0.1697,0.3857,0.00,0.00,0.00
65,0.8526,0.1702,0.3800,0.00,0.00,0.00
66,0.8543,0.1707,0.3739,0.00,0.00,0.00
67,0.8533,0.1701,0.3760,0.00,0.00,0.00
68,0.8538,0.1704,0.3728,0.00,0.00,0.00
69,0.8556,0.1713,0.3652,0.00,0.00,0.00
70,0.8518,0.1699,0.3705,0.00,0.00,0.00
71,0.8513,0.1703,0.3663,0.00,0.00,0.00
72,0.8424,0.1684,0.3795,0.00,0.00,0.00
73,0.8518,0.1703,0.3612,0.00,0.00,0.00
74,0.8470,0.1686,0.3744,0.00,0.00,0.00
75,0.8526,0.1701,0.3616,0.00,0.00,0.00
76,0.8591,0.1706,0.3571,0.00,0.00,0.00
77,0.8563,0.1704,0.3599,0.00,0.00,0.00
78,0.8580,0.1710,0.3519,0.00,0.00,0.00
79,0.8558,0.1704,0.3565,0.00,0.00,0.00
80,0.8567,0.1706,0.3485,0.00,0.00,0.00
81,0.8570,0.1707,0.3461,0.00,0.00,0.00
82,0.8594,0.1708,0.3426,0.00,0.00,0.00
83,0.8445,0.1690,0.3573,0.00,0.00,0.00
84,0.8557,0.1706,0.3469,0.00,0.00,0.00
85,0.8596,0.1709,0.3391,0.00,0.00,0.00
86,0.8489,0.1696,0.3457,0.00,0.00,0.00
87,0.8489,0.1692,0.3474,0.00,0.00,0.00
88,0.8549,0.1709,0.3350,0.00,0.00,0.00
89,0.8510,0.1693,0.3425,0.00,0.00,0.00
90,0.8525,0.1697,0.3443,0.00,0.00,0.00
91,0.8532,0.1701,0.3388,0.00,0.00,0.00
92,0.8505,0.1700,0.3389,0.00,0.00,0.00
93,0.8531,0.1701,0.3340,0.00,0.00,0.00
94,0.8505,0.1702,0.3309,0.00,0.00,0.00
95,0.8469,0.1700,0.3357,0.00,0.00,0.00
96,0.8601,0.1708,0.3235,0.00,0.00,0.00
97,0.8628,0.1716,0.3205,0.00,0.00,0.00
98,0.8546,0.1709,0.3212,0.00,0.00,0.00
99,0.8517,0.1702,0.3252,0.00,0.00,0.00
100,0.8577,0.1713,0.3188,0.00,0.00,0.00
101,0.8590,0.1712,0.3153,0.00,0.00,0.00
