round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0912,2.4310,0.00,10246.39
2,0.4495,1.7987,10246.39,20492.78
3,0.6359,1.0820,20492.78,30739.18
4,0.7339,0.8066,30739.18,40985.57
5,0.7654,0.6774,40985.57,51231.96
6,0.7850,0.6004,51231.96,61478.35
7,0.8052,0.5309,61478.35,71724.75
8,0.8119,0.4934,71724.75,81971.14
9,0.8178,0.4576,81971.14,92217.53
10,0.8269,0.4242,92217.53,102463.92
11,0.8312,0.4038,102463.92,112710.32
12,0.8330,0.3857,112710.32,122956.71
13,0.8398,0.3594,122956.71,133203.10
14,0.8416,0.3403,133203.10,143449.49
15,0.8457,0.3233,143449.49,153695.89
16,0.8474,0.3057,153695.89,163942.28
17,0.8501,0.2904,163942.28,174188.67
18,0.8570,0.2705,174188.67,184435.06
19,0.8550,0.2603,184435.06,194681.45
20,0.8561,0.2514,194681.45,204927.85
21,0.8571,0.2397,204927.85,215174.24
22,0.8595,0.2276,215174.24,225420.63
23,0.8604,0.2205,225420.63,235667.02
24,0.8593,0.2183,235667.02,245913.42
25,0.8617,0.2047,245913.42,256159.81
26,0.8636,0.1941,256159.81,266406.20
27,0.8658,0.1833,266406.20,276652.59
28,0.8645,0.1789,276652.59,286898.99
29,0.8645,0.1778,286898.99,297145.38
30,0.8647,0.1742,297145.38,307391.77
31,0.8669,0.1636,307391.77,317638.16
32,0.8673,0.1552,317638.16,327884.56
33,0.8676,0.1475,327884.56,338130.95
34,0.8677,0.1477,338130.95,348377.34
35,0.8689,0.1407,348377.34,358623.73
36,0.8670,0.1440,358623.73,368870.13
37,0.8691,0.1341,368870.13,379116.52
38,0.8695,0.1320,379116.52,389362.91
39,0.8721,0.1193,389362.91,399609.30
40,0.8698,0.1284,399609.30,409855.69
41,0.8739,0.1159,409855.69,420102.09
42,0.8731,0.1125,420102.09,430348.48
43,0.8723,0.1162,430348.48,440594.87
44,0.8730,0.1096,440594.87,450841.26
45,0.8717,0.1118,450841.26,461087.66
46,0.8723,0.1034,461087.66,471334.05
47,0.8722,0.1042,471334.05,481580.44
48,0.8722,0.1038,481580.44,491826.83
49,0.8738,0.0999,491826.83,502073.23
50,0.8730,0.0970,502073.23,512319.62
51,0.8739,0.0893,512319.62,522566.01
52,0.8725,0.0991,522566.01,532812.40
53,0.8743,0.0870,532812.40,543058.80
54,0.8730,0.0943,543058.80,553305.19
55,0.8720,0.0958,553305.19,563551.58
56,0.8751,0.0868,563551.58,573797.97
57,0.8746,0.0821,573797.97,584044.36
58,0.8750,0.0860,584044.36,594290.76
59,0.8740,0.0833,594290.76,604537.15
60,0.8749,0.0851,604537.15,614783.54
61,0.8743,0.0841,614783.54,625029.93
62,0.8759,0.0776,625029.93,635276.33
63,0.8743,0.0766,635276.33,645522.72
64,0.8751,0.0770,645522.72,655769.11
65,0.8751,0.0817,655769.11,666015.50
66,0.8764,0.0746,666015.50,676261.90
67,0.8759,0.0748,676261.90,686508.29
68,0.8763,0.0719,686508.29,696754.68
69,0.8768,0.0719,696754.68,707001.07
70,0.8767,0.0684,707001.07,717247.47
71,0.8761,0.0702,717247.47,727493.86
72,0.8769,0.0671,727493.86,737740.25
73,0.8777,0.0618,737740.25,747986.64
74,0.8771,0.0645,747986.64,758233.03
75,0.8771,0.0626,758233.03,768479.43
76,0.8766,0.0630,768479.43,778725.82
77,0.8757,0.0657,778725.82,788972.21
78,0.8778,0.0564,788972.21,799218.60
79,0.8775,0.0573,799218.60,809465.00
80,0.8766,0.0588,809465.00,819711.39
81,0.8780,0.0552,819711.39,829957.78
82,0.8763,0.0606,829957.78,840204.17
83,0.8771,0.0545,840204.17,850450.57
84,0.8760,0.0551,850450.57,860696.96
85,0.8781,0.0550,860696.96,870943.35
86,0.8785,0.0525,870943.35,881189.74
87,0.8773,0.0560,881189.74,891436.14
88,0.8769,0.0548,891436.14,901682.53
89,0.8783,0.0515,901682.53,911928.92
90,0.8793,0.0460,911928.92,922175.31
91,0.8783,0.0500,922175.31,932421.71
92,0.8782,0.0464,932421.71,942668.10
93,0.8756,0.0578,942668.10,952914.49
94,0.8777,0.0467,952914.49,963160.88
95,0.8774,0.0509,963160.88,973407.27
96,0.8769,0.0484,973407.27,983653.67
97,0.8772,0.0479,983653.67,993900.06
98,0.8779,0.0455,993900.06,1004146.45
99,0.8783,0.0439,1004146.45,1014392.84
100,0.8759,0.0499,1014392.84,1024639.24
101,0.8773,0.0443,1024639.24,1034885.63
