round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0962,2.4307,0.00,10246.39
2,0.2322,2.2367,10246.39,20492.78
3,0.4529,1.9927,20492.78,30739.18
4,0.5655,1.7544,30739.18,40985.57
5,0.6144,1.5274,40985.57,51231.96
6,0.6404,1.3590,51231.96,61478.35
7,0.6664,1.2289,61478.35,71724.75
8,0.6810,1.1307,71724.75,81971.14
9,0.6886,1.0568,81971.14,92217.53
10,0.6978,0.9943,92217.53,102463.92
11,0.7079,0.9403,102463.92,112710.32
12,0.7171,0.8854,112710.32,122956.71
13,0.7212,0.8510,122956.71,133203.10
14,0.7229,0.8221,133203.10,143449.49
15,0.7278,0.7968,143449.49,153695.89
16,0.7346,0.7629,153695.89,163942.28
17,0.7352,0.7530,163942.28,174188.67
18,0.7394,0.7187,174188.67,184435.06
19,0.7425,0.6974,184435.06,194681.45
20,0.7474,0.6824,194681.45,204927.85
21,0.7499,0.6839,204927.85,215174.24
22,0.7537,0.6550,215174.24,225420.63
23,0.7554,0.6387,225420.63,235667.02
24,0.7581,0.6216,235667.02,245913.42
25,0.7621,0.6042,245913.42,256159.81
26,0.7633,0.5956,256159.81,266406.20
27,0.7600,0.5953,266406.20,276652.59
28,0.7615,0.5815,276652.59,286898.99
29,0.7648,0.5745,286898.99,297145.38
30,0.7658,0.5615,297145.38,307391.77
31,0.7673,0.5537,307391.77,317638.16
32,0.7677,0.5456,317638.16,327884.56
33,0.7686,0.5467,327884.56,338130.95
34,0.7679,0.5315,338130.95,348377.34
35,0.7695,0.5318,348377.34,358623.73
36,0.7721,0.5174,358623.73,368870.13
37,0.7736,0.5079,368870.13,379116.52
38,0.7749,0.5010,379116.52,389362.91
39,0.7761,0.4990,389362.91,399609.30
40,0.7737,0.4979,399609.30,409855.69
41,0.7769,0.4887,409855.69,420102.09
42,0.7765,0.4853,420102.09,430348.48
43,0.7791,0.4781,430348.48,440594.87
44,0.7829,0.4706,440594.87,450841.26
45,0.7783,0.4790,450841.26,461087.66
46,0.7803,0.4704,461087.66,471334.05
47,0.7832,0.4622,471334.05,481580.44
48,0.7842,0.4556,481580.44,491826.83
49,0.7841,0.4527,491826.83,502073.23
50,0.7813,0.4589,502073.23,512319.62
51,0.7839,0.4516,512319.62,522566.01
52,0.7825,0.4539,522566.01,532812.40
53,0.7855,0.4437,532812.40,543058.80
54,0.7864,0.4399,543058.80,553305.19
55,0.7883,0.4346,553305.19,563551.58
56,0.7892,0.4265,563551.58,573797.97
57,0.7890,0.4342,573797.97,584044.36
58,0.7915,0.4201,584044.36,594290.76
59,0.7911,0.4202,594290.76,604537.15
60,0.7873,0.4181,604537.15,614783.54
61,0.7921,0.4090,614783.54,625029.93
62,0.7952,0.4018,625029.93,635276.33
63,0.7905,0.4223,635276.33,645522.72
64,0.7943,0.4079,645522.72,655769.11
65,0.7945,0.4057,655769.11,666015.50
66,0.7924,0.4051,666015.50,676261.90
67,0.7948,0.3952,676261.90,686508.29
68,0.7939,0.3963,686508.29,696754.68
69,0.7967,0.3863,696754.68,707001.07
70,0.7963,0.3907,707001.07,717247.47
71,0.7941,0.3871,717247.47,727493.86
72,0.7953,0.3887,727493.86,737740.25
73,0.7969,0.3845,737740.25,747986.64
74,0.7989,0.3760,747986.64,758233.03
75,0.7978,0.3767,758233.03,768479.43
76,0.8007,0.3704,768479.43,778725.82
77,0.7977,0.3781,778725.82,788972.21
78,0.7985,0.3696,788972.21,799218.60
79,0.8009,0.3654,799218.60,809465.00
80,0.7991,0.3666,809465.00,819711.39
81,0.7988,0.3672,819711.39,829957.78
82,0.8001,0.3655,829957.78,840204.17
83,0.7998,0.3584,840204.17,850450.57
84,0.7991,0.3662,850450.57,860696.96
85,0.8036,0.3511,860696.96,870943.35
86,0.7961,0.3784,870943.35,881189.74
87,0.8000,0.3669,881189.74,891436.14
88,0.8032,0.3536,891436.14,901682.53
89,0.8045,0.3481,901682.53,911928.92
90,0.8033,0.3530,911928.92,922175.31
91,0.8065,0.3436,922175.31,932421.71
92,0.8015,0.3654,932421.71,942668.10
93,0.8043,0.3451,942668.10,952914.49
94,0.8027,0.3520,952914.49,963160.88
95,0.8062,0.3421,963160.88,973407.27
96,0.8045,0.3381,973407.27,983653.67
97,0.8023,0.3487,983653.67,993900.06
98,0.8061,0.3346,993900.06,1004146.45
99,0.8085,0.3265,1004146.45,1014392.84
100,0.8081,0.3303,1014392.84,1024639.24
101,0.8017,0.3489,1024639.24,1034885.63
