round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,196.58,196.58
2,0.1000,0.1000,2.3054,196.58,393.17,589.75
3,0.1000,0.1006,2.3053,393.17,589.75,982.92
4,0.1106,0.1099,2.2925,589.75,786.34,1376.09
5,0.1539,0.1501,2.2620,786.34,982.92,1769.26
6,0.1940,0.1987,2.2272,982.92,1179.50,2162.42
7,0.2204,0.2282,2.1980,1179.50,1376.09,2555.59
8,0.2404,0.2482,2.1748,1376.09,1572.67,2948.76
9,0.2561,0.2625,2.1554,1572.67,1769.26,3341.93
10,0.2690,0.2730,2.1393,1769.26,1965.84,3735.09
11,0.2778,0.2802,2.1242,1965.84,2162.42,4128.26
12,0.2864,0.2859,2.1103,2162.42,2359.01,4521.43
13,0.2944,0.2908,2.0978,2359.01,2555.59,4914.60
14,0.2998,0.2950,2.0857,2555.59,2752.18,5307.77
15,0.3034,0.2986,2.0739,2752.18,2948.76,5700.93
16,0.3043,0.3026,2.0630,2948.76,3145.34,6094.10
17,0.3085,0.3065,2.0524,3145.34,3341.93,6487.27
18,0.3117,0.3093,2.0418,3341.93,3538.51,6880.44
19,0.3131,0.3117,2.0327,3538.51,3735.09,7273.61
20,0.3158,0.3139,2.0227,3735.09,3931.68,7666.77
21,0.3190,0.3167,2.0131,3931.68,4128.26,8059.94
22,0.3234,0.3198,2.0038,4128.26,4324.85,8453.11
23,0.3258,0.3233,1.9943,4324.85,4521.43,8846.28
24,0.3297,0.3278,1.9857,4521.43,4718.01,9239.45
25,0.3324,0.3303,1.9770,4718.01,4914.60,9632.61
26,0.3353,0.3332,1.9680,4914.60,5111.18,10025.78
27,0.3393,0.3360,1.9587,5111.18,5307.77,10418.95
28,0.3414,0.3384,1.9507,5307.77,5504.35,10812.12
29,0.3428,0.3408,1.9428,5504.35,5700.93,11205.28
30,0.3453,0.3431,1.9339,5700.93,5897.52,11598.45
31,0.3489,0.3459,1.9252,5897.52,6094.10,11991.62
32,0.3512,0.3486,1.9180,6094.10,6290.69,12384.79
33,0.3541,0.3504,1.9098,6290.69,6487.27,12777.96
34,0.3551,0.3523,1.9023,6487.27,6683.85,13171.12
35,0.3580,0.3558,1.8933,6683.85,6880.44,13564.29
36,0.3602,0.3575,1.8865,6880.44,7077.02,13957.46
37,0.3642,0.3597,1.8785,7077.02,7273.61,14350.63
38,0.3675,0.3623,1.8724,7273.61,7470.19,14743.80
39,0.3660,0.3628,1.8651,7470.19,7666.77,15136.96
40,0.3702,0.3653,1.8581,7666.77,7863.36,15530.13
41,0.3727,0.3680,1.8527,7863.36,8059.94,15923.30
42,0.3755,0.3700,1.8460,8059.94,8256.53,16316.47
43,0.3738,0.3706,1.8402,8256.53,8453.11,16709.63
44,0.3760,0.3717,1.8341,8453.11,8649.69,17102.80
45,0.3782,0.3739,1.8281,8649.69,8846.28,17495.97
46,0.3749,0.3754,1.8227,8846.28,9042.86,17889.14
47,0.3784,0.3774,1.8160,9042.86,9239.45,18282.31
48,0.3787,0.3790,1.8109,9239.45,9436.03,18675.47
49,0.3809,0.3798,1.8066,9436.03,9632.61,19068.64
50,0.3848,0.3823,1.8021,9632.61,9829.20,19461.81
51,0.3854,0.3846,1.7991,9829.20,10025.78,19854.98
52,0.3898,0.3862,1.7952,10025.78,10222.36,20248.15
53,0.3897,0.3865,1.7881,10222.36,10418.95,20641.31
54,0.3902,0.3883,1.7859,10418.95,10615.53,21034.48
55,0.3922,0.3901,1.7805,10615.53,10812.12,21427.65
56,0.3908,0.3900,1.7770,10812.12,11008.70,21820.82
57,0.3926,0.3922,1.7723,11008.70,11205.28,22213.99
58,0.3940,0.3918,1.7712,11205.28,11401.87,22607.15
59,0.3951,0.3940,1.7656,11401.87,11598.45,23000.32
60,0.3992,0.3957,1.7595,11598.45,11795.04,23393.49
61,0.3970,0.3969,1.7586,11795.04,11991.62,23786.66
62,0.3985,0.3986,1.7528,11991.62,12188.20,24179.82
63,0.4005,0.3998,1.7516,12188.20,12384.79,24572.99
64,0.4010,0.4008,1.7487,12384.79,12581.37,24966.16
