round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,196.58,196.58
2,0.1000,0.1000,2.3081,196.58,393.17,589.75
3,0.1129,0.1018,2.3119,393.17,589.75,982.92
4,0.2058,0.1210,2.3115,589.75,786.34,1376.09
5,0.2157,0.1365,2.3001,786.34,982.92,1769.26
6,0.2316,0.1598,2.2798,982.92,1179.50,2162.42
7,0.2334,0.1703,2.2607,1179.50,1376.09,2555.59
8,0.2334,0.1723,2.2464,1376.09,1572.67,2948.76
9,0.2316,0.1749,2.2361,1572.67,1769.26,3341.93
10,0.2386,0.1795,2.2281,1769.26,1965.84,3735.09
11,0.2457,0.1828,2.2209,1965.84,2162.42,4128.26
12,0.2516,0.1860,2.2146,2162.42,2359.01,4521.43
13,0.2548,0.1892,2.2087,2359.01,2555.59,4914.60
14,0.2574,0.1916,2.2029,2555.59,2752.18,5307.77
15,0.2636,0.1944,2.1974,2752.18,2948.76,5700.93
16,0.2655,0.1963,2.1922,2948.76,3145.34,6094.10
17,0.2696,0.1983,2.1868,3145.34,3341.93,6487.27
18,0.2735,0.2006,2.1819,3341.93,3538.51,6880.44
19,0.2750,0.2028,2.1771,3538.51,3735.09,7273.61
20,0.2766,0.2045,2.1726,3735.09,3931.68,7666.77
21,0.2793,0.2054,2.1684,3931.68,4128.26,8059.94
22,0.2797,0.2069,2.1643,4128.26,4324.85,8453.11
23,0.2803,0.2086,2.1603,4324.85,4521.43,8846.28
24,0.2840,0.2111,2.1560,4521.43,4718.01,9239.45
25,0.2839,0.2132,2.1525,4718.01,4914.60,9632.61
26,0.2852,0.2149,2.1482,4914.60,5111.18,10025.78
27,0.2854,0.2165,2.1449,5111.18,5307.77,10418.95
28,0.2854,0.2177,2.1413,5307.77,5504.35,10812.12
29,0.2856,0.2188,2.1379,5504.35,5700.93,11205.28
30,0.2823,0.2205,2.1340,5700.93,5897.52,11598.45
31,0.2838,0.2229,2.1308,5897.52,6094.10,11991.62
32,0.2850,0.2245,2.1271,6094.10,6290.69,12384.79
33,0.2840,0.2258,2.1236,6290.69,6487.27,12777.96
34,0.2875,0.2292,2.1204,6487.27,6683.85,13171.12
35,0.2871,0.2298,2.1170,6683.85,6880.44,13564.29
36,0.2890,0.2306,2.1135,6880.44,7077.02,13957.46
37,0.2880,0.2312,2.1103,7077.02,7273.61,14350.63
38,0.2903,0.2332,2.1066,7273.61,7470.19,14743.80
39,0.2926,0.2362,2.1033,7470.19,7666.77,15136.96
40,0.2942,0.2394,2.1006,7666.77,7863.36,15530.13
41,0.2967,0.2406,2.0967,7863.36,8059.94,15923.30
42,0.2949,0.2409,2.0935,8059.94,8256.53,16316.47
43,0.2977,0.2430,2.0901,8256.53,8453.11,16709.63
44,0.2994,0.2454,2.0871,8453.11,8649.69,17102.80
45,0.3000,0.2473,2.0837,8649.69,8846.28,17495.97
46,0.3037,0.2492,2.0810,8846.28,9042.86,17889.14
47,0.3033,0.2525,2.0779,9042.86,9239.45,18282.31
48,0.3060,0.2525,2.0751,9239.45,9436.03,18675.47
49,0.3070,0.2547,2.0719,9436.03,9632.61,19068.64
50,0.3079,0.2544,2.0688,9632.61,9829.20,19461.81
51,0.3104,0.2578,2.0656,9829.20,10025.78,19854.98
52,0.3123,0.2594,2.0627,10025.78,10222.36,20248.15
53,0.3132,0.2616,2.0595,10222.36,10418.95,20641.31
54,0.3150,0.2624,2.0567,10418.95,10615.53,21034.48
55,0.3156,0.2653,2.0539,10615.53,10812.12,21427.65
56,0.3186,0.2681,2.0504,10812.12,11008.70,21820.82
57,0.3200,0.2689,2.0479,11008.70,11205.28,22213.99
58,0.3216,0.2705,2.0452,11205.28,11401.87,22607.15
59,0.3226,0.2714,2.0423,11401.87,11598.45,23000.32
60,0.3237,0.2738,2.0395,11598.45,11795.04,23393.49
61,0.3254,0.2740,2.0371,11795.04,11991.62,23786.66
62,0.3251,0.2765,2.0333,11991.62,12188.20,24179.82
63,0.3256,0.2765,2.0302,12188.20,12384.79,24572.99
64,0.3257,0.2768,2.0269,12384.79,12581.37,24966.16
65,0.3274,0.2781,2.0241,12581.37,12777.96,25359.33
66,0.3306,0.2795,2.0218,12777.96,12974.54,25752.50
67,0.3356,0.2805,2.0198,12974.54,13171.12,26145.66
68,0.3365,0.2823,2.0177,13171.12,13367.71,26538.83
69,0.3336,0.2833,2.0148,13367.71,13564.29,26932.00
70,0.3378,0.2849,2.0112,13564.29,13760.88,27325.17
71,0.3363,0.2840,2.0085,13760.88,13957.46,27718.34
72,0.3367,0.2852,2.0067,13957.46,14154.04,28111.50
73,0.3346,0.2858,2.0028,14154.04,14350.63,28504.67
74,0.3378,0.2866,2.0004,14350.63,14547.21,28897.84
75,0.3399,0.2873,1.9978,14547.21,14743.80,29291.01
76,0.3380,0.2875,1.9953,14743.80,14940.38,29684.17
77,0.3421,0.2862,1.9930,14940.38,15136.96,30077.34
78,0.3426,0.2874,1.9899,15136.96,15333.55,30470.51
79,0.3422,0.2892,1.9874,15333.55,15530.13,30863.68
80,0.3414,0.2896,1.9852,15530.13,15726.72,31256.85
81,0.3396,0.2910,1.9826,15726.72,15923.30,31650.01
82,0.3420,0.2921,1.9798,15923.30,16119.88,32043.18
83,0.3447,0.2920,1.9782,16119.88,16316.47,32436.35
84,0.3450,0.2916,1.9760,16316.47,16513.05,32829.52
85,0.3471,0.2903,1.9751,16513.05,16709.63,33222.69
86,0.3479,0.2924,1.9725,16709.63,16906.22,33615.85
87,0.3451,0.2935,1.9696,16906.22,17102.80,34009.02
88,0.3442,0.2941,1.9662,17102.80,17299.39,34402.19
89,0.3497,0.2941,1.9661,17299.39,17495.97,34795.36
90,0.3469,0.2953,1.9628,17495.97,17692.55,35188.53
91,0.3454,0.2978,1.9598,17692.55,17889.14,35581.69
92,0.3508,0.2968,1.9590,17889.14,18085.72,35974.86
93,0.3513,0.2957,1.9558,18085.72,18282.31,36368.03
94,0.3531,0.2968,1.9538,18282.31,18478.89,36761.20
95,0.3534,0.2970,1.9528,18478.89,18675.47,37154.36
96,0.3508,0.2992,1.9496,18675.47,18872.06,37547.53
97,0.3548,0.2991,1.9496,18872.06,19068.64,37940.70
98,0.3503,0.2990,1.9444,19068.64,19265.23,38333.87
99,0.3534,0.2988,1.9426,19265.23,19461.81,38727.04
100,0.3570,0.2983,1.9417,19461.81,19658.39,39120.20
101,0.3545,0.2991,1.9401,19658.39,19854.98,39513.37
