round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.0948,0.1133,2.1505,0.00,0.00,0.00
3,0.1333,0.1437,1.8179,0.00,0.00,0.00
4,0.1539,0.1617,1.6716,0.00,0.00,0.00
5,0.1717,0.1750,1.6034,0.00,0.00,0.00
6,0.1879,0.1883,1.5546,0.00,0.00,0.00
7,0.1945,0.1969,1.5152,0.00,0.00,0.00
8,0.2125,0.2074,1.4795,0.00,0.00,0.00
9,0.2172,0.2118,1.4469,0.00,0.00,0.00
10,0.2232,0.2214,1.4181,0.00,0.00,0.00
11,0.2287,0.2264,1.3899,0.00,0.00,0.00
12,0.2411,0.2350,1.3675,0.00,0.00,0.00
13,0.2486,0.2413,1.3355,0.00,0.00,0.00
14,0.2497,0.2445,1.3165,0.00,0.00,0.00
15,0.2475,0.2472,1.3049,0.00,0.00,0.00
16,0.2639,0.2561,1.2733,0.00,0.00,0.00
17,0.2649,0.2578,1.2578,0.00,0.00,0.00
18,0.2813,0.2668,1.2360,0.00,0.00,0.00
19,0.2811,0.2698,1.2247,0.00,0.00,0.00
20,0.2858,0.2737,1.1995,0.00,0.00,0.00
21,0.2753,0.2704,1.2165,0.00,0.00,0.00
22,0.2987,0.2809,1.1902,0.00,0.00,0.00
23,0.2881,0.2786,1.1745,0.00,0.00,0.00
24,0.3029,0.2851,1.1717,0.00,0.00,0.00
25,0.3013,0.2857,1.1506,0.00,0.00,0.00
26,0.2986,0.2854,1.1499,0.00,0.00,0.00
27,0.2903,0.2881,1.1375,0.00,0.00,0.00
28,0.3032,0.2964,1.1154,0.00,0.00,0.00
29,0.2983,0.2939,1.1154,0.00,0.00,0.00
30,0.3144,0.3059,1.0870,0.00,0.00,0.00
31,0.3107,0.2992,1.0891,0.00,0.00,0.00
32,0.3123,0.3030,1.0746,0.00,0.00,0.00
33,0.3257,0.3059,1.1037,0.00,0.00,0.00
34,0.3171,0.3110,1.0672,0.00,0.00,0.00
35,0.3234,0.3044,1.0607,0.00,0.00,0.00
36,0.3143,0.3051,1.0742,0.00,0.00,0.00
37,0.3306,0.3112,1.0474,0.00,0.00,0.00
38,0.3378,0.3053,1.0734,0.00,0.00,0.00
39,0.3212,0.3152,1.0753,0.00,0.00,0.00
40,0.3271,0.3168,1.0301,0.00,0.00,0.00
41,0.3393,0.3138,1.0193,0.00,0.00,0.00
42,0.3278,0.3191,0.9938,0.00,0.00,0.00
43,0.3255,0.3175,1.0110,0.00,0.00,0.00
44,0.3458,0.3278,0.9685,0.00,0.00,0.00
45,0.3434,0.3258,0.9758,0.00,0.00,0.00
46,0.3308,0.3210,0.9917,0.00,0.00,0.00
47,0.3371,0.3327,0.9850,0.00,0.00,0.00
48,0.3298,0.3166,1.0372,0.00,0.00,0.00
49,0.3421,0.3305,0.9524,0.00,0.00,0.00
50,0.3688,0.3294,1.0044,0.00,0.00,0.00
51,0.3460,0.3226,0.9997,0.00,0.00,0.00
52,0.3320,0.3240,0.9973,0.00,0.00,0.00
53,0.3579,0.3271,0.9609,0.00,0.00,0.00
54,0.3349,0.3314,0.9404,0.00,0.00,0.00
55,0.3543,0.3298,0.9153,0.00,0.00,0.00
56,0.3518,0.3298,0.9577,0.00,0.00,0.00
57,0.3354,0.3375,0.9311,0.00,0.00,0.00
58,0.3736,0.3381,0.8986,0.00,0.00,0.00
59,0.3319,0.3255,0.9637,0.00,0.00,0.00
60,0.3670,0.3407,0.9275,0.00,0.00,0.00
61,0.3436,0.3290,0.9962,0.00,0.00,0.00
62,0.3377,0.3433,0.8707,0.00,0.00,0.00
63,0.3781,0.3481,0.8564,0.00,0.00,0.00
64,0.3651,0.3392,0.9760,0.00,0.00,0.00
65,0.3462,0.3392,0.8940,0.00,0.00,0.00
66,0.3536,0.3315,0.9437,0.00,0.00,0.00
67,0.3537,0.3373,0.9046,0.00,0.00,0.00
68,0.3667,0.3512,0.8492,0.00,0.00,0.00
69,0.3805,0.3621,0.8319,0.00,0.00,0.00
70,0.3694,0.3580,0.8146,0.00,0.00,0.00
71,0.3484,0.3404,0.8351,0.00,0.00,0.00
72,0.3737,0.3605,0.7919,0.00,0.00,0.00
73,0.3528,0.3450,0.9082,0.00,0.00,0.00
74,0.3616,0.3473,0.7809,0.00,0.00,0.00
75,0.3755,0.3565,0.8053,0.00,0.00,0.00
76,0.3601,0.3512,0.8292,0.00,0.00,0.00
77,0.3527,0.3510,0.7597,0.00,0.00,0.00
78,0.3543,0.3468,0.8427,0.00,0.00,0.00
79,0.3463,0.3403,0.9349,0.00,0.00,0.00
80,0.3528,0.3482,0.7851,0.00,0.00,0.00
81,0.3754,0.3551,0.9034,0.00,0.00,0.00
82,0.3419,0.3443,0.8072,0.00,0.00,0.00
83,0.3678,0.3506,0.8533,0.00,0.00,0.00
84,0.3724,0.3373,0.8605,0.00,0.00,0.00
85,0.3610,0.3566,0.7646,0.00,0.00,0.00
86,0.3798,0.3515,0.8596,0.00,0.00,0.00
87,0.3519,0.3428,0.8850,0.00,0.00,0.00
88,0.3250,0.3448,0.8789,0.00,0.00,0.00
89,0.3909,0.3712,0.7582,0.00,0.00,0.00
90,0.3610,0.3535,0.7668,0.00,0.00,0.00
91,0.3780,0.3598,0.6831,0.00,0.00,0.00
92,0.3507,0.3642,0.7016,0.00,0.00,0.00
93,0.3715,0.3501,0.6835,0.00,0.00,0.00
94,0.3738,0.3457,0.9213,0.00,0.00,0.00
95,0.3788,0.3627,0.6540,0.00,0.00,0.00
96,0.3854,0.3617,0.7338,0.00,0.00,0.00
97,0.3980,0.3744,0.7484,0.00,0.00,0.00
98,0.3860,0.3614,0.7604,0.00,0.00,0.00
99,0.3845,0.3619,0.7385,0.00,0.00,0.00
100,0.3921,0.3712,0.7102,0.00,0.00,0.00
101,0.3713,0.3333,0.9233,0.00,0.00,0.00
