round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.5018,0.1004,1.7449,0.00,0.00,0.00
3,0.6589,0.1323,0.8340,0.00,0.00,0.00
4,0.7443,0.1487,0.6066,0.00,0.00,0.00
5,0.7618,0.1523,0.5493,0.00,0.00,0.00
6,0.7712,0.1548,0.5146,0.00,0.00,0.00
7,0.7889,0.1573,0.4867,0.00,0.00,0.00
8,0.7983,0.1596,0.4609,0.00,0.00,0.00
9,0.8068,0.1618,0.4345,0.00,0.00,0.00
10,0.8166,0.1635,0.4117,0.00,0.00,0.00
11,0.8204,0.1639,0.3972,0.00,0.00,0.00
12,0.8253,0.1647,0.3850,0.00,0.00,0.00
13,0.8310,0.1657,0.3693,0.00,0.00,0.00
14,0.8341,0.1668,0.3580,0.00,0.00,0.00
15,0.8346,0.1669,0.3476,0.00,0.00,0.00
16,0.8396,0.1678,0.3371,0.00,0.00,0.00
17,0.8409,0.1678,0.3323,0.00,0.00,0.00
18,0.8382,0.1676,0.3297,0.00,0.00,0.00
19,0.8441,0.1687,0.3180,0.00,0.00,0.00
20,0.8392,0.1684,0.3137,0.00,0.00,0.00
21,0.8431,0.1681,0.3102,0.00,0.00,0.00
22,0.8405,0.1678,0.3074,0.00,0.00,0.00
23,0.8460,0.1690,0.2926,0.00,0.00,0.00
24,0.8454,0.1691,0.2939,0.00,0.00,0.00
25,0.8412,0.1673,0.3203,0.00,0.00,0.00
26,0.8560,0.1712,0.2702,0.00,0.00,0.00
27,0.8420,0.1680,0.2929,0.00,0.00,0.00
28,0.8426,0.1677,0.3004,0.00,0.00,0.00
29,0.8505,0.1697,0.2724,0.00,0.00,0.00
30,0.8370,0.1676,0.3053,0.00,0.00,0.00
31,0.8460,0.1691,0.2805,0.00,0.00,0.00
32,0.8463,0.1697,0.2589,0.00,0.00,0.00
33,0.8480,0.1700,0.2634,0.00,0.00,0.00
34,0.8511,0.1705,0.2558,0.00,0.00,0.00
35,0.8463,0.1698,0.2630,0.00,0.00,0.00
36,0.8394,0.1678,0.2814,0.00,0.00,0.00
37,0.8629,0.1720,0.2253,0.00,0.00,0.00
38,0.8432,0.1688,0.2726,0.00,0.00,0.00
39,0.8283,0.1657,0.3127,0.00,0.00,0.00
40,0.8382,0.1672,0.2756,0.00,0.00,0.00
