round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2056,0.1244,0.0850,0.5751,495.2512,495.2512,990.5023
1,0.2191,0.1432,0.0850,0.3845,495.2512,495.2512,990.5023
2,0.2364,0.1507,0.0850,0.3178,495.2512,495.2512,990.5023
3,0.2464,0.1560,0.0850,0.2817,495.2512,495.2512,990.5023
4,0.2723,0.2621,0.1094,1.5112,495.2512,9619.0019,10114.2531
5,0.3003,0.1826,0.1094,0.2786,495.2512,495.2512,990.5023
6,0.2894,0.1802,0.1094,0.2475,495.2512,495.2512,990.5023
7,0.2841,0.1776,0.1094,0.2319,495.2512,495.2512,990.5023
8,0.3621,0.2425,0.1050,0.8643,495.2512,9619.0019,10114.2531
9,0.3244,0.1869,0.1050,0.2373,495.2512,495.2512,990.5023
10,0.3351,0.1900,0.1050,0.2287,495.2512,495.2512,990.5023
11,0.3314,0.1916,0.1050,0.2157,495.2512,495.2512,990.5023
12,0.2983,0.2264,0.1142,0.8275,495.2512,9619.0019,10114.2531
13,0.3285,0.1919,0.1142,0.2516,495.2512,495.2512,990.5023
14,0.3205,0.1812,0.1142,0.7458,495.2512,495.2512,990.5023
15,0.3368,0.1970,0.1142,0.3170,495.2512,495.2512,990.5023
16,0.3508,0.2458,0.1137,0.5046,495.2512,9619.0019,10114.2531
17,0.3325,0.1977,0.1137,0.2742,495.2512,495.2512,990.5023
18,0.3122,0.1942,0.1137,0.2663,495.2512,495.2512,990.5023
19,0.3039,0.1920,0.1137,0.2315,495.2512,495.2512,990.5023
20,0.3626,0.2425,0.1034,0.5019,495.2512,9619.0019,10114.2531
21,0.3446,0.2120,0.1034,0.2337,495.2512,495.2512,990.5023
22,0.3095,0.2075,0.1034,0.2277,495.2512,495.2512,990.5023
23,0.3261,0.2049,0.1034,0.1995,495.2512,495.2512,990.5023
24,0.3570,0.2421,0.1239,0.3411,495.2512,9619.0019,10114.2531
25,0.3078,0.2157,0.1239,0.3278,495.2512,495.2512,990.5023
26,0.3329,0.2114,0.1239,0.2658,495.2512,495.2512,990.5023
27,0.3283,0.2140,0.1239,0.1981,495.2512,495.2512,990.5023
