round,cluster_id,accuracy,samples
0,0,0.0765,549
0,1,0.5840,476
0,2,0.0473,465
0,3,0.1394,789
0,4,0.0000,28
0,5,0.0045,220
0,6,0.2564,78
0,7,0.0522,268
0,8,0.0082,489
0,9,0.1616,693
0,10,0.5538,195
0,11,0.3291,474
0,12,0.1376,734
0,13,0.8098,184
0,14,0.5539,343
0,15,0.0000,36
0,16,0.3788,132
0,17,0.0690,29
0,18,0.0607,280
0,19,0.1777,394
0,20,0.6538,26
0,21,0.0100,200
0,22,0.9293,523
0,23,0.2540,63
0,24,0.5000,130
0,25,0.5259,483
0,26,0.0427,234
0,27,0.0000,11
0,28,0.2958,213
0,29,0.1938,160
0,30,0.5353,340
0,31,0.0759,659
0,32,0.0144,208
0,33,0.0741,27
0,34,0.2109,512
0,35,0.2500,112
0,36,0.0041,242
0,37,0.1299,77
0,38,0.0113,620
0,39,0.3063,111
0,40,0.6778,239
0,41,0.6467,184
0,42,0.0115,174
0,43,0.0475,379
0,44,0.0111,814
0,45,0.6583,120
0,46,0.3188,276
0,47,0.0395,785
0,48,0.1850,200
0,49,0.0526,38
1,0,0.1548,549
1,1,0.8172,476
1,2,0.0774,465
1,3,0.2421,789
1,4,0.0000,28
1,5,0.0136,220
1,6,0.4615,78
1,7,0.0672,268
1,8,0.1063,489
1,9,0.4661,693
1,10,0.6051,195
1,11,0.5464,474
1,12,0.7153,734
1,13,0.9130,184
1,14,0.6122,343
1,15,0.0278,36
1,16,0.6136,132
1,17,0.0690,29
1,18,0.1571,280
1,19,0.3173,394
1,20,0.6923,26
1,21,0.0100,200
1,22,0.9790,523
1,23,0.3810,63
1,24,0.9154,130
1,25,0.8323,483
1,26,0.2350,234
1,27,0.0909,11
1,28,0.3568,213
1,29,0.3438,160
1,30,0.9500,340
1,31,0.1396,659
1,32,0.0337,208
1,33,0.1481,27
1,34,0.3535,512
1,35,0.2857,112
1,36,0.0289,242
1,37,0.2727,77
1,38,0.0242,620
1,39,0.3333,111
1,40,0.9456,239
1,41,0.7337,184
1,42,0.1264,174
1,43,0.1530,379
1,44,0.2138,814
1,45,0.9250,120
1,46,0.3370,276
1,47,0.2369,785
1,48,0.5250,200
1,49,0.5000,38
2,0,0.7615,893
2,1,0.8403,476
2,2,0.2805,549
2,3,0.3752,789
2,4,0.5513,78
2,5,0.1484,465
2,6,0.0714,28
2,7,0.0318,220
2,8,0.6256,195
2,9,0.4315,394
2,10,0.6923,26
2,11,0.9582,239
2,12,0.0746,268
2,13,0.6472,343
2,14,0.9185,184
2,15,0.2222,27
2,16,0.7879,132
2,17,0.2314,242
2,18,0.7068,474
2,19,0.3893,280
2,20,0.1034,29
2,21,0.2597,489
2,22,0.6044,814
2,23,0.3851,174
2,24,0.0529,208
2,25,0.2500,36
2,26,0.0850,200
2,27,0.4545,11
2,28,0.2276,659
2,29,0.5043,234
2,30,0.4085,213
2,31,0.4629,512
2,32,0.9586,483
2,33,0.5397,63
2,34,0.4250,160
2,35,0.9578,734
2,36,0.3587,276
2,37,0.3636,77
2,38,0.4054,111
