round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1185,2.2786,495.2512,10741.6435,11236.8947
1,0.1582,2.2422,495.2512,495.2512,990.5023
2,0.2158,2.2055,495.2512,495.2512,990.5023
3,0.2731,2.1683,495.2512,495.2512,990.5023
4,0.3190,2.1263,495.2512,10741.6435,11236.8947
5,0.3579,2.0876,495.2512,495.2512,990.5023
6,0.3911,2.0489,495.2512,495.2512,990.5023
7,0.4136,2.0179,495.2512,495.2512,990.5023
8,0.4295,1.9832,495.2512,10741.6435,11236.8947
9,0.4472,1.9523,495.2512,495.2512,990.5023
10,0.4610,1.9226,495.2512,495.2512,990.5023
11,0.4732,1.8929,495.2512,495.2512,990.5023
12,0.4851,1.8647,495.2512,10741.6435,11236.8947
13,0.4961,1.8366,495.2512,495.2512,990.5023
14,0.5036,1.8099,495.2512,495.2512,990.5023
15,0.5127,1.7843,495.2512,495.2512,990.5023
16,0.5171,1.7572,495.2512,10741.6435,11236.8947
17,0.5241,1.7342,495.2512,495.2512,990.5023
18,0.5293,1.7122,495.2512,495.2512,990.5023
19,0.5334,1.6910,495.2512,495.2512,990.5023
20,0.5330,1.6784,495.2512,10741.6435,11236.8947
21,0.5376,1.6616,495.2512,495.2512,990.5023
22,0.5268,1.6728,495.2512,495.2512,990.5023
23,0.5297,1.6549,495.2512,495.2512,990.5023
24,0.5111,1.6935,495.2512,10741.6435,11236.8947
25,0.5173,1.6762,495.2512,495.2512,990.5023
26,0.5241,1.6504,495.2512,495.2512,990.5023
27,0.5300,1.6271,495.2512,495.2512,990.5023
28,0.5353,1.6052,495.2512,10741.6435,11236.8947
29,0.5407,1.5863,495.2512,495.2512,990.5023
30,0.5460,1.5688,495.2512,495.2512,990.5023
31,0.5496,1.5527,495.2512,495.2512,990.5023
32,0.5520,1.5365,495.2512,10741.6435,11236.8947
33,0.5558,1.5234,495.2512,495.2512,990.5023
34,0.5584,1.5092,495.2512,495.2512,990.5023
35,0.5618,1.4973,495.2512,495.2512,990.5023
36,0.5636,1.4830,495.2512,10741.6435,11236.8947
37,0.5662,1.4724,495.2512,495.2512,990.5023
38,0.5687,1.4601,495.2512,495.2512,990.5023
39,0.5711,1.4491,495.2512,495.2512,990.5023
40,0.5729,1.4386,495.2512,10741.6435,11236.8947
41,0.5752,1.4287,495.2512,495.2512,990.5023
42,0.5778,1.4188,495.2512,495.2512,990.5023
43,0.5809,1.4085,495.2512,495.2512,990.5023
44,0.5824,1.3989,495.2512,10741.6435,11236.8947
45,0.5860,1.3911,495.2512,495.2512,990.5023
46,0.5880,1.3821,495.2512,495.2512,990.5023
47,0.5908,1.3744,495.2512,495.2512,990.5023
48,0.5925,1.3647,495.2512,10741.6435,11236.8947
49,0.5940,1.3566,495.2512,495.2512,990.5023
50,0.5959,1.3486,495.2512,495.2512,990.5023
51,0.5983,1.3409,495.2512,495.2512,990.5023
52,0.6003,1.3344,495.2512,10741.6435,11236.8947
53,0.6031,1.3269,495.2512,495.2512,990.5023
54,0.6049,1.3199,495.2512,495.2512,990.5023
55,0.6065,1.3124,495.2512,495.2512,990.5023
56,0.5894,1.3601,495.2512,10741.6435,11236.8947
57,0.5909,1.3542,495.2512,495.2512,990.5023
58,0.5947,1.3382,495.2512,495.2512,990.5023
59,0.5982,1.3267,495.2512,495.2512,990.5023
60,0.5995,1.3147,495.2512,10741.6435,11236.8947
61,0.6025,1.3069,495.2512,495.2512,990.5023
62,0.6057,1.2978,495.2512,495.2512,990.5023
63,0.6075,1.2902,495.2512,495.2512,990.5023
64,0.6084,1.2824,495.2512,10741.6435,11236.8947
65,0.6107,1.2764,495.2512,495.2512,990.5023
66,0.6127,1.2703,495.2512,495.2512,990.5023
67,0.6144,1.2627,495.2512,495.2512,990.5023
68,0.6157,1.2562,495.2512,10741.6435,11236.8947
69,0.6175,1.2510,495.2512,495.2512,990.5023
70,0.6195,1.2452,495.2512,495.2512,990.5023
71,0.6210,1.2389,495.2512,495.2512,990.5023
72,0.6231,1.2321,495.2512,10741.6435,11236.8947
73,0.6259,1.2253,495.2512,495.2512,990.5023
74,0.6275,1.2207,495.2512,495.2512,990.5023
75,0.6295,1.2161,495.2512,495.2512,990.5023
76,0.6311,1.2099,495.2512,10741.6435,11236.8947
77,0.6325,1.2068,495.2512,495.2512,990.5023
78,0.6336,1.1988,495.2512,495.2512,990.5023
79,0.6355,1.1952,495.2512,495.2512,990.5023
80,0.6359,1.1895,495.2512,10741.6435,11236.8947
81,0.6372,1.1853,495.2512,495.2512,990.5023
82,0.6388,1.1820,495.2512,495.2512,990.5023
83,0.6397,1.1766,495.2512,495.2512,990.5023
84,0.6411,1.1728,495.2512,10741.6435,11236.8947
85,0.6418,1.1678,495.2512,495.2512,990.5023
86,0.6435,1.1644,495.2512,495.2512,990.5023
87,0.6450,1.1603,495.2512,495.2512,990.5023
