round,cluster_id,accuracy,samples
0,0,0.0871,2250
0,1,0.0107,750
0,2,0.0973,750
0,3,0.0093,750
0,4,0.2120,750
0,5,0.2000,750
0,6,0.0093,750
0,7,0.2107,750
0,8,0.2320,750
0,9,0.1813,750
0,10,0.2147,750
0,11,0.4627,750
0,12,0.4667,750
0,13,0.1640,750
0,14,0.0053,750
0,15,0.5013,750
0,16,0.1733,750
0,17,0.4640,750
1,0,0.1964,2250
1,1,0.0173,750
1,2,0.2013,750
1,3,0.0200,750
1,4,0.4000,750
1,5,0.3973,750
1,6,0.0173,750
1,7,0.3867,750
1,8,0.4093,750
1,9,0.3547,750
1,10,0.3427,750
1,11,0.5587,750
1,12,0.5453,750
1,13,0.3240,750
1,14,0.0133,750
1,15,0.5613,750
1,16,0.3480,750
1,17,0.5160,750
2,0,0.3160,1500
2,1,0.2907,1500
2,2,0.0507,750
2,3,0.0400,750
2,4,0.4747,750
2,5,0.4773,750
2,6,0.0507,750
2,7,0.4720,750
2,8,0.0493,750
2,9,0.4787,750
2,10,0.5013,750
2,11,0.6200,750
2,12,0.4827,750
2,13,0.6333,750
2,14,0.4733,750
2,15,0.6613,750
2,16,0.6453,750
2,17,0.4760,750
3,0,0.4387,1500
3,1,0.4273,1500
3,2,0.1307,750
3,3,0.1227,750
3,4,0.4947,750
3,5,0.5000,750
3,6,0.1320,750
3,7,0.4973,750
3,8,0.1453,750
3,9,0.5787,750
3,10,0.5973,750
3,11,0.7280,750
3,12,0.5960,750
3,13,0.7520,750
3,14,0.5053,750
3,15,0.7640,750
3,16,0.7467,750
3,17,0.5787,750
4,0,0.4953,1500
4,1,0.4773,750
4,2,0.4760,750
4,3,0.6160,750
4,4,0.2013,750
4,5,0.1920,750
4,6,0.1867,750
4,7,0.6267,750
4,8,0.6160,750
4,9,0.5933,750
4,10,0.5227,750
4,11,0.5413,750
4,12,0.2080,750
4,13,0.5480,750
4,14,0.5333,750
4,15,0.8427,750
4,16,0.8453,750
4,17,0.8413,750
4,18,0.8160,750
5,0,0.5760,1500
5,1,0.5840,750
5,2,0.5773,750
5,3,0.6787,750
5,4,0.3240,750
5,5,0.3027,750
5,6,0.3013,750
5,7,0.6773,750
5,8,0.6667,750
5,9,0.6627,750
5,10,0.5427,750
5,11,0.5733,750
5,12,0.3387,750
5,13,0.5707,750
5,14,0.5640,750
5,15,0.8640,750
5,16,0.8707,750
5,17,0.8653,750
5,18,0.8480,750
6,0,0.6250,3000
6,1,0.4133,750
6,2,0.4187,750
6,3,0.6000,750
6,4,0.4667,750
6,5,0.6027,750
6,6,0.4267,750
6,7,0.8573,750
6,8,0.7213,750
6,9,0.7160,750
6,10,0.5960,750
6,11,0.7093,750
