round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.8101,0.1618,0.0849,0.4494,495.2512,495.2512,990.5023
1,0.8634,0.1723,0.0849,0.3302,495.2512,495.2512,990.5023
2,0.8654,0.2020,0.0941,0.6200,495.2512,9619.0019,10114.2531
3,0.8684,0.1740,0.0941,0.3330,495.2512,495.2512,990.5023
4,0.8833,0.2082,0.1001,0.4960,495.2512,9619.0019,10114.2531
5,0.8393,0.1680,0.1001,0.5230,495.2512,495.2512,990.5023
6,0.8629,0.1944,0.1012,0.4890,495.2512,9619.0019,10114.2531
7,0.8180,0.1635,0.1012,0.5560,495.2512,495.2512,990.5023
8,0.8836,0.1924,0.1082,0.3953,495.2512,9619.0019,10114.2531
9,0.8280,0.1650,0.1082,0.6518,495.2512,495.2512,990.5023
10,0.8731,0.1835,0.1071,0.3877,495.2512,9619.0019,10114.2531
