round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.7048,0.4690,0.5044,0.1709,0.6929,533.5248,9618.9859,10152.5107
1,0.7872,0.4195,0.5044,0.1765,0.5016,533.5248,495.2351,1028.7599
2,0.7995,0.3897,0.4908,0.1774,0.4643,533.5248,9618.9859,10152.5107
3,0.8264,0.3597,0.4908,0.1776,0.3983,533.5248,495.2351,1028.7599
4,0.8425,0.3403,0.4909,0.1789,0.3692,533.5248,9618.9859,10152.5107
5,0.8545,0.3227,0.4909,0.1789,0.3490,533.5248,495.2351,1028.7599
6,0.8587,0.3111,0.4887,0.1791,0.3273,533.5248,9618.9859,10152.5107
7,0.8664,0.2952,0.4887,0.1792,0.3096,533.5248,495.2351,1028.7599
8,0.8705,0.2845,0.4899,0.1793,0.2931,533.5248,9618.9859,10152.5107
9,0.8669,0.2702,0.4899,0.1777,0.2936,533.5248,495.2351,1028.7599
10,0.8737,0.2624,0.4891,0.1781,0.2819,533.5248,9618.9859,10152.5107
11,0.8790,0.2562,0.4891,0.1790,0.2676,533.5248,495.2351,1028.7599
12,0.8849,0.2489,0.4890,0.1797,0.2651,533.5248,9618.9859,10152.5107
