round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1893,2.2382,1238.1279,26854.1088,28092.2367
1,0.2855,2.1609,1238.1279,1238.1279,2476.2558
2,0.3626,2.0807,1238.1279,1238.1279,2476.2558
3,0.4531,1.9960,1238.1279,1238.1279,2476.2558
4,0.5411,1.9099,1238.1279,26854.1088,28092.2367
5,0.5968,1.8211,1238.1279,1238.1279,2476.2558
6,0.6381,1.7319,1238.1279,1238.1279,2476.2558
7,0.6711,1.6420,1238.1279,1238.1279,2476.2558
8,0.7383,1.5539,1238.1279,26854.1088,28092.2367
9,0.7580,1.4646,1238.1279,1238.1279,2476.2558
10,0.7693,1.3777,1238.1279,1238.1279,2476.2558
11,0.7797,1.2936,1238.1279,1238.1279,2476.2558
12,0.7652,1.2177,1238.1279,26854.1088,28092.2367
13,0.7774,1.1417,1238.1279,1238.1279,2476.2558
14,0.7892,1.0710,1238.1279,1238.1279,2476.2558
15,0.7984,1.0053,1238.1279,1238.1279,2476.2558
16,0.7904,0.9495,1238.1279,26854.1088,28092.2367
17,0.8055,0.8935,1238.1279,1238.1279,2476.2558
18,0.8205,0.8433,1238.1279,1238.1279,2476.2558
19,0.8317,0.7971,1238.1279,1238.1279,2476.2558
20,0.8029,0.7660,1238.1279,26854.1088,28092.2367
21,0.8231,0.7393,1238.1279,1238.1279,2476.2558
22,0.8352,0.7160,1238.1279,1238.1279,2476.2558
23,0.8407,0.6955,1238.1279,1238.1279,2476.2558
24,0.8443,0.6769,1238.1279,26854.1088,28092.2367
25,0.8487,0.6603,1238.1279,1238.1279,2476.2558
26,0.8507,0.6451,1238.1279,1238.1279,2476.2558
27,0.8521,0.6316,1238.1279,1238.1279,2476.2558
28,0.8534,0.6134,1238.1279,26854.1088,28092.2367
29,0.8558,0.5886,1238.1279,1238.1279,2476.2558
30,0.8580,0.5667,1238.1279,1238.1279,2476.2558
31,0.8600,0.5468,1238.1279,1238.1279,2476.2558
32,0.8593,0.5329,1238.1279,26854.1088,28092.2367
33,0.8613,0.5151,1238.1279,1238.1279,2476.2558
34,0.8639,0.4995,1238.1279,1238.1279,2476.2558
35,0.8643,0.4853,1238.1279,1238.1279,2476.2558
36,0.8632,0.4735,1238.1279,26854.1088,28092.2367
37,0.8666,0.4611,1238.1279,1238.1279,2476.2558
38,0.8674,0.4506,1238.1279,1238.1279,2476.2558
39,0.8683,0.4409,1238.1279,1238.1279,2476.2558
40,0.8579,0.4392,1238.1279,26854.1088,28092.2367
41,0.8666,0.4274,1238.1279,1238.1279,2476.2558
42,0.8684,0.4196,1238.1279,1238.1279,2476.2558
43,0.8685,0.4126,1238.1279,1238.1279,2476.2558
44,0.8676,0.4066,1238.1279,26854.1088,28092.2367
45,0.8695,0.3991,1238.1279,1238.1279,2476.2558
46,0.8709,0.3936,1238.1279,1238.1279,2476.2558
47,0.8719,0.3885,1238.1279,1238.1279,2476.2558
48,0.8723,0.3847,1238.1279,26854.1088,28092.2367
49,0.8724,0.3798,1238.1279,1238.1279,2476.2558
50,0.8729,0.3754,1238.1279,1238.1279,2476.2558
51,0.8737,0.3717,1238.1279,1238.1279,2476.2558
52,0.8688,0.3701,1238.1279,26854.1088,28092.2367
