round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1738,0.1766,0.1516,0.1414,0.1516,0.1378,1.6630,26.9305,31.4943,58.4248
1,0.2028,0.2070,0.1516,0.1516,0.1516,0.1498,1.5126,26.9305,26.9305,53.8611
2,0.2208,0.2235,0.1489,0.1595,0.1489,0.1569,1.4477,26.9305,31.4943,58.4248
3,0.2332,0.2359,0.1489,0.1661,0.1489,0.1637,1.4044,26.9305,26.9305,53.8611
4,0.2509,0.2522,0.1387,0.1698,0.1387,0.1667,1.4342,26.9305,31.4943,58.4248
5,0.2583,0.2538,0.1387,0.1751,0.1387,0.1712,1.4001,26.9305,26.9305,53.8611
6,0.2791,0.2776,0.1382,0.1807,0.1382,0.1773,1.3321,26.9305,31.4943,58.4248
7,0.2857,0.2847,0.1382,0.1835,0.1382,0.1804,1.3102,26.9305,26.9305,53.8611
8,0.2803,0.2791,0.1400,0.1863,0.1400,0.1831,1.2853,26.9305,31.4943,58.4248
9,0.2821,0.2797,0.1400,0.1890,0.1400,0.1863,1.2701,26.9305,26.9305,53.8611
10,0.2861,0.2878,0.1403,0.1840,0.1403,0.1815,1.3566,26.9305,31.4943,58.4248
11,0.2927,0.2932,0.1403,0.1895,0.1403,0.1871,1.3328,26.9305,26.9305,53.8611
12,0.2807,0.2783,0.1466,0.1950,0.1466,0.1923,1.3121,26.9305,31.4943,58.4248
13,0.2838,0.2833,0.1466,0.1984,0.1466,0.1967,1.2915,26.9305,26.9305,53.8611
14,0.2862,0.2849,0.1417,0.1920,0.1417,0.1892,1.2823,26.9305,31.4943,58.4248
15,0.2875,0.2856,0.1417,0.1944,0.1417,0.1916,1.2705,26.9305,26.9305,53.8611
16,0.3157,0.3162,0.1558,0.1992,0.1558,0.1960,1.3059,26.9305,31.4943,58.4248
17,0.3189,0.3191,0.1558,0.2022,0.1558,0.1991,1.2926,26.9305,26.9305,53.8611
18,0.2858,0.2838,0.1587,0.2007,0.1587,0.1973,1.2651,26.9305,31.4943,58.4248
19,0.2902,0.2856,0.1587,0.2036,0.1587,0.2006,1.2490,26.9305,26.9305,53.8611
20,0.3000,0.2951,0.1489,0.2057,0.1489,0.2022,1.2306,26.9305,31.4943,58.4248
21,0.3002,0.2960,0.1489,0.2073,0.1489,0.2039,1.2219,26.9305,26.9305,53.8611
22,0.2924,0.2894,0.1492,0.2021,0.1492,0.1991,1.2420,26.9305,31.4943,58.4248
23,0.2949,0.2925,0.1492,0.2046,0.1492,0.2017,1.2330,26.9305,26.9305,53.8611
24,0.3079,0.3045,0.1626,0.2083,0.1626,0.2047,1.2357,26.9305,31.4943,58.4248
25,0.3085,0.3050,0.1626,0.2101,0.1626,0.2069,1.2243,26.9305,26.9305,53.8611
26,0.3112,0.3068,0.1669,0.2106,0.1669,0.2068,1.2037,26.9305,31.4943,58.4248
27,0.3115,0.3074,0.1669,0.2119,0.1669,0.2080,1.1958,26.9305,26.9305,53.8611
28,0.2973,0.2935,0.1620,0.2104,0.1620,0.2062,1.2245,26.9305,31.4943,58.4248
29,0.2984,0.2942,0.1620,0.2136,0.1620,0.2094,1.2131,26.9305,26.9305,53.8611
30,0.3007,0.2968,0.1700,0.2144,0.1700,0.2105,1.1970,26.9305,31.4943,58.4248
