round,cluster_id,accuracy,samples
0,0,0.2377,917
0,1,0.0826,1077
0,2,0.0912,1151
0,3,0.1529,680
0,4,0.0999,1011
0,5,0.3412,510
0,6,0.0652,552
0,7,0.1540,513
0,8,0.1759,381
0,9,0.0518,618
0,10,0.2197,619
0,11,0.1156,640
0,12,0.1372,532
0,13,0.2071,425
0,14,0.1150,374
1,0,0.2715,917
1,1,0.0910,1077
1,2,0.1156,1151
1,3,0.1588,680
1,4,0.0969,1011
1,5,0.3608,510
1,6,0.0652,552
1,7,0.1345,513
1,8,0.1759,381
1,9,0.0615,618
1,10,0.2246,619
1,11,0.1141,640
1,12,0.1617,532
1,13,0.2353,425
1,14,0.1551,374
2,0,0.1513,1077
2,1,0.1504,359
2,2,0.2002,1084
2,3,0.1144,306
2,4,0.0438,502
2,5,0.3569,510
2,6,0.1438,1593
2,7,0.1365,513
2,8,0.1916,381
2,9,0.0858,618
2,10,0.2342,619
2,11,0.1406,640
2,13,0.2471,425
2,14,0.1711,374
2,15,0.1648,625
2,16,0.2246,374
3,0,0.1541,1077
3,1,0.1727,359
3,2,0.2140,1084
3,3,0.1176,306
3,4,0.0418,502
3,5,0.3529,510
3,6,0.1739,1593
3,7,0.1423,513
3,8,0.1942,381
3,9,0.1117,618
3,10,0.2326,619
3,11,0.1562,640
3,13,0.2518,425
3,14,0.1952,374
3,15,0.1904,625
3,16,0.2380,374
4,0,0.1503,1537
4,1,0.1755,359
4,2,0.2737,917
4,4,0.0378,502
4,6,0.1700,1571
4,8,0.1969,381
4,9,0.1262,618
4,10,0.2326,619
4,11,0.1547,640
4,13,0.2541,425
4,14,0.1898,374
4,15,0.1946,1151
4,16,0.2380,374
4,17,0.2199,532
5,0,0.1496,1537
5,1,0.1755,359
5,2,0.2781,917
5,4,0.0378,502
5,6,0.1757,1571
5,8,0.1969,381
5,9,0.1440,618
5,10,0.2342,619
5,11,0.1688,640
5,13,0.2541,425
5,14,0.2005,374
5,15,0.1833,1151
5,16,0.2513,374
5,17,0.2162,532
6,0,0.1713,718
6,1,0.2200,1291
6,2,0.3008,359
6,4,0.0359,502
6,6,0.2053,1593
6,8,0.2100,381
6,9,0.2053,1237
6,11,0.1672,640
6,13,0.2471,425
6,15,0.1972,1151
6,16,0.2044,680
6,18,0.3471,510
6,19,0.1365,513
7,0,0.1964,718
7,1,0.2308,1291
7,2,0.3008,359
7,4,0.0339,502
7,6,0.2178,1593
7,8,0.2126,381
7,9,0.2183,1237
7,11,0.1766,640
7,13,0.2588,425
7,15,0.2024,1151
7,16,0.2162,680
7,18,0.3510,510
7,19,0.1404,513
8,0,0.1632,1244
8,1,0.2032,374
8,2,0.2923,917
8,4,0.0299,502
8,6,0.0761,552
8,8,0.2178,381
8,9,0.2342,619
8,11,0.1906,640
8,13,0.2612,425
8,15,0.2272,625
8,16,0.1471,306
8,18,0.3471,510
8,19,0.2309,1022
8,20,0.2556,532
8,21,0.1861,618
8,22,0.2540,374
8,23,0.1811,359
9,0,0.1688,1244
9,1,0.2086,374
9,2,0.2901,917
9,4,0.0299,502
9,6,0.0779,552
9,8,0.2231,381
9,9,0.2375,619
9,11,0.1938,640
9,13,0.2588,425
9,15,0.2416,625
9,16,0.1405,306
9,18,0.3529,510
9,19,0.2221,1022
9,20,0.2387,532
9,21,0.1893,618
9,22,0.2594,374
9,23,0.1755,359
10,0,0.2167,900
10,1,0.2299,374
10,2,0.3036,359
10,4,0.1596,1034
10,6,0.1725,1061
10,8,0.2231,381
10,9,0.2391,619
10,11,0.1922,640
10,13,0.2565,425
10,15,0.2352,625
10,16,0.1738,1024
10,18,0.3608,510
10,19,0.1365,513
10,21,0.1974,618
10,23,0.2574,917
11,0,0.2122,900
11,1,0.2273,374
11,2,0.3064,359
11,4,0.1973,1034
11,6,0.1744,1061
11,8,0.2283,381
11,9,0.2407,619
11,11,0.2031,640
11,13,0.2682,425
11,15,0.2416,625
11,16,0.1758,1024
11,18,0.3608,510
11,19,0.1637,513
11,21,0.1974,618
11,23,0.2737,917
12,0,0.1935,1039
12,1,0.2650,932
12,4,0.2498,1393
12,6,0.3143,509
12,8,0.2231,381
12,9,0.2423,619
12,11,0.2000,640
12,13,0.2635,425
12,15,0.2328,1151
12,16,0.1868,1231
12,18,0.1525,1062
12,21,0.2071,618
13,0,0.2098,1039
13,1,0.2747,932
13,4,0.2426,1393
13,6,0.3261,509
13,8,0.2310,381
13,9,0.2439,619
13,11,0.2109,640
13,13,0.2659,425
13,15,0.2337,1151
13,16,0.1925,1231
13,18,0.1497,1062
13,21,0.2249,618
14,0,0.1729,1024
14,1,0.2977,917
14,4,0.1863,891
14,6,0.2374,1011
14,8,0.2283,381
14,9,0.2504,619
14,11,0.2031,640
14,13,0.2706,425
14,15,0.2415,1151
14,16,0.1481,513
14,18,0.1573,1062
14,21,0.2282,618
14,22,0.2166,374
14,23,0.2594,374
15,0,0.1846,1024
15,1,0.2835,917
15,4,0.1919,891
15,6,0.2186,1011
15,8,0.2336,381
15,9,0.2472,619
15,11,0.2172,640
15,13,0.2753,425
15,15,0.2441,1151
15,16,0.1657,513
15,18,0.1591,1062
15,21,0.2265,618
15,22,0.2380,374
15,23,0.2674,374
16,0,0.1953,1024
16,1,0.2721,1084
16,4,0.2244,1034
16,6,0.3759,1019
16,8,0.2336,381
16,9,0.2488,619
16,11,0.2094,640
16,13,0.2659,425
16,15,0.2576,625
16,16,0.1637,513
16,18,0.0833,552
16,21,0.2346,618
16,22,0.2353,374
16,23,0.2701,374
16,24,0.1950,359
16,25,0.3120,359
17,0,0.2051,1024
17,1,0.2851,1084
17,4,0.2263,1034
17,6,0.3719,1019
17,8,0.2336,381
17,9,0.2488,619
17,11,0.2281,640
17,13,0.2635,425
17,15,0.2544,625
17,16,0.1715,513
17,18,0.0833,552
17,21,0.2217,618
17,22,0.2513,374
17,23,0.2701,374
17,24,0.1922,359
17,25,0.3231,359
18,0,0.1928,306
18,1,0.4122,558
18,4,0.2350,1034
18,6,0.3431,510
18,8,0.2388,381
18,9,0.2488,619
18,11,0.2250,640
18,13,0.2800,425
18,15,0.2544,625
18,16,0.1715,513
18,18,0.0815,552
18,21,0.2395,618
18,22,0.2513,374
18,23,0.2144,900
18,24,0.1978,359
18,25,0.3088,868
18,26,0.2201,718
19,0,0.1895,306
19,1,0.4247,558
19,4,0.2389,1034
19,6,0.3471,510
19,8,0.2441,381
19,9,0.2504,619
19,11,0.2281,640
19,13,0.2706,425
19,15,0.2608,625
19,16,0.1696,513
19,18,0.0833,552
19,21,0.2217,618
19,22,0.2567,374
19,23,0.2267,900
19,24,0.2033,359
19,25,0.3041,868
19,26,0.2270,718
20,0,0.1895,306
20,1,0.2759,917
20,4,0.2360,1034
20,6,0.3569,510
20,8,0.2388,381
20,9,0.2520,619
20,11,0.2250,640
20,13,0.1919,938
20,15,0.2656,625
20,18,0.0833,552
20,21,0.2362,618
20,22,0.1533,900
20,23,0.2754,374
20,25,0.3320,509
20,26,0.2270,718
20,27,0.3287,359
21,0,0.1961,306
21,1,0.2966,917
21,4,0.2369,1034
21,6,0.3627,510
21,8,0.2362,381
21,9,0.2488,619
