round,local_test_acc,   ,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6364,0.6361,0.1432,0.1293,0.1432,0.1291,0.8835,26.9305,31.4943,58.4248
1,0.6800,0.6805,0.1432,0.1363,0.1432,0.1364,0.7325,26.9305,26.9305,53.8611
2,0.7017,0.7016,0.1483,0.1406,0.1483,0.1406,0.6839,26.9305,31.4943,58.4248
3,0.7198,0.7200,0.1483,0.1441,0.1483,0.1441,0.6591,26.9305,26.9305,53.8611
4,0.7306,0.7315,0.1498,0.1462,0.1498,0.1463,0.6438,26.9305,31.4943,58.4248
5,0.7405,0.7405,0.1498,0.1481,0.1498,0.1480,0.6325,26.9305,26.9305,53.8611
6,0.7444,0.7446,0.1520,0.1490,0.1520,0.1490,0.6247,26.9305,31.4943,58.4248
7,0.7504,0.7503,0.1520,0.1501,0.1520,0.1501,0.6175,26.9305,26.9305,53.8611
8,0.7566,0.7571,0.1530,0.1512,0.1530,0.1513,0.6121,26.9305,31.4943,58.4248
9,0.7618,0.7621,0.1530,0.1522,0.1530,0.1523,0.6074,26.9305,26.9305,53.8611
10,0.7645,0.7643,0.1533,0.1527,0.1533,0.1526,0.6041,26.9305,31.4943,58.4248
11,0.7663,0.7671,0.1533,0.1535,0.1533,0.1535,0.6013,26.9305,26.9305,53.8611
12,0.7699,0.7711,0.1534,0.1539,0.1534,0.1541,0.5995,26.9305,31.4943,58.4248
13,0.7735,0.7734,0.1534,0.1546,0.1534,0.1546,0.5969,26.9305,26.9305,53.8611
14,0.7762,0.7770,0.1547,0.1552,0.1547,0.1554,0.5950,26.9305,31.4943,58.4248
15,0.7798,0.7789,0.1547,0.1558,0.1547,0.1556,0.5933,26.9305,26.9305,53.8611
16,0.7795,0.7803,0.1552,0.1559,0.1552,0.1561,0.5915,26.9305,31.4943,58.4248
17,0.7829,0.7829,0.1552,0.1566,0.1552,0.1565,0.5902,26.9305,26.9305,53.8611
18,0.7845,0.7841,0.1550,0.1569,0.1550,0.1568,0.5881,26.9305,31.4943,58.4248
19,0.7843,0.7850,0.1550,0.1570,0.1550,0.1570,0.5873,26.9305,26.9305,53.8611
20,0.7845,0.7843,0.1543,0.1570,0.1543,0.1569,0.5873,26.9305,31.4943,58.4248
21,0.7875,0.7874,0.1543,0.1576,0.1543,0.1576,0.5847,26.9305,26.9305,53.8611
22,0.7879,0.7883,0.1540,0.1576,0.1540,0.1576,0.5847,26.9305,31.4943,58.4248
23,0.7886,0.7892,0.1540,0.1577,0.1540,0.1578,0.5832,26.9305,26.9305,53.8611
24,0.7919,0.7920,0.1533,0.1583,0.1533,0.1583,0.5819,26.9305,31.4943,58.4248
25,0.7930,0.7928,0.1533,0.1585,0.1533,0.1585,0.5808,26.9305,26.9305,53.8611
26,0.7924,0.7932,0.1538,0.1586,0.1538,0.1588,0.5795,26.9305,31.4943,58.4248
27,0.7943,0.7942,0.1538,0.1589,0.1538,0.1589,0.5781,26.9305,26.9305,53.8611
28,0.7946,0.7953,0.1539,0.1587,0.1539,0.1588,0.5775,26.9305,31.4943,58.4248
29,0.7948,0.7952,0.1539,0.1591,0.1539,0.1590,0.5758,26.9305,26.9305,53.8611
30,0.7951,0.7955,0.1539,0.1593,0.1539,0.1593,0.5749,26.9305,31.4943,58.4248
31,0.7976,0.7980,0.1539,0.1596,0.1539,0.1597,0.5740,26.9305,26.9305,53.8611
32,0.7979,0.7983,0.1542,0.1596,0.1542,0.1598,0.5724,26.9305,31.4943,58.4248
33,0.7974,0.7979,0.1542,0.1597,0.1542,0.1598,0.5718,26.9305,26.9305,53.8611
34,0.7984,0.7990,0.1538,0.1600,0.1537,0.1601,0.5706,26.9305,31.4943,58.4248
35,0.8005,0.8011,0.1538,0.1603,0.1537,0.1603,0.5690,26.9305,26.9305,53.8611
36,0.8015,0.8023,0.1538,0.1601,0.1538,0.1602,0.5679,26.9305,31.4943,58.4248
37,0.8031,0.8037,0.1538,0.1605,0.1538,0.1606,0.5669,26.9305,26.9305,53.8611
38,0.8026,0.8026,0.1544,0.1607,0.1544,0.1607,0.5656,26.9305,31.4943,58.4248
39,0.8052,0.8061,0.1544,0.1611,0.1544,0.1613,0.5652,26.9305,26.9305,53.8611
40,0.8043,0.8039,0.1549,0.1608,0.1549,0.1609,0.5628,26.9305,31.4943,58.4248
41,0.8048,0.8047,0.1549,0.1610,0.1549,0.1611,0.5622,26.9305,26.9305,53.8611
42,0.8069,0.8065,0.1547,0.1615,0.1547,0.1614,0.5610,26.9305,31.4943,58.4248
43,0.8083,0.8092,0.1547,0.1616,0.1547,0.1617,0.5601,26.9305,26.9305,53.8611
44,0.8067,0.8076,0.1550,0.1614,0.1550,0.1615,0.5592,26.9305,31.4943,58.4248
45,0.8069,0.8077,0.1550,0.1613,0.1550,0.1615,0.5573,26.9305,26.9305,53.8611
46,0.8085,0.8087,0.1550,0.1617,0.1550,0.1618,0.5565,26.9305,31.4943,58.4248
47,0.8097,0.8103,0.1550,0.1618,0.1550,0.1620,0.5545,26.9305,26.9305,53.8611
48,0.8089,0.8096,0.1551,0.1619,0.1551,0.1620,0.5542,26.9305,31.4943,58.4248
49,0.8108,0.8113,0.1551,0.1620,0.1551,0.1622,0.5530,26.9305,26.9305,53.8611
50,0.8098,0.8103,0.1554,0.1620,0.1554,0.1621,0.5529,26.9305,31.4943,58.4248
51,0.8103,0.8112,0.1554,0.1621,0.1554,0.1622,0.5513,26.9305,26.9305,53.8611
52,0.8109,0.8106,0.1548,0.1621,0.1548,0.1621,0.5506,26.9305,31.4943,58.4248
53,0.8120,0.8129,0.1548,0.1623,0.1548,0.1624,0.5489,26.9305,26.9305,53.8611
54,0.8124,0.8131,0.1546,0.1625,0.1546,0.1626,0.5487,26.9305,31.4943,58.4248
55,0.8129,0.8135,0.1546,0.1626,0.1546,0.1626,0.5470,26.9305,26.9305,53.8611
56,0.8128,0.8133,0.1554,0.1626,0.1554,0.1626,0.5464,26.9305,31.4943,58.4248
57,0.8140,0.8146,0.1554,0.1627,0.1554,0.1628,0.5444,26.9305,26.9305,53.8611
58,0.8147,0.8154,0.1562,0.1629,0.1562,0.1631,0.5443,26.9305,31.4943,58.4248
59,0.8139,0.8134,0.1562,0.1628,0.1562,0.1628,0.5431,26.9305,26.9305,53.8611
60,0.8148,0.8150,0.1561,0.1629,0.1561,0.1629,0.5426,26.9305,31.4943,58.4248
61,0.8144,0.8141,0.1561,0.1628,0.1561,0.1628,0.5416,26.9305,26.9305,53.8611
62,0.8140,0.8142,0.1558,0.1627,0.1558,0.1627,0.5401,26.9305,31.4943,58.4248
63,0.8167,0.8174,0.1558,0.1630,0.1558,0.1631,0.5393,26.9305,26.9305,53.8611
64,0.8154,0.8168,0.1567,0.1631,0.1567,0.1634,0.5396,26.9305,31.4943,58.4248
65,0.8162,0.8165,0.1567,0.1633,0.1567,0.1633,0.5385,26.9305,26.9305,53.8611
66,0.8170,0.8170,0.1570,0.1632,0.1570,0.1633,0.5380,26.9305,31.4943,58.4248
67,0.8167,0.8169,0.1570,0.1633,0.1570,0.1632,0.5363,26.9305,26.9305,53.8611
68,0.8164,0.8168,0.1569,0.1632,0.1569,0.1633,0.5359,26.9305,31.4943,58.4248
69,0.8169,0.8172,0.1569,0.1634,0.1569,0.1634,0.5350,26.9305,26.9305,53.8611
70,0.8174,0.8178,0.1567,0.1634,0.1567,0.1635,0.5341,26.9305,31.4943,58.4248
71,0.8167,0.8166,0.1567,0.1633,0.1567,0.1634,0.5329,26.9305,26.9305,53.8611
72,0.8185,0.8192,0.1569,0.1635,0.1569,0.1637,0.5322,26.9305,31.4943,58.4248
73,0.8180,0.8185,0.1569,0.1635,0.1569,0.1636,0.5316,26.9305,26.9305,53.8611
74,0.8194,0.8192,0.1566,0.1637,0.1566,0.1637,0.5306,26.9305,31.4943,58.4248
75,0.8172,0.8168,0.1566,0.1633,0.1566,0.1633,0.5306,26.9305,26.9305,53.8611
76,0.8191,0.8197,0.1566,0.1636,0.1566,0.1637,0.5295,26.9305,31.4943,58.4248
77,0.8189,0.8186,0.1566,0.1638,0.1566,0.1638,0.5292,26.9305,26.9305,53.8611
78,0.8210,0.8218,0.1568,0.1640,0.1568,0.1641,0.5278,26.9305,31.4943,58.4248
79,0.8197,0.8198,0.1568,0.1638,0.1568,0.1639,0.5278,26.9305,26.9305,53.8611
80,0.8195,0.8200,0.1565,0.1636,0.1565,0.1638,0.5268,26.9305,31.4943,58.4248
81,0.8189,0.8194,0.1565,0.1637,0.1565,0.1638,0.5261,26.9305,26.9305,53.8611
82,0.8186,0.8193,0.1562,0.1640,0.1562,0.1640,0.5255,26.9305,31.4943,58.4248
83,0.8197,0.8198,0.1562,0.1640,0.1562,0.1639,0.5242,26.9305,26.9305,53.8611
84,0.8209,0.8214,0.1564,0.1643,0.1564,0.1644,0.5239,26.9305,31.4943,58.4248
85,0.8206,0.8210,0.1564,0.1642,0.1564,0.1643,0.5237,26.9305,26.9305,53.8611
86,0.8196,0.8205,0.1568,0.1640,0.1568,0.1641,0.5226,26.9305,31.4943,58.4248
87,0.8228,0.8230,0.1568,0.1643,0.1568,0.1644,0.5217,26.9305,26.9305,53.8611
88,0.8221,0.8228,0.1565,0.1643,0.1565,0.1644,0.5214,26.9305,31.4943,58.4248
89,0.8216,0.8216,0.1565,0.1643,0.1565,0.1642,0.5207,26.9305,26.9305,53.8611
90,0.8215,0.8218,0.1571,0.1644,0.1571,0.1644,0.5185,26.9305,31.4943,58.4248
91,0.8204,0.8220,0.1571,0.1642,0.1571,0.1644,0.5184,26.9305,26.9305,53.8611
92,0.8209,0.8220,0.1575,0.1642,0.1575,0.1644,0.5195,26.9305,31.4943,58.4248
93,0.8231,0.8231,0.1575,0.1647,0.1575,0.1646,0.5185,26.9305,26.9305,53.8611
94,0.8229,0.8234,0.1570,0.1647,0.1570,0.1647,0.5185,26.9305,31.4943,58.4248
95,0.8231,0.8250,0.1570,0.1646,0.1570,0.1650,0.5172,26.9305,26.9305,53.8611
96,0.8196,0.8211,0.1569,0.1640,0.1569,0.1641,0.5170,26.9305,31.4943,58.4248
97,0.8205,0.8207,0.1569,0.1643,0.1569,0.1643,0.5158,26.9305,26.9305,53.8611
98,0.8211,0.8220,0.1570,0.1643,0.1570,0.1643,0.5163,26.9305,31.4943,58.4248
99,0.8244,0.8241,0.1570,0.1647,0.1570,0.1647,0.5155,26.9305,26.9305,53.8611
100,0.8221,0.8226,0.1572,0.1647,0.1572,0.1648,0.5140,26.9305,31.4943,58.4248
