2ound,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6333,0.6360,0.1529,0.1297,0.1529,0.1290,0.8982,0.8000,0.9647,0.9933,0.2325,0.8936,0.8000,0.9656,0.9885,0.1959,0.8966,26.9305,78.6281,105.5586
1,0.6734,0.6740,0.1529,0.1353,0.1529,0.1352,0.9040,0.8000,0.9729,0.9951,0.2103,0.9007,0.8000,0.9741,0.9953,0.1702,0.7496,26.9305,26.9305,53.8611
2,0.6950,0.6962,0.1751,0.1401,0.1751,0.1394,0.9021,0.8000,0.9737,0.9964,0.2277,0.8985,0.8000,0.9757,0.9938,0.1836,0.6988,26.9305,78.6281,105.5586
3,0.7091,0.7099,0.1751,0.1428,0.1751,0.1423,0.9021,0.8000,0.9739,0.9967,0.2203,0.8983,0.8000,0.9765,0.9944,0.1749,0.6719,26.9305,26.9305,53.8611
4,0.7221,0.7232,0.1892,0.1452,0.1892,0.1448,0.9006,0.8000,0.9738,0.9967,0.2375,0.8960,0.8000,0.9769,0.9958,0.1811,0.6539,26.9305,78.6281,105.5586
5,0.7298,0.7308,0.1892,0.1466,0.1892,0.1463,0.8997,0.8000,0.9731,0.9963,0.2342,0.8948,0.8000,0.9768,0.9956,0.1784,0.6418,26.9305,26.9305,53.8611
6,0.7375,0.7380,0.1990,0.1480,0.1990,0.1477,0.8982,0.8000,0.9732,0.9963,0.2464,0.8927,0.8000,0.9764,0.9968,0.1837,0.6312,26.9305,78.6281,105.5586
7,0.7424,0.7435,0.1990,0.1490,0.1990,0.1488,0.8966,0.8000,0.9733,0.9971,0.2442,0.8908,0.8000,0.9757,0.9965,0.1829,0.6244,26.9305,26.9305,53.8611
8,0.7476,0.7488,0.2082,0.1499,0.2082,0.1498,0.8940,0.8000,0.9733,0.9958,0.2537,0.8877,0.8000,0.9748,0.9961,0.1757,0.6177,26.9305,78.6281,105.5586
9,0.7506,0.7516,0.2082,0.1505,0.2082,0.1504,0.8920,0.8000,0.9731,0.9956,0.2517,0.8854,0.8000,0.9736,0.9959,0.1740,0.6128,26.9305,26.9305,53.8611
10,0.7560,0.7570,0.2524,0.1514,0.2524,0.1514,0.8897,0.8000,0.9725,0.9956,0.3077,0.8823,0.8000,0.9729,0.9969,0.1860,0.6040,26.9305,78.6281,105.5586
11,0.7614,0.7627,0.2524,0.1524,0.2524,0.1524,0.8875,0.8000,0.9719,0.9963,0.3042,0.8799,0.8000,0.9723,0.9970,0.1845,0.5993,26.9305,26.9305,53.8611
12,0.7637,0.7654,0.2499,0.1530,0.2499,0.1532,0.8850,0.8000,0.9711,0.9965,0.3031,0.8770,0.8000,0.9715,0.9975,0.1893,0.5963,26.9305,78.6281,105.5586
13,0.7678,0.7688,0.2499,0.1538,0.2499,0.1538,0.8827,0.8000,0.9701,0.9968,0.2990,0.8746,0.8000,0.9705,0.9973,0.1879,0.5934,26.9305,26.9305,53.8611
14,0.7686,0.7696,0.2660,0.1542,0.2660,0.1542,0.8801,0.8000,0.9690,0.9964,0.3215,0.8718,0.8000,0.9694,0.9975,0.1890,0.5913,26.9305,78.6281,105.5586
15,0.7708,0.7715,0.2660,0.1545,0.2660,0.1545,0.8779,0.8000,0.9678,0.9965,0.3202,0.8693,0.8000,0.9685,0.9975,0.1881,0.5888,26.9305,26.9305,53.8611
16,0.7742,0.7755,0.2822,0.1550,0.2822,0.1551,0.8761,0.8000,0.9665,0.9971,0.3318,0.8678,0.8000,0.9678,0.9971,0.1865,0.5857,26.9305,78.6281,105.5586
17,0.7765,0.7780,0.2822,0.1554,0.2822,0.1556,0.8739,0.8000,0.9655,0.9967,0.3316,0.8653,0.8000,0.9671,0.9973,0.1861,0.5842,26.9305,26.9305,53.8611
18,0.7771,0.7783,0.2652,0.1557,0.2652,0.1557,0.8710,0.8000,0.9645,0.9964,0.3122,0.8621,0.8000,0.9663,0.9977,0.1887,0.5855,26.9305,78.6281,105.5586
19,0.7789,0.7802,0.2652,0.1559,0.2652,0.1561,0.8689,0.8000,0.9635,0.9977,0.3109,0.8599,0.8000,0.9655,0.9978,0.1883,0.5845,26.9305,26.9305,53.8611
20,0.7793,0.7805,0.2778,0.1559,0.2778,0.1561,0.8667,0.8000,0.9624,0.9976,0.3256,0.8576,0.8000,0.9646,0.9979,0.1878,0.5802,26.9305,78.6281,105.5586
21,0.7826,0.7836,0.2778,0.1565,0.2778,0.1568,0.8648,0.8000,0.9612,0.9974,0.3235,0.8557,0.8000,0.9637,0.9978,0.1864,0.5786,26.9305,26.9305,53.8611
