round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6391,0.6394,0.1405,0.1299,0.1405,0.1297,0.9067,0.8061,0.9656,0.9974,0.1978,0.9053,0.8050,0.9691,0.9962,0.1809,0.8801,26.9305,78.6281,105.5586
1,0.6825,0.6833,0.1405,0.1369,0.1405,0.1369,0.9070,0.8050,0.9731,0.9978,0.1753,0.9057,0.8038,0.9743,0.9975,0.1568,0.7295,26.9305,26.9305,53.8611
2,0.7036,0.7047,0.1472,0.1409,0.1472,0.1411,0.9063,0.8038,0.9739,0.9983,0.1744,0.9044,0.8027,0.9757,0.9977,0.1503,0.6816,26.9305,78.6281,105.5586
3,0.7230,0.7236,0.1472,0.1446,0.1472,0.1447,0.9051,0.8029,0.9743,0.9974,0.1716,0.9027,0.8018,0.9765,0.9971,0.1475,0.6565,26.9305,26.9305,53.8611
4,0.7333,0.7331,0.1491,0.1466,0.1491,0.1466,0.9036,0.8022,0.9741,0.9980,0.1698,0.9006,0.8013,0.9768,0.9977,0.1450,0.6414,26.9305,78.6281,105.5586
5,0.7399,0.7400,0.1491,0.1481,0.1491,0.1481,0.9019,0.8016,0.9735,0.9987,0.1670,0.8982,0.8009,0.9768,0.9975,0.1425,0.6303,26.9305,26.9305,53.8611
6,0.7463,0.7460,0.1508,0.1494,0.1508,0.1492,0.9000,0.8011,0.9729,0.9975,0.1688,0.8957,0.8006,0.9764,0.9974,0.1410,0.6224,26.9305,78.6281,105.5586
7,0.7520,0.7519,0.1508,0.1504,0.1508,0.1504,0.8979,0.8008,0.9730,0.9971,0.1680,0.8931,0.8004,0.9756,0.9976,0.1396,0.6154,26.9305,26.9305,53.8611
8,0.7584,0.7586,0.1513,0.1517,0.1513,0.1517,0.8956,0.8006,0.9730,0.9984,0.1661,0.8903,0.8003,0.9747,0.9978,0.1386,0.6100,26.9305,78.6281,105.5586
9,0.7622,0.7623,0.1513,0.1522,0.1513,0.1522,0.8932,0.8004,0.9728,0.9971,0.1659,0.8874,0.8002,0.9735,0.9971,0.1378,0.6054,26.9305,26.9305,53.8611
10,0.7682,0.7689,0.1527,0.1535,0.1527,0.1535,0.8908,0.8003,0.9723,0.9979,0.1660,0.8845,0.8001,0.9725,0.9973,0.1376,0.6017,26.9305,78.6281,105.5586
11,0.7704,0.7702,0.1527,0.1542,0.1527,0.1541,0.8883,0.8002,0.9717,0.9974,0.1630,0.8816,0.8001,0.9719,0.9974,0.1350,0.5990,26.9305,26.9305,53.8611
12,0.7732,0.7736,0.1522,0.1546,0.1522,0.1547,0.8857,0.8001,0.9710,0.9980,0.1649,0.8786,0.8000,0.9713,0.9974,0.1361,0.5969,26.9305,78.6281,105.5586
13,0.7750,0.7749,0.1522,0.1549,0.1522,0.1549,0.8833,0.8001,0.9700,0.9981,0.1596,0.8759,0.8000,0.9705,0.9973,0.1324,0.5946,26.9305,26.9305,53.8611
14,0.7771,0.7774,0.1522,0.1554,0.1522,0.1554,0.8808,0.8001,0.9690,0.9979,0.1633,0.8731,0.8000,0.9696,0.9971,0.1348,0.5925,26.9305,78.6281,105.5586
15,0.7789,0.7787,0.1522,0.1559,0.1522,0.1558,0.8783,0.8000,0.9679,0.9986,0.1629,0.8704,0.8000,0.9685,0.9973,0.1342,0.5907,26.9305,26.9305,53.8611
16,0.7819,0.7816,0.1520,0.1565,0.1520,0.1564,0.8760,0.8000,0.9665,0.9983,0.1637,0.8678,0.8000,0.9672,0.9971,0.1330,0.5890,26.9305,78.6281,105.5586
17,0.7841,0.7846,0.1520,0.1568,0.1520,0.1568,0.8736,0.8000,0.9655,0.9971,0.1623,0.8653,0.8000,0.9664,0.9969,0.1317,0.5874,26.9305,26.9305,53.8611
18,0.7857,0.7859,0.1512,0.1569,0.1512,0.1569,0.8714,0.8000,0.9644,0.9984,0.1596,0.8629,0.8000,0.9658,0.9969,0.1306,0.5855,26.9305,78.6281,105.5586
