round,cluster_id,accuracy,samples
0,0,0.1635,2000
0,1,0.5775,2000
0,2,0.3255,2000
0,3,0.4490,1000
0,4,0.1920,500
0,5,0.1980,1000
0,6,0.4460,500
0,7,0.2060,500
0,8,0.4340,500
1,0,0.3255,2000
1,1,0.6640,2000
1,2,0.4085,2000
1,3,0.5220,1000
1,4,0.3640,500
1,5,0.3550,1000
1,6,0.5260,500
1,7,0.3440,500
1,8,0.4980,500
2,0,0.4213,1500
2,1,0.6870,1000
2,2,0.4595,2000
2,3,0.4620,2000
2,5,0.4185,2000
2,9,0.6830,1000
2,10,0.4080,500
3,0,0.4587,1500
3,1,0.7080,1000
3,2,0.4935,2000
3,3,0.4880,2000
3,5,0.4640,2000
3,9,0.6960,1000
3,10,0.4520,500
4,0,0.3700,2000
4,1,0.6485,2000
4,2,0.5580,2000
4,3,0.4615,2000
4,5,0.4400,1500
4,11,0.4800,500
5,0,0.3875,2000
5,1,0.6575,2000
5,2,0.5650,2000
5,3,0.4670,2000
5,5,0.4607,1500
5,11,0.4820,500
6,0,0.4065,2000
6,1,0.6500,1000
6,2,0.5575,2000
6,3,0.4780,1500
6,5,0.4845,2000
6,12,0.6680,1000
6,13,0.4580,500
7,0,0.4125,2000
7,1,0.6530,1000
7,2,0.5620,2000
7,3,0.4713,1500
7,5,0.4885,2000
7,12,0.6720,1000
7,13,0.4540,500
8,0,0.4087,1500
8,1,0.6460,1000
8,2,0.5680,2000
8,3,0.4810,1000
8,5,0.4810,2000
8,12,0.6720,1000
8,13,0.4740,500
8,14,0.3880,500
8,15,0.4420,500
9,0,0.4127,1500
9,1,0.6450,1000
9,2,0.5700,2000
9,3,0.4710,1000
9,5,0.4850,2000
9,12,0.6710,1000
9,13,0.4780,500
9,14,0.3760,500
9,15,0.4360,500
10,0,0.4080,500
10,1,0.5893,1500
10,2,0.5455,2000
10,3,0.4500,2000
10,5,0.4920,1000
10,12,0.6240,500
10,14,0.4220,1000
10,16,0.4120,500
10,17,0.4860,1000
11,0,0.3980,500
11,1,0.5907,1500
11,2,0.5430,2000
11,3,0.4450,2000
11,5,0.4940,1000
11,12,0.6280,500
11,14,0.4170,1000
11,16,0.4020,500
11,17,0.4780,1000
