round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4566,0.5685,0.1632,0.1442,0.1632,0.1288,1.5854,23.4676,31.2906,54.7581
1,0.5908,0.6342,0.1632,0.1374,0.1632,0.1292,1.3230,23.4676,23.4676,46.9351
2,0.6332,0.6526,0.1885,0.1383,0.1885,0.1317,1.2171,23.4676,31.2906,54.7581
3,0.6519,0.6672,0.1885,0.1381,0.1885,0.1342,1.1722,23.4676,23.4676,46.9351
4,0.6690,0.6789,0.1994,0.1404,0.1993,0.1363,1.1345,23.4676,31.2906,54.7581
5,0.6790,0.6885,0.1994,0.1416,0.1993,0.1382,1.1163,23.4676,23.4676,46.9351
6,0.6915,0.7000,0.2113,0.1433,0.2113,0.1404,1.0968,23.4676,31.2906,54.7581
7,0.6978,0.7074,0.2113,0.1442,0.2113,0.1418,1.0863,23.4676,23.4676,46.9351
8,0.7069,0.7137,0.2177,0.1457,0.2177,0.1430,1.0731,23.4676,31.2906,54.7581
9,0.7115,0.7185,0.2177,0.1465,0.2177,0.1441,1.0654,23.4676,23.4676,46.9351
10,0.7165,0.7226,0.2235,0.1472,0.2235,0.1447,1.0577,23.4676,31.2906,54.7581
11,0.7200,0.7264,0.2235,0.1477,0.2235,0.1452,1.0514,23.4676,23.4676,46.9351
12,0.7242,0.7299,0.2290,0.1483,0.2290,0.1460,1.0448,23.4676,31.2906,54.7581
13,0.7268,0.7316,0.2290,0.1487,0.2290,0.1465,1.0404,23.4676,23.4676,46.9351
14,0.7283,0.7331,0.2348,0.1489,0.2347,0.1467,1.0359,23.4676,31.2906,54.7581
15,0.7303,0.7371,0.2348,0.1492,0.2347,0.1475,1.0319,23.4676,23.4676,46.9351
16,0.7325,0.7383,0.2416,0.1495,0.2417,0.1477,1.0274,23.4676,31.2906,54.7581
17,0.7351,0.7398,0.2416,0.1499,0.2417,0.1480,1.0243,23.4676,23.4676,46.9351
18,0.7389,0.7432,0.2458,0.1505,0.2458,0.1487,1.0202,23.4676,31.2906,54.7581
19,0.7401,0.7436,0.2458,0.1508,0.2458,0.1489,1.0178,23.4676,23.4676,46.9351
20,0.7423,0.7466,0.2500,0.1511,0.2499,0.1494,1.0140,23.4676,31.2906,54.7581
