round,cluster_id,accuracy,samples
0,0,0.2409,303
0,1,0.4130,339
0,2,0.1396,702
0,3,0.0841,321
0,4,0.0797,1004
0,5,0.1081,74
0,6,0.1766,521
0,7,0.3211,109
0,8,0.4861,251
0,9,0.0070,856
0,10,0.1965,738
0,11,0.0970,134
0,12,0.3077,195
0,13,0.0317,946
0,14,0.0894,604
0,15,0.7168,678
0,16,0.5299,870
0,17,0.2102,566
0,18,0.0127,789
1,0,0.2772,303
1,1,0.4130,339
1,2,0.1581,702
1,3,0.0405,321
1,4,0.0767,1004
1,5,0.0541,74
1,6,0.2630,521
1,7,0.2844,109
1,8,0.4741,251
1,9,0.0035,856
1,10,0.2575,738
1,11,0.0970,134
1,12,0.2256,195
1,13,0.0275,946
1,14,0.0513,604
1,15,0.7640,678
1,16,0.4494,870
1,17,0.2297,566
1,18,0.0063,789
2,0,0.4408,1173
2,1,0.2950,339
2,2,0.0732,574
2,3,0.1558,321
2,4,0.0610,1132
2,5,0.1216,74
2,6,0.4333,630
2,8,0.1952,251
2,9,0.0023,856
2,10,0.2290,738
2,11,0.0672,134
2,12,0.1641,195
2,13,0.0370,946
2,14,0.0281,604
2,15,0.7684,678
2,17,0.1661,566
2,18,0.0013,789
3,0,0.4101,1173
3,1,0.2950,339
3,2,0.0732,574
3,3,0.1464,321
3,4,0.0636,1132
3,5,0.0676,74
3,6,0.4968,630
3,8,0.1673,251
3,9,0.0023,856
3,10,0.2493,738
3,11,0.0597,134
3,12,0.1436,195
3,13,0.0338,946
3,14,0.0050,604
3,15,0.7684,678
3,17,0.2067,566
3,18,0.0013,789
4,0,0.3870,1173
4,1,0.2861,339
4,2,0.2204,953
4,3,0.1807,321
4,4,0.0513,1793
4,5,0.0676,74
4,6,0.5238,630
4,9,0.0012,856
4,10,0.2629,738
4,11,0.0896,134
4,12,0.1179,195
4,13,0.0275,946
4,14,0.0033,604
4,15,0.7699,678
4,17,0.2703,566
5,0,0.3700,1173
5,1,0.2861,339
5,2,0.1962,953
5,3,0.1651,321
5,4,0.0429,1793
5,5,0.0405,74
5,6,0.5460,630
5,9,0.0012,856
5,10,0.2656,738
5,11,0.0821,134
5,12,0.1026,195
5,13,0.0243,946
5,14,0.0033,604
5,15,0.7699,678
5,17,0.2845,566
6,0,0.3419,1173
6,1,0.2655,339
6,2,0.2288,953
6,3,0.1807,321
6,4,0.0508,1793
6,5,0.0270,74
6,6,0.5603,630
6,9,0.0023,856
6,10,0.2656,738
6,11,0.1119,134
6,12,0.0769,195
6,13,0.0159,946
6,14,0.0033,604
6,15,0.7699,678
6,17,0.3145,566
7,0,0.3299,1173
7,1,0.2655,339
7,2,0.2193,953
7,3,0.1838,321
7,4,0.0524,1793
7,5,0.0270,74
7,6,0.5635,630
7,9,0.0023,856
7,10,0.2696,738
7,11,0.1045,134
7,12,0.0718,195
7,13,0.0180,946
7,14,0.0033,604
7,15,0.7714,678
7,17,0.3428,566
8,0,0.3240,1173
8,1,0.2507,339
8,2,0.2080,702
8,3,0.1869,321
8,4,0.1106,1004
8,5,0.0270,74
8,6,0.5714,630
8,9,0.0023,856
8,10,0.2588,738
8,11,0.3662,385
8,12,0.0513,195
8,13,0.0106,946
8,14,0.0033,604
8,15,0.7729,678
8,17,0.3604,566
8,18,0.0000,789
9,0,0.3163,1173
9,1,0.2507,339
9,2,0.2051,702
9,3,0.1838,321
9,4,0.1175,1004
9,5,0.0135,74
9,6,0.5762,630
9,9,0.0023,856
9,10,0.2534,738
9,11,0.3636,385
9,12,0.0462,195
9,13,0.0116,946
9,14,0.0033,604
9,15,0.7729,678
9,17,0.3852,566
9,18,0.0000,789
10,0,0.3129,1173
10,1,0.2448,339
10,2,0.2222,702
10,3,0.1838,321
10,4,0.0747,1793
10,5,0.0405,74
10,6,0.5825,630
10,9,0.0035,856
10,10,0.2466,738
10,11,0.1418,134
10,12,0.0462,195
10,13,0.0095,946
10,14,0.0033,604
10,15,0.7714,678
10,17,0.4170,566
10,19,0.5418,251
11,0,0.3103,1173
11,1,0.2419,339
11,2,0.2208,702
11,3,0.1838,321
11,4,0.0820,1793
11,5,0.0405,74
11,6,0.5825,630
11,9,0.0035,856
11,10,0.2480,738
11,11,0.1343,134
11,12,0.0513,195
11,13,0.0085,946
11,14,0.0033,604
11,15,0.7714,678
11,17,0.4170,566
11,19,0.5020,251
12,0,0.3103,1173
12,1,0.2419,339
12,2,0.1564,1132
12,3,0.1900,321
12,4,0.0000,789
12,5,0.0405,74
12,6,0.5857,630
12,9,0.0035,856
12,10,0.2493,738
12,11,0.1418,134
12,12,0.0667,195
12,13,0.0074,946
12,14,0.0050,604
12,15,0.7699,678
12,17,0.4187,566
12,19,0.4900,251
12,20,0.1655,574
13,0,0.3112,1173
13,1,0.2389,339
13,2,0.1678,1132
13,3,0.1994,321
13,4,0.0000,789
13,5,0.0270,74
13,6,0.5825,630
13,9,0.0035,856
13,10,0.2493,738
13,11,0.1269,134
13,12,0.0667,195
13,13,0.0074,946
13,14,0.0050,604
13,15,0.7684,678
13,17,0.4293,566
13,19,0.4661,251
13,20,0.1463,574
14,0,0.3112,1173
14,1,0.2448,339
14,2,0.2002,1004
14,3,0.1931,321
14,4,0.0013,789
14,5,0.0270,74
14,6,0.5825,630
14,9,0.0047,856
14,10,0.2425,738
14,11,0.1343,134
14,12,0.0564,195
14,13,0.0063,946
14,14,0.0050,604
14,15,0.7655,678
14,17,0.4258,566
14,19,0.3012,953
15,0,0.3137,1173
15,1,0.2448,339
15,2,0.1982,1004
15,3,0.2118,321
15,4,0.0013,789
15,5,0.0270,74
15,6,0.5794,630
15,9,0.0047,856
15,10,0.2412,738
15,11,0.1194,134
15,12,0.0615,195
15,13,0.0063,946
15,14,0.0066,604
15,15,0.7640,678
15,17,0.4258,566
15,19,0.2959,953
16,0,0.3163,1173
16,1,0.2389,339
16,2,0.1054,1793
16,3,0.2056,321
16,5,0.0405,74
16,6,0.5762,630
16,9,0.0047,856
16,10,0.2385,738
16,11,0.1194,134
16,12,0.0718,195
16,13,0.0063,946
16,14,0.0066,604
16,15,0.7640,678
16,17,0.4311,566
16,19,0.2991,953
17,0,0.3163,1173
17,1,0.2389,339
17,2,0.1104,1793
17,3,0.2212,321
17,5,0.0405,74
17,6,0.5746,630
17,9,0.0047,856
17,10,0.2385,738
17,11,0.1045,134
17,12,0.0821,195
17,13,0.0063,946
17,14,0.0066,604
17,15,0.7640,678
17,17,0.4311,566
17,19,0.2907,953
18,0,0.3180,1173
18,1,0.2389,339
18,2,0.1943,1132
18,3,0.2118,321
18,5,0.0405,74
18,6,0.5683,630
18,9,0.0047,856
18,10,0.2358,738
18,11,0.1119,134
18,12,0.0872,195
18,13,0.0074,946
18,14,0.0083,604
18,15,0.7640,678
18,17,0.4276,566
18,19,0.2558,825
18,20,0.0013,789
19,0,0.3231,1173
19,1,0.2389,339
19,2,0.2032,1132
19,3,0.2212,321
19,5,0.0405,74
19,6,0.5667,630
19,9,0.0047,856
19,10,0.2358,738
19,11,0.0970,134
19,12,0.0872,195
19,13,0.0085,946
19,14,0.0083,604
19,15,0.7611,678
19,17,0.4311,566
19,19,0.2436,825
19,20,0.0013,789
20,0,0.3240,1173
20,1,0.2389,339
20,2,0.4191,513
20,3,0.2087,321
20,5,0.0541,74
20,6,0.5667,630
20,9,0.0058,856
20,10,0.2358,738
20,12,0.0974,195
20,13,0.0085,946
20,14,0.0099,604
20,15,0.7596,678
20,17,0.4364,566
20,19,0.1899,574
20,20,0.1405,1793
21,0,0.3291,1173
21,1,0.2360,339
21,2,0.4172,513
21,3,0.2025,321
21,5,0.0541,74
21,6,0.5667,630
21,9,0.0058,856
21,10,0.2344,738
21,12,0.0974,195
21,13,0.0085,946
21,14,0.0099,604
21,15,0.7581,678
21,17,0.4417,566
21,19,0.1899,574
21,20,0.1322,1793
22,0,0.3325,1173
22,1,0.2360,339
22,2,0.5896,251
22,3,0.1931,321
22,5,0.0541,74
22,6,0.5619,630
22,9,0.0058,856
22,10,0.2371,738
22,12,0.0974,195
22,13,0.0095,946
22,14,0.0099,604
22,15,0.7581,678
22,17,0.4382,566
22,19,0.2692,702
22,20,0.1361,1793
22,21,0.1791,134
23,0,0.3325,1173
23,1,0.2360,339
23,2,0.5458,251
23,3,0.1963,321
23,5,0.0676,74
23,6,0.5603,630
23,9,0.0058,856
23,10,0.2331,738
23,12,0.0974,195
23,13,0.0095,946
23,14,0.0116,604
23,15,0.7566,678
23,17,0.4364,566
23,19,0.2821,702
23,20,0.1394,1793
23,21,0.1716,134
24,0,0.3342,1173
24,1,0.2360,339
24,2,0.5179,251
24,3,0.1869,321
24,5,0.0676,74
24,6,0.5587,630
24,9,0.0058,856
24,10,0.2344,738
24,12,0.0974,195
24,13,0.0095,946
24,14,0.0149,604
24,15,0.7552,678
24,17,0.4399,566
24,19,0.3120,702
24,20,0.2540,1004
24,21,0.1716,134
24,22,0.0013,789
25,0,0.3367,1173
25,1,0.2301,339
25,2,0.4781,251
25,3,0.1838,321
25,5,0.0676,74
25,6,0.5540,630
25,9,0.0058,856
25,10,0.2331,738
25,12,0.1026,195
25,13,0.0095,946
25,14,0.0149,604
25,15,0.7522,678
25,17,0.4435,566
25,19,0.3134,702
25,20,0.2669,1004
25,21,0.1642,134
25,22,0.0013,789
26,0,0.3410,1173
26,1,0.2448,339
26,2,0.4661,251
26,3,0.1682,321
26,5,0.0676,74
26,6,0.5508,630
26,9,0.0047,856
26,10,0.2344,738
26,12,0.1026,195
26,13,0.0116,946
26,14,0.0166,604
26,15,0.7507,678
26,17,0.4417,566
26,19,0.3419,702
26,20,0.2769,1004
26,21,0.1493,134
26,22,0.0013,789
27,0,0.3453,1173
27,1,0.2419,339
27,2,0.4622,251
27,3,0.1682,321
27,5,0.0811,74
27,6,0.5460,630
27,9,0.0047,856
27,10,0.2317,738
27,12,0.1077,195
27,13,0.0116,946
27,14,0.0182,604
27,15,0.7507,678
27,17,0.4399,566
27,19,0.3504,702
27,20,0.2769,1004
27,21,0.1493,134
27,22,0.0025,789
28,0,0.3444,1173
28,1,0.2360,339
28,2,0.4582,251
28,3,0.1776,321
28,5,0.0811,74
28,6,0.2294,109
28,9,0.0047,856
28,10,0.2344,738
28,12,0.1026,195
28,13,0.0116,946
28,14,0.0215,604
28,15,0.7493,678
28,17,0.4346,566
28,19,0.3647,702
28,20,0.1484,1793
28,21,0.1343,134
28,23,0.6161,521
29,0,0.3470,1173
29,1,0.2360,339
29,2,0.4542,251
29,3,0.1807,321
29,5,0.0811,74
29,6,0.2385,109
29,9,0.0047,856
29,10,0.2304,738
29,12,0.1026,195
29,13,0.0106,946
29,14,0.0215,604
29,15,0.7478,678
29,17,0.4346,566
29,19,0.3761,702
29,20,0.1550,1793
29,21,0.1269,134
29,23,0.6142,521
30,0,0.3495,1173
30,1,0.2360,339
30,2,0.5325,385
30,3,0.1838,321
30,5,0.0811,74
30,6,0.5381,630
30,9,0.0047,856
30,10,0.2331,738
30,12,0.1077,195
30,13,0.0106,946
30,14,0.0232,604
30,15,0.7478,678
30,17,0.4311,566
30,19,0.3589,574
30,20,0.1515,1921
31,0,0.3487,1173
31,1,0.2360,339
31,2,0.5273,385
31,3,0.1869,321
31,5,0.0811,74
31,6,0.5333,630
31,9,0.0047,856
31,10,0.2317,738
31,12,0.1128,195
31,13,0.0106,946
31,14,0.0232,604
31,15,0.7478,678
31,17,0.4364,566
31,19,0.3362,574
31,20,0.1442,1921
32,0,0.3470,1173
32,1,0.2360,339
32,2,0.6693,251
32,3,0.1900,321
32,5,0.0811,74
32,6,0.5302,630
32,9,0.0047,856
32,10,0.2304,738
32,12,0.1282,195
32,13,0.0106,946
32,14,0.0232,604
32,15,0.7478,678
32,17,0.4364,566
32,19,0.3223,574
32,20,0.1452,1921
32,21,0.1791,134
33,0,0.3487,1173
33,1,0.2360,339
33,2,0.6135,251
