round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1642,0.1603,0.1541,0.1542,0.1541,0.1471,2.3982,5.2156,10.4312,15.6468
1,0.1640,0.1630,0.1541,0.1527,0.1541,0.1406,2.2121,5.2156,5.2156,10.4312
2,0.1753,0.1713,0.1587,0.1560,0.1587,0.1396,2.1158,5.2156,10.4312,15.6468
3,0.1779,0.1800,0.1587,0.1566,0.1587,0.1398,2.0182,5.2156,5.2156,10.4312
4,0.1626,0.1635,0.1606,0.1593,0.1606,0.1420,1.9765,5.2156,10.4312,15.6468
5,0.1641,0.1695,0.1606,0.1599,0.1606,0.1424,1.9222,5.2156,5.2156,10.4312
6,0.1752,0.1852,0.1598,0.1618,0.1598,0.1435,1.8564,5.2156,10.4312,15.6468
7,0.1828,0.1996,0.1598,0.1623,0.1598,0.1439,1.8146,5.2156,5.2156,10.4312
8,0.1964,0.2074,0.1692,0.1721,0.1692,0.1454,1.7798,5.2156,10.4312,15.6468
9,0.2002,0.2140,0.1692,0.1727,0.1692,0.1470,1.7581,5.2156,5.2156,10.4312
10,0.2149,0.2231,0.1908,0.1873,0.1908,0.1485,1.7461,5.2156,10.4312,15.6468
11,0.2183,0.2269,0.1908,0.1877,0.1908,0.1505,1.7327,5.2156,5.2156,10.4312
12,0.2315,0.2314,0.2167,0.2037,0.2167,0.1526,1.7000,5.2156,10.4312,15.6468
13,0.2334,0.2372,0.2167,0.2047,0.2167,0.1548,1.6908,5.2156,5.2156,10.4312
14,0.2406,0.2415,0.2280,0.2149,0.2280,0.1565,1.6979,5.2156,10.4312,15.6468
15,0.2423,0.2442,0.2280,0.2159,0.2280,0.1583,1.6920,5.2156,5.2156,10.4312
16,0.2460,0.2478,0.2236,0.2181,0.2236,0.1596,1.7026,5.2156,10.4312,15.6468
17,0.2466,0.2498,0.2236,0.2188,0.2236,0.1612,1.6983,5.2156,5.2156,10.4312
18,0.2473,0.2439,0.2250,0.2205,0.2250,0.1609,1.7153,5.2156,10.4312,15.6468
19,0.2475,0.2460,0.2250,0.2213,0.2250,0.1622,1.7175,5.2156,5.2156,10.4312
20,0.2524,0.2495,0.2293,0.2259,0.2293,0.1635,1.7169,5.2156,10.4312,15.6468
21,0.2532,0.2523,0.2293,0.2264,0.2293,0.1644,1.7170,5.2156,5.2156,10.4312
22,0.2547,0.2540,0.2304,0.2273,0.2304,0.1656,1.7197,5.2156,10.4312,15.6468
23,0.2558,0.2554,0.2304,0.2279,0.2304,0.1670,1.7125,5.2156,5.2156,10.4312
24,0.2546,0.2602,0.2272,0.2269,0.2272,0.1681,1.7277,5.2156,10.4312,15.6468
25,0.2549,0.2621,0.2272,0.2274,0.2272,0.1693,1.7288,5.2156,5.2156,10.4312
26,0.2518,0.2570,0.2267,0.2278,0.2267,0.1689,1.7400,5.2156,10.4312,15.6468
27,0.2529,0.2576,0.2267,0.2282,0.2267,0.1697,1.7395,5.2156,5.2156,10.4312
28,0.2551,0.2591,0.2279,0.2301,0.2279,0.1708,1.7340,5.2156,10.4312,15.6468
29,0.2554,0.2623,0.2279,0.2304,0.2279,0.1721,1.7334,5.2156,5.2156,10.4312
