round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6662,0.1374,0.1756,0.1365,1.1363,15.2351,30.4703,45.7054
1,0.6864,0.1396,0.1756,0.1394,1.1053,15.2351,15.2351,30.4703
2,0.7001,0.1417,0.1756,0.1419,1.0898,15.2351,15.2351,30.4703
3,0.7098,0.1433,0.1756,0.1433,1.0784,15.2351,15.2351,30.4703
4,0.7160,0.1443,0.1756,0.1444,1.0704,15.2351,15.2351,30.4703
5,0.7202,0.1450,0.1756,0.1446,1.0634,15.2351,15.2351,30.4703
6,0.7266,0.1462,0.1905,0.1460,1.0545,15.2351,30.4703,45.7054
7,0.7261,0.1461,0.1905,0.1461,1.0506,15.2351,15.2351,30.4703
8,0.7319,0.1470,0.1905,0.1469,1.0454,15.2351,15.2351,30.4703
9,0.7288,0.1470,0.1905,0.1471,1.0428,15.2351,15.2351,30.4703
10,0.7337,0.1475,0.1905,0.1473,1.0389,15.2351,15.2351,30.4703
11,0.7380,0.1484,0.1905,0.1485,1.0349,15.2351,15.2351,30.4703
12,0.7379,0.1483,0.2080,0.1486,1.0326,15.2351,30.4703,45.7054
13,0.7445,0.1496,0.2080,0.1500,1.0284,15.2351,15.2351,30.4703
14,0.5805,0.1416,0.2080,0.1385,1.2861,15.2351,15.2351,30.4703
15,0.6045,0.1506,0.2080,0.1496,1.2639,15.2351,15.2351,30.4703
16,0.7402,0.1487,0.2080,0.1496,1.0338,15.2351,15.2351,30.4703
17,0.7432,0.1493,0.2080,0.1499,1.0265,15.2351,15.2351,30.4703
18,0.7514,0.1509,0.2129,0.1513,1.0200,15.2351,30.4703,45.7054
19,0.7517,0.1509,0.2129,0.1504,1.0167,15.2351,15.2351,30.4703
20,0.7585,0.1522,0.2129,0.1520,1.0126,15.2351,15.2351,30.4703
21,0.7584,0.1522,0.2129,0.1522,1.0099,15.2351,15.2351,30.4703
22,0.7598,0.1525,0.2129,0.1524,1.0063,15.2351,15.2351,30.4703
23,0.7604,0.1526,0.2129,0.1522,1.0049,15.2351,15.2351,30.4703
24,0.7610,0.1525,0.2039,0.1534,1.0058,15.2351,30.4703,45.7054
25,0.7626,0.1528,0.2039,0.1530,0.9996,15.2351,15.2351,30.4703
26,0.7649,0.1533,0.2039,0.1532,0.9977,15.2351,15.2351,30.4703
27,0.7690,0.1541,0.2039,0.1548,0.9957,15.2351,15.2351,30.4703
28,0.7656,0.1534,0.2039,0.1535,0.9936,15.2351,15.2351,30.4703
29,0.7694,0.1542,0.2039,0.1547,0.9909,15.2351,15.2351,30.4703
30,0.7698,0.1542,0.2164,0.1548,0.9893,15.2351,30.4703,45.7054
31,0.7657,0.1533,0.2164,0.1536,0.9872,15.2351,15.2351,30.4703
32,0.7701,0.1542,0.2164,0.1545,0.9884,15.2351,15.2351,30.4703
33,0.7734,0.1549,0.2164,0.1553,0.9838,15.2351,15.2351,30.4703
