round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2636,0.4019,0.1610,0.1587,0.1610,0.1453,2.2193,5.2156,10.4312,15.6468
1,0.3623,0.5444,0.1610,0.1554,0.1610,0.1332,1.8066,5.2156,5.2156,10.4312
2,0.3391,0.5936,0.1797,0.1716,0.1797,0.1295,1.7524,5.2156,10.4312,15.6468
3,0.4000,0.6158,0.1796,0.1684,0.1797,0.1290,1.5058,5.2156,5.2156,10.4312
4,0.3860,0.6314,0.1992,0.1886,0.1992,0.1298,1.5103,5.2156,10.4312,15.6468
5,0.4158,0.6424,0.1992,0.1859,0.1992,0.1306,1.3888,5.2156,5.2156,10.4312
6,0.4010,0.6476,0.2080,0.1980,0.2080,0.1310,1.3984,5.2156,10.4312,15.6468
7,0.4199,0.6552,0.2080,0.1968,0.2080,0.1321,1.3259,5.2156,5.2156,10.4312
8,0.4261,0.6606,0.2153,0.2027,0.2153,0.1329,1.2972,5.2156,10.4312,15.6468
9,0.4418,0.6645,0.2153,0.2026,0.2153,0.1337,1.2534,5.2156,5.2156,10.4312
10,0.4402,0.6719,0.2204,0.2079,0.2204,0.1350,1.2406,5.2156,10.4312,15.6468
11,0.4510,0.6759,0.2204,0.2076,0.2204,0.1359,1.2141,5.2156,5.2156,10.4312
12,0.4517,0.6786,0.2212,0.2095,0.2212,0.1365,1.2046,5.2156,10.4312,15.6468
13,0.4565,0.6833,0.2212,0.2091,0.2212,0.1371,1.1880,5.2156,5.2156,10.4312
14,0.4539,0.6866,0.2267,0.2133,0.2267,0.1380,1.1861,5.2156,10.4312,15.6468
15,0.4609,0.6921,0.2267,0.2136,0.2267,0.1389,1.1742,5.2156,5.2156,10.4312
16,0.4624,0.6984,0.2325,0.2186,0.2325,0.1401,1.1694,5.2156,10.4312,15.6468
17,0.4643,0.7005,0.2325,0.2188,0.2325,0.1406,1.1630,5.2156,5.2156,10.4312
18,0.4613,0.7044,0.2361,0.2221,0.2361,0.1414,1.1656,5.2156,10.4312,15.6468
19,0.4627,0.7077,0.2361,0.2228,0.2361,0.1420,1.1635,5.2156,5.2156,10.4312
20,0.4634,0.7104,0.2395,0.2267,0.2395,0.1425,1.1612,5.2156,10.4312,15.6468
21,0.4638,0.7124,0.2395,0.2269,0.2395,0.1429,1.1585,5.2156,5.2156,10.4312
22,0.4629,0.7153,0.2429,0.2309,0.2429,0.1434,1.1583,5.2156,10.4312,15.6468
23,0.4634,0.7156,0.2429,0.2313,0.2429,0.1436,1.1574,5.2156,5.2156,10.4312
24,0.4603,0.7177,0.2453,0.2341,0.2453,0.1440,1.1575,5.2156,10.4312,15.6468
25,0.4604,0.7210,0.2453,0.2345,0.2453,0.1446,1.1580,5.2156,5.2156,10.4312
26,0.4598,0.7224,0.2499,0.2374,0.2499,0.1448,1.1591,5.2156,10.4312,15.6468
27,0.4589,0.7241,0.2499,0.2377,0.2499,0.1453,1.1587,5.2156,5.2156,10.4312
28,0.4625,0.7270,0.2509,0.2407,0.2509,0.1457,1.1574,5.2156,10.4312,15.6468
29,0.4648,0.7280,0.2509,0.2410,0.2509,0.1459,1.1571,5.2156,5.2156,10.4312
30,0.4617,0.7291,0.2548,0.2434,0.2548,0.1461,1.1576,5.2156,10.4312,15.6468
31,0.4622,0.7300,0.2548,0.2439,0.2548,0.1463,1.1575,5.2156,5.2156,10.4312
32,0.4642,0.7305,0.2586,0.2476,0.2586,0.1465,1.1548,5.2156,10.4312,15.6468
33,0.4657,0.7310,0.2586,0.2479,0.2586,0.1464,1.1551,5.2156,5.2156,10.4312
34,0.4623,0.7334,0.2593,0.2484,0.2593,0.1469,1.1554,5.2156,10.4312,15.6468
35,0.4628,0.7331,0.2593,0.2487,0.2593,0.1468,1.1561,5.2156,5.2156,10.4312
36,0.4621,0.7338,0.2616,0.2508,0.2616,0.1470,1.1568,5.2156,10.4312,15.6468
37,0.4633,0.7349,0.2616,0.2510,0.2616,0.1472,1.1550,5.2156,5.2156,10.4312
38,0.4640,0.7359,0.2645,0.2535,0.2645,0.1473,1.1529,5.2156,10.4312,15.6468
39,0.4646,0.7373,0.2645,0.2537,0.2645,0.1477,1.1518,5.2156,5.2156,10.4312
40,0.4644,0.7368,0.2661,0.2559,0.2662,0.1477,1.1529,5.2156,10.4312,15.6468
41,0.4651,0.7371,0.2661,0.2560,0.2662,0.1477,1.1501,5.2156,5.2156,10.4312
42,0.4643,0.7381,0.2663,0.2569,0.2663,0.1480,1.1508,5.2156,10.4312,15.6468
43,0.4660,0.7401,0.2663,0.2569,0.2663,0.1482,1.1489,5.2156,5.2156,10.4312
44,0.4687,0.7422,0.2706,0.2600,0.2706,0.1488,1.1472,5.2156,10.4312,15.6468
45,0.4693,0.7437,0.2706,0.2600,0.2706,0.1489,1.1462,5.2156,5.2156,10.4312
46,0.4693,0.7445,0.2714,0.2613,0.2714,0.1491,1.1444,5.2156,10.4312,15.6468
47,0.4700,0.7449,0.2714,0.2614,0.2714,0.1493,1.1428,5.2156,5.2156,10.4312
48,0.4725,0.7474,0.2735,0.2623,0.2735,0.1496,1.1419,5.2156,10.4312,15.6468
49,0.4731,0.7467,0.2735,0.2622,0.2735,0.1496,1.1414,5.2156,5.2156,10.4312
50,0.4733,0.7478,0.2726,0.2637,0.2726,0.1496,1.1395,5.2156,10.4312,15.6468
51,0.4745,0.7483,0.2726,0.2638,0.2726,0.1498,1.1371,5.2156,5.2156,10.4312
52,0.4727,0.7494,0.2746,0.2642,0.2746,0.1500,1.1379,5.2156,10.4312,15.6468
53,0.4744,0.7503,0.2746,0.2645,0.2746,0.1502,1.1374,5.2156,5.2156,10.4312
54,0.4781,0.7518,0.2763,0.2664,0.2764,0.1504,1.1340,5.2156,10.4312,15.6468
55,0.4779,0.7516,0.2763,0.2663,0.2764,0.1505,1.1329,5.2156,5.2156,10.4312
56,0.4762,0.7525,0.2766,0.2668,0.2765,0.1506,1.1321,5.2156,10.4312,15.6468
57,0.4765,0.7525,0.2766,0.2667,0.2765,0.1507,1.1307,5.2156,5.2156,10.4312
58,0.4772,0.7537,0.2782,0.2683,0.2782,0.1508,1.1294,5.2156,10.4312,15.6468
59,0.4774,0.7539,0.2782,0.2683,0.2782,0.1509,1.1278,5.2156,5.2156,10.4312
