round,cluster_id,accuracy,samples
0,0,0.1340,2000
0,1,0.3880,2000
0,2,0.1715,2000
0,3,0.2773,1500
0,4,0.3420,1000
0,5,0.2540,500
0,6,0.3470,1000
1,0,0.2350,2000
1,1,0.4470,2000
1,2,0.2330,2000
1,3,0.4507,1500
1,4,0.4270,1000
1,5,0.4520,500
1,6,0.4460,1000
2,0,0.2030,2000
2,1,0.4310,2000
2,2,0.2975,2000
2,3,0.4190,2000
2,4,0.4725,2000
3,0,0.2640,2000
3,1,0.4705,2000
3,2,0.4005,2000
3,3,0.4825,2000
3,4,0.5125,2000
4,0,0.2600,2000
4,1,0.4880,2000
4,2,0.4205,2000
4,3,0.4550,2000
4,4,0.5235,2000
5,0,0.3090,2000
5,1,0.5200,2000
5,2,0.4760,2000
5,3,0.4870,2000
5,4,0.5470,2000
6,0,0.2660,1000
6,1,0.5235,2000
6,2,0.4900,2000
6,3,0.4540,2000
6,4,0.5590,2000
6,5,0.3080,1000
7,0,0.2850,1000
7,1,0.5335,2000
7,2,0.5225,2000
7,3,0.4790,2000
7,4,0.5710,2000
7,5,0.3290,1000
8,0,0.3073,1500
8,1,0.5433,1500
8,2,0.5393,1500
8,3,0.4700,1000
8,4,0.5765,2000
8,5,0.3000,500
8,6,0.5440,500
8,7,0.5220,500
8,8,0.4720,1000
9,0,0.3307,1500
9,1,0.5513,1500
9,2,0.5560,1500
9,3,0.4840,1000
9,4,0.5835,2000
9,5,0.3260,500
9,6,0.5480,500
9,7,0.5320,500
9,8,0.4900,1000
10,0,0.3230,1000
10,1,0.5555,2000
10,2,0.5960,500
10,3,0.4900,1500
10,4,0.5933,1500
10,5,0.3490,1000
10,7,0.5380,1000
10,8,0.4680,500
10,9,0.5400,500
10,10,0.5720,500
11,0,0.3300,1000
11,1,0.5600,2000
11,2,0.6040,500
11,3,0.5047,1500
11,4,0.5967,1500
11,5,0.3660,1000
11,7,0.5510,1000
11,8,0.4780,500
11,9,0.5520,500
11,10,0.5780,500
12,0,0.3607,1500
12,1,0.5625,2000
12,3,0.4875,2000
12,4,0.5935,2000
12,5,0.3460,500
12,7,0.5720,2000
13,0,0.3673,1500
13,1,0.5650,2000
13,3,0.4955,2000
13,4,0.5990,2000
13,5,0.3420,500
13,7,0.5810,2000
14,0,0.3600,1000
14,1,0.5615,2000
14,3,0.5040,1500
14,4,0.5990,2000
14,5,0.3800,1000
14,7,0.5900,1000
14,8,0.5770,1000
14,9,0.4820,500
15,0,0.3650,1000
15,1,0.5635,2000
15,3,0.5073,1500
15,4,0.6040,2000
15,5,0.3860,1000
15,7,0.5950,1000
15,8,0.5880,1000
15,9,0.4920,500
16,0,0.3800,1000
16,1,0.5635,2000
16,3,0.4993,1500
16,4,0.6055,2000
16,5,0.3860,1000
16,7,0.6090,1000
16,8,0.5810,1000
16,9,0.4800,500
17,0,0.3820,1000
17,1,0.5645,2000
17,3,0.5020,1500
17,4,0.6085,2000
17,5,0.3890,1000
17,7,0.6190,1000
17,8,0.5830,1000
17,9,0.4800,500
18,0,0.3800,1000
18,1,0.5630,2000
18,3,0.4945,2000
18,4,0.6080,2000
18,5,0.3900,1000
18,7,0.5905,2000
19,0,0.3900,1000
19,1,0.5605,2000
19,3,0.4905,2000
19,4,0.6085,2000
19,5,0.3930,1000
19,7,0.5970,2000
20,0,0.3940,1000
20,1,0.5620,2000
20,3,0.4910,2000
20,4,0.6040,2000
20,5,0.3900,1000
20,7,0.5985,2000
21,0,0.3920,1000
21,1,0.5625,2000
21,3,0.4890,2000
21,4,0.6065,2000
21,5,0.3980,1000
21,7,0.6015,2000
22,0,0.3940,2000
22,1,0.5687,1500
22,3,0.4880,2000
22,4,0.6025,2000
22,7,0.6310,1000
22,8,0.5850,1000
22,9,0.5300,500
23,0,0.3935,2000
23,1,0.5633,1500
23,3,0.4920,2000
23,4,0.6030,2000
23,7,0.6310,1000
23,8,0.5870,1000
23,9,0.5220,500
24,0,0.3985,2000
24,1,0.5490,2000
24,3,0.4820,2000
24,4,0.6010,2000
24,7,0.6055,2000
25,0,0.4045,2000
25,1,0.5485,2000
25,3,0.4815,2000
25,4,0.6000,2000
25,7,0.6030,2000
26,0,0.4055,2000
26,1,0.5413,1500
26,3,0.4835,2000
26,4,0.5950,2000
26,7,0.5995,2000
26,8,0.5500,500
27,0,0.4060,2000
27,1,0.5407,1500
27,3,0.4800,2000
27,4,0.5950,2000
27,7,0.6015,2000
27,8,0.5500,500
28,0,0.4120,1500
28,1,0.5390,2000
28,3,0.4587,1500
28,4,0.5915,2000
28,7,0.6010,2000
28,9,0.5000,500
28,10,0.4040,500
29,0,0.4087,1500
29,1,0.5360,2000
29,3,0.4553,1500
29,4,0.5905,2000
29,7,0.6015,2000
29,9,0.5000,500
29,10,0.4100,500
30,0,0.4090,2000
30,1,0.5340,2000
30,3,0.4565,2000
30,4,0.5865,2000
30,7,0.6025,2000
31,0,0.4095,2000
31,1,0.5325,2000
31,3,0.4570,2000
31,4,0.5890,2000
31,7,0.6040,2000
32,0,0.4090,1000
32,1,0.5325,2000
32,3,0.4610,2000
32,4,0.5885,2000
32,7,0.6027,1500
32,8,0.4180,1000
