round,cluster_id,accuracy,samples
0,0,0.0602,665
0,1,0.0051,1363
0,2,0.1891,1063
0,3,0.0026,775
0,4,0.9043,794
0,5,0.3152,809
0,6,0.0275,291
0,7,0.4844,1282
0,8,0.0366,382
0,9,0.0188,744
0,10,0.2560,1082
0,11,0.2583,360
0,12,0.0088,454
0,13,0.0945,656
0,14,0.3255,1066
0,15,0.1281,406
0,16,0.1481,520
0,17,0.0013,1499
0,18,0.3401,491
0,19,0.3003,303
1,0,0.3564,665
1,1,0.1328,1363
1,2,0.4685,1063
1,3,0.0052,775
1,4,0.9824,794
1,5,0.5216,809
1,6,0.0275,291
1,7,0.9197,1282
1,8,0.1466,382
1,9,0.0228,744
1,10,0.2837,1082
1,11,0.4222,360
1,12,0.0330,454
1,13,0.2302,656
1,14,0.6201,1066
1,15,0.1650,406
1,16,0.1558,520
1,17,0.0060,1499
1,18,0.4012,491
1,19,0.7426,303
2,0,0.7023,665
2,1,0.6104,1363
2,2,0.6820,1063
2,3,0.4134,491
2,4,0.9962,794
2,5,0.2865,1082
2,6,0.0360,1499
2,7,0.6737,809
2,8,0.0344,291
2,9,0.0155,775
2,10,0.1982,454
2,11,0.9860,1282
2,12,0.5722,360
2,13,0.7645,1066
2,14,0.3399,656
2,15,0.3327,520
2,16,0.2094,406
2,17,0.8416,303
2,18,0.0336,744
2,19,0.3298,382
3,0,0.9038,665
3,1,0.8665,1363
3,2,0.7611,1063
3,3,0.4134,491
3,4,0.9987,794
3,5,0.3105,1082
3,6,0.1308,1499
3,7,0.7342,809
3,8,0.0653,291
3,9,0.0568,775
3,10,0.4119,454
3,11,0.9945,1282
3,12,0.6222,360
3,13,0.7824,1066
3,14,0.4040,656
3,15,0.5558,520
3,16,0.2685,406
3,17,0.8449,303
3,18,0.0511,744
3,19,0.5000,382
4,0,0.9684,665
4,1,0.9494,1363
4,2,0.4482,1082
4,3,0.8156,1063
4,4,1.0000,794
4,5,0.7923,775
4,6,0.3058,291
4,7,0.9945,1282
4,8,0.6492,382
4,9,0.5618,744
4,10,0.7689,809
4,11,0.8002,1066
4,12,0.7952,454
4,13,0.6083,360
4,14,0.4848,656
4,15,0.4113,406
4,16,0.7365,520
4,17,0.4803,1499
4,18,0.4175,491
4,19,0.8449,303
5,0,0.9684,665
5,1,0.9589,1363
5,2,0.4991,1082
5,3,0.8260,1063
5,4,1.0000,794
5,5,0.9019,775
5,6,0.4364,291
5,7,0.9945,1282
5,8,0.7225,382
5,9,0.6895,744
5,10,0.7775,809
5,11,0.7842,1066
5,12,0.8128,454
5,13,0.6417,360
