round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2266,2.2128,1238.1279,26854.1088,28092.2367
1,0.3796,2.1146,1238.1279,1238.1279,2476.2558
2,0.5119,2.0099,1238.1279,1238.1279,2476.2558
3,0.6034,1.8964,1238.1279,1238.1279,2476.2558
4,0.6864,1.7878,1238.1279,26854.1088,28092.2367
5,0.7228,1.6872,1238.1279,1238.1279,2476.2558
6,0.7461,1.5995,1238.1279,1238.1279,2476.2558
7,0.7647,1.5198,1238.1279,1238.1279,2476.2558
8,0.7662,1.4523,1238.1279,26854.1088,28092.2367
9,0.7845,1.3951,1238.1279,1238.1279,2476.2558
10,0.7948,1.3435,1238.1279,1238.1279,2476.2558
11,0.7990,1.2966,1238.1279,1238.1279,2476.2558
12,0.7999,1.2547,1238.1279,26854.1088,28092.2367
13,0.8045,1.2098,1238.1279,1238.1279,2476.2558
14,0.8076,1.1708,1238.1279,1238.1279,2476.2558
15,0.8103,1.1371,1238.1279,1238.1279,2476.2558
16,0.8157,1.1029,1238.1279,26854.1088,28092.2367
17,0.8197,1.0724,1238.1279,1238.1279,2476.2558
18,0.8214,1.0458,1238.1279,1238.1279,2476.2558
19,0.8233,1.0228,1238.1279,1238.1279,2476.2558
20,0.8261,0.9965,1238.1279,26854.1088,28092.2367
21,0.8289,0.9764,1238.1279,1238.1279,2476.2558
22,0.8312,0.9583,1238.1279,1238.1279,2476.2558
23,0.8343,0.9411,1238.1279,1238.1279,2476.2558
24,0.8378,0.9223,1238.1279,26854.1088,28092.2367
25,0.8400,0.9096,1238.1279,1238.1279,2476.2558
26,0.8426,0.8935,1238.1279,1238.1279,2476.2558
27,0.8446,0.8796,1238.1279,1238.1279,2476.2558
28,0.8470,0.8684,1238.1279,26854.1088,28092.2367
29,0.8482,0.8569,1238.1279,1238.1279,2476.2558
30,0.8490,0.8474,1238.1279,1238.1279,2476.2558
31,0.8508,0.8371,1238.1279,1238.1279,2476.2558
32,0.8537,0.8285,1238.1279,26854.1088,28092.2367
33,0.8561,0.8172,1238.1279,1238.1279,2476.2558
34,0.8576,0.8087,1238.1279,1238.1279,2476.2558
35,0.8585,0.8028,1238.1279,1238.1279,2476.2558
