round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1869,2.2378,1238.1279,26854.1088,28092.2367
1,0.2838,2.1601,1238.1279,1238.1279,2476.2558
2,0.3633,2.0793,1238.1279,1238.1279,2476.2558
3,0.4531,1.9943,1238.1279,1238.1279,2476.2558
4,0.5488,1.9063,1238.1279,26854.1088,28092.2367
5,0.6039,1.8172,1238.1279,1238.1279,2476.2558
6,0.6465,1.7275,1238.1279,1238.1279,2476.2558
7,0.6797,1.6374,1238.1279,1238.1279,2476.2558
8,0.7592,1.5471,1238.1279,26854.1088,28092.2367
9,0.7741,1.4579,1238.1279,1238.1279,2476.2558
10,0.7808,1.3709,1238.1279,1238.1279,2476.2558
11,0.7874,1.2872,1238.1279,1238.1279,2476.2558
12,0.7868,1.2074,1238.1279,26854.1088,28092.2367
13,0.7924,1.1325,1238.1279,1238.1279,2476.2558
14,0.7994,1.0628,1238.1279,1238.1279,2476.2558
15,0.8067,0.9983,1238.1279,1238.1279,2476.2558
16,0.8047,0.9413,1238.1279,26854.1088,28092.2367
17,0.8154,0.8868,1238.1279,1238.1279,2476.2558
18,0.8256,0.8372,1238.1279,1238.1279,2476.2558
19,0.8335,0.7918,1238.1279,1238.1279,2476.2558
20,0.8359,0.7488,1238.1279,26854.1088,28092.2367
21,0.8412,0.7113,1238.1279,1238.1279,2476.2558
22,0.8449,0.6771,1238.1279,1238.1279,2476.2558
23,0.8478,0.6465,1238.1279,1238.1279,2476.2558
24,0.8505,0.6186,1238.1279,26854.1088,28092.2367
25,0.8516,0.5936,1238.1279,1238.1279,2476.2558
26,0.8527,0.5710,1238.1279,1238.1279,2476.2558
27,0.8545,0.5511,1238.1279,1238.1279,2476.2558
28,0.8544,0.5330,1238.1279,26854.1088,28092.2367
29,0.8557,0.5162,1238.1279,1238.1279,2476.2558
30,0.8577,0.5011,1238.1279,1238.1279,2476.2558
31,0.8587,0.4876,1238.1279,1238.1279,2476.2558
32,0.8601,0.4755,1238.1279,26854.1088,28092.2367
33,0.8624,0.4639,1238.1279,1238.1279,2476.2558
34,0.8627,0.4535,1238.1279,1238.1279,2476.2558
35,0.8627,0.4438,1238.1279,1238.1279,2476.2558
36,0.8628,0.4355,1238.1279,26854.1088,28092.2367
37,0.8631,0.4272,1238.1279,1238.1279,2476.2558
38,0.8646,0.4194,1238.1279,1238.1279,2476.2558
39,0.8659,0.4120,1238.1279,1238.1279,2476.2558
40,0.8656,0.4060,1238.1279,26854.1088,28092.2367
41,0.8672,0.3994,1238.1279,1238.1279,2476.2558
42,0.8681,0.3933,1238.1279,1238.1279,2476.2558
43,0.8686,0.3879,1238.1279,1238.1279,2476.2558
44,0.8695,0.3823,1238.1279,26854.1088,28092.2367
45,0.8701,0.3770,1238.1279,1238.1279,2476.2558
46,0.8703,0.3723,1238.1279,1238.1279,2476.2558
47,0.8707,0.3679,1238.1279,1238.1279,2476.2558
48,0.8708,0.3638,1238.1279,26854.1088,28092.2367
49,0.8713,0.3594,1238.1279,1238.1279,2476.2558
