dataset,rho,threshold,best_acc,best_seen_acc,best_unseen_acc,best_round,final_acc,final_round,run
cifar10,0.0,0.1,0.880984754268587,0.88095,0.0,100,0.880984754268587,100,20260625/time_161728
cifar10,0.0,0.2,0.8789324023524897,0.8789,0.0,100,0.8789324023524897,100,20260625/time_161728
cifar10,0.0,0.3,0.8766834824050733,0.87665,0.0,100,0.8766834824050733,100,20260625/time_161728
cifar10,0.0,0.4,0.8733737968572235,0.87335,0.0,100,0.8733737968572235,100,20260625/time_161728
cifar10,0.0,0.5,0.8688689245557897,0.86885,0.0,100,0.8688689245557897,100,20260625/time_161728
cifar10,0.2,0.1,0.7415401084834086,0.8780473177606525,0.05668320553300256,85,0.7415401084834086,85,20260625/time_161753
cifar10,0.2,0.2,0.745359415280825,0.8767279378692014,0.0863028116072771,85,0.745359415280825,85,20260625/time_161753
cifar10,0.2,0.3,0.7454411560664511,0.8727697981948485,0.10675086453164938,81,0.7450893073892862,84,20260625/time_161753
cifar10,0.2,0.4,0.7465081235913705,0.8695313202794687,0.12945421741091565,80,0.7461535947395523,84,20260625/time_161753
cifar10,0.2,0.5,0.746550447348087,0.8652133497256289,0.1514058036385506,80,0.7456905544289494,84,20260625/time_161753
cifar10,0.4,0.1,0.6410735663449705,0.875856523563138,0.051597051597051594,82,0.6410735663449705,82,20260625/time_161808
cifar10,0.4,0.2,0.6478733754512137,0.8738637952733883,0.08046683046683047,82,0.6478733754512137,82,20260625/time_161808
cifar10,0.4,0.3,0.6517877102474187,0.8709271430569151,0.10161460161460162,79,0.6505098132980862,81,20260625/time_161808
cifar10,0.4,0.4,0.6557441390579073,0.8678506502587051,0.1232011232011232,79,0.6545354505005452,81,20260625/time_161808
cifar10,0.4,0.5,0.6589038831748045,0.864249755278982,0.1432958932958933,79,0.658460816893072,81,20260625/time_161808
cifar10,0.6,0.1,0.5685237025018304,0.8746703955253695,0.05644622578490314,83,0.5685237025018304,83,20260625/time_161826
cifar10,0.6,0.2,0.5783651700605453,0.873152217339193,0.08530394121576486,83,0.5783651700605453,83,20260625/time_161826
cifar10,0.6,0.3,0.5859340836940103,0.8707950459448661,0.10948563794255177,82,0.5859340836940103,82,20260625/time_161826
cifar10,0.6,0.4,0.5925208442819361,0.8677986416300439,0.1321309285237141,82,0.5925208442819361,82,20260625/time_161826
cifar10,0.6,0.5,0.5989429674958191,0.8638433879344787,0.15591182364729458,82,0.5989429674958191,82,20260625/time_161826
cifar10,0.8,0.1,0.5171496381737374,0.8872359550561798,0.05312676056338028,100,0.5171496381737374,100,20260625/time_160454
cifar10,0.8,0.2,0.5291759275407709,0.8853483146067416,0.08259154929577464,100,0.5291759275407709,100,20260625/time_160454
cifar10,0.8,0.3,0.5383348890391723,0.8808988764044944,0.10878873239436619,95,0.5381357777187461,100,20260625/time_160454
cifar10,0.8,0.4,0.5472143003873349,0.8778876404494382,0.13261971830985916,95,0.5462605152799109,100,20260625/time_160454
cifar10,0.8,0.5,0.5544246086911556,0.8728988764044944,0.1551549295774648,95,0.5541480476496315,100,20260625/time_160454
fashionmnist,0.2,0.1,0.8709303119854619,0.9782628303418418,0.34144531829648317,25,0.8709303119854619,25,20260626/time_014737
fashionmnist,0.2,0.2,0.8774780294795862,0.9756170890833108,0.3933818073898204,24,0.8771318585147035,25,20260626/time_014737
fashionmnist,0.2,0.3,0.8810341982397474,0.9730615435495025,0.4270663303160706,25,0.8810341982397474,25,20260626/time_014737
fashionmnist,0.2,0.4,0.883285811065823,0.9704158022909715,0.4534797447692536,24,0.8828677018601532,25,20260626/time_014737
fashionmnist,0.2,0.5,0.8846682240243594,0.9674994738582724,0.4760350200326458,24,0.8845374105246202,25,20260626/time_014737
fashionmnist,0.4,0.1,0.795409765691306,0.9454488233031437,0.4191002367797948,5,0.7903152303910868,25,20260626/time_014743
fashionmnist,0.4,0.2,0.8032339498733954,0.9741930971780257,0.37455055687099886,25,0.8032339498733954,25,20260626/time_014743
fashionmnist,0.4,0.3,0.8104377390991578,0.9712906948281288,0.40708585459966673,25,0.8104377390991578,25,20260626/time_014743
fashionmnist,0.4,0.4,0.8154211712509908,0.9670594817638214,0.4350609488731036,22,0.8150757133957128,24,20260626/time_014743
fashionmnist,0.4,0.5,0.8187387868185211,0.9631429870266112,0.4565465228448654,22,0.8181948289445797,24,20260626/time_014743
