method,settings,runs,total_mb_mean,total_mb_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,avg_round_total_mb_mean,avg_round_total_mb_std
FedALA,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
FedAS,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
FedAvg,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
FedBN,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
FedCross,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
FedDST,10,30,223.333000,88.165285,111.799000,44.082640,111.530333,44.080390,2.211218,0.872924
FedMoE,2,2,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000
FedProx,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
PMOE_FedPer,10,30,391.970000,0.223761,195.980000,0.111880,195.980000,0.111880,3.880891,0.002215
cwFedAvg,10,30,397.850000,0.223761,196.470000,0.111880,201.380000,0.111880,3.939109,0.002215
cwFedAvg_before,10,30,397.850000,0.223761,196.470000,0.111880,201.380000,0.111880,3.939109,0.002215
pFedMe,10,30,392.950000,0.223761,196.470000,0.111880,196.470000,0.111880,3.890594,0.002215
