dataset,method,rho,completed_runs,used_runs,required_round,total_mb_mean,total_mb_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,avg_round_total_mb_mean,avg_round_total_mb_std,sources
cifar10,FedALA,0.0,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.0\NC_50\date_20260602\time_133727\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.0\NC_50\date_20260612\time_175226\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.0\NC_50\date_20260612\time_175240\acc.csv
cifar10,FedALA,0.2,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.2\NC_50\date_20260602\time_141620\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.2\NC_50\date_20260612\time_184543\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.2\NC_50\date_20260612\time_184609\acc.csv
cifar10,FedALA,0.4,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.4\NC_50\date_20260602\time_145514\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.4\NC_50\date_20260612\time_193842\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.4\NC_50\date_20260612\time_193907\acc.csv
cifar10,FedALA,0.6,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.6\NC_50\date_20260602\time_153414\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.6\NC_50\date_20260612\time_203147\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.6\NC_50\date_20260612\time_203218\acc.csv
cifar10,FedALA,0.8,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.8\NC_50\date_20260602\time_161250\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.8\NC_50\date_20260612\time_212511\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedALA\GM_VGG8\splitgp_rho0.8\NC_50\date_20260612\time_212541\acc.csv
cifar10,FedAS,0.0,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.0\NC_50\date_20260602\time_165143\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.0\NC_50\date_20260612\time_221755\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.0\NC_50\date_20260612\time_221821\acc.csv
cifar10,FedAS,0.2,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.2\NC_50\date_20260602\time_180830\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_000723\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_000804\acc.csv
cifar10,FedAS,0.4,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.4\NC_50\date_20260602\time_192741\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_015708\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_015719\acc.csv
cifar10,FedAS,0.6,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.6\NC_50\date_20260602\time_204435\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_034845\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_034848\acc.csv
cifar10,FedAS,0.8,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.8\NC_50\date_20260602\time_220334\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_053745\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAS\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_054129\acc.csv
