Client 50 / CIFAR10
메서드 \ 정확도(%),0,0.2,0.4,0.6,0.8
FedAvg,42.91 ± 1.89,40.47 ± 0.68,38.72 ± 0.52,37.23 ± 0.28,36.61 ± 0.25
FedAS,84.96 ± 0.35,70.78 ± 0.38,60.83 ± 0.30,53.01 ± 0.21,47.23 ± 0.21
FedProx,,,,,
FedBN,42.72 ± 2.05,40.20 ± 0.72,38.50 ± 0.49,37.00 ± 0.26,36.36 ± 0.23
FedALA,85.97 ± 0.46,71.63 ± 0.38,61.44 ± 0.35,53.52 ± 0.28,47.89 ± 0.30
FedCross,84.65 ± 0.33,70.55 ± 0.25,60.52 ± 0.19,52.84 ± 0.16,47.12 ± 0.16
pFedME,82.69 ± 0.27,68.81 ± 0.28,,,
cwFedAVG,42.43 ± 2.42,39.91 ± 0.78,38.34 ± 0.60,36.88 ± 0.43,36.32 ± 0.38

Client 50 / FMNIST
메서드 \ 정확도(%),0,0.2,0.4,0.6,0.8
FedAvg,,,,,
FedAS,,,,,
FedProx,,,,,
FedBN,,,,,
FedALA,,,,,
FedCross,,,,,
pFedME,,,,,
cwFedAVG,,,,,
