round,cluster_id,accuracy,samples
0,0,0.5600,2000
0,1,0.4815,2000
0,2,0.3630,2000
0,3,0.4980,1500
0,4,0.3270,1000
0,5,0.3600,500
0,6,0.4840,500
0,7,0.3180,500
1,0,0.6205,2000
1,1,0.5740,2000
1,2,0.6545,2000
1,3,0.5927,1500
1,4,0.4490,1000
1,5,0.4840,500
1,6,0.5840,500
1,7,0.4600,500
2,0,0.6350,2000
2,1,0.6355,2000
2,2,0.7147,1500
2,3,0.6375,2000
2,4,0.5360,1500
2,7,0.5380,500
2,8,0.7000,500
3,0,0.6470,2000
3,1,0.6525,2000
3,2,0.7367,1500
3,3,0.6600,2000
3,4,0.5553,1500
3,7,0.5440,500
3,8,0.7180,500
4,0,0.6570,2000
4,1,0.6705,2000
4,2,0.7680,500
4,3,0.6750,2000
4,4,0.5835,2000
4,8,0.7320,1000
4,9,0.7740,500
5,0,0.6630,2000
5,1,0.6760,2000
5,2,0.7620,500
5,3,0.6825,2000
5,4,0.5955,2000
5,8,0.7440,1000
5,9,0.7800,500
6,0,0.6710,2000
6,1,0.6895,2000
6,3,0.6905,2000
6,4,0.6225,2000
6,8,0.7587,1500
6,9,0.7860,500
7,0,0.6800,2000
7,1,0.6925,2000
7,3,0.6950,2000
7,4,0.6420,2000
7,8,0.7640,1500
7,9,0.7940,500
8,0,0.6875,2000
8,1,0.7010,2000
8,3,0.7020,2000
8,4,0.6540,1500
8,8,0.7773,1500
8,10,0.6460,500
8,11,0.7760,500
9,0,0.6925,2000
9,1,0.7045,2000
9,3,0.7080,2000
9,4,0.6580,1500
9,8,0.7747,1500
9,10,0.6480,500
9,11,0.7920,500
10,0,0.6993,1500
10,1,0.7140,1000
10,3,0.7160,2000
10,4,0.6640,1500
10,8,0.7933,1500
10,12,0.7700,500
10,13,0.6860,500
10,14,0.6560,500
10,15,0.7130,1000
11,0,0.7000,1500
11,1,0.7190,1000
11,3,0.7200,2000
11,4,0.6693,1500
11,8,0.7947,1500
11,12,0.7740,500
11,13,0.6940,500
11,14,0.6460,500
11,15,0.7160,1000
12,0,0.7025,2000
12,1,0.7050,1000
12,3,0.7225,2000
12,4,0.6690,2000
12,8,0.7905,2000
12,15,0.7440,1000
13,0,0.7050,2000
13,1,0.7080,1000
13,3,0.7235,2000
13,4,0.6720,2000
13,8,0.7895,2000
13,15,0.7440,1000
14,0,0.7075,2000
14,1,0.6880,500
14,3,0.7270,2000
14,4,0.6840,1000
14,8,0.7940,1500
14,15,0.7393,1500
14,16,0.7700,500
14,17,0.6670,1000
15,0,0.7055,2000
15,1,0.6960,500
15,3,0.7310,2000
15,4,0.6900,1000
15,8,0.7973,1500
15,15,0.7427,1500
15,16,0.7680,500
15,17,0.6690,1000
16,0,0.7070,2000
16,3,0.7330,2000
16,4,0.6840,2000
16,8,0.7910,2000
16,15,0.7335,2000
17,0,0.7070,2000
17,3,0.7365,2000
17,4,0.6865,2000
17,8,0.7920,2000
17,15,0.7340,2000
18,0,0.7095,2000
18,3,0.7440,1000
18,4,0.6953,1500
18,8,0.7940,1000
18,15,0.7375,2000
18,16,0.8080,500
18,17,0.7370,1000
18,18,0.7700,500
18,19,0.6620,500
19,0,0.7095,2000
19,3,0.7460,1000
19,4,0.6953,1500
19,8,0.7980,1000
19,15,0.7390,2000
19,16,0.8140,500
19,17,0.7420,1000
19,18,0.7700,500
19,19,0.6700,500
20,0,0.7140,2000
20,3,0.7480,1500
20,4,0.6920,2000
20,8,0.7960,2000
20,15,0.7380,1000
20,17,0.7500,500
20,20,0.7530,1000
