round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4428,0.5575,0.1632,0.1456,0.1632,0.1307,1.6467,15.6453,31.2906,46.9359
1,0.5765,0.6235,0.1632,0.1384,0.1632,0.1284,1.3528,15.6453,15.6453,31.2906
2,0.6249,0.6444,0.1885,0.1398,0.1885,0.1305,1.2346,15.6453,31.2906,46.9359
3,0.6408,0.6559,0.1885,0.1383,0.1885,0.1321,1.1854,15.6453,15.6453,31.2906
4,0.6545,0.6668,0.2050,0.1397,0.2050,0.1339,1.1451,15.6453,31.2906,46.9359
5,0.6638,0.6743,0.2050,0.1396,0.2050,0.1352,1.1258,15.6453,15.6453,31.2906
6,0.6757,0.6829,0.2176,0.1414,0.2176,0.1370,1.1049,15.6453,31.2906,46.9359
7,0.6831,0.6921,0.2176,0.1424,0.2176,0.1387,1.0939,15.6453,15.6453,31.2906
8,0.6921,0.6981,0.2234,0.1436,0.2234,0.1400,1.0801,15.6453,31.2906,46.9359
9,0.6959,0.7046,0.2234,0.1443,0.2234,0.1413,1.0722,15.6453,15.6453,31.2906
10,0.7032,0.7106,0.2299,0.1453,0.2299,0.1421,1.0638,15.6453,31.2906,46.9359
11,0.7068,0.7142,0.2299,0.1460,0.2299,0.1429,1.0574,15.6453,15.6453,31.2906
12,0.7131,0.7174,0.2369,0.1471,0.2369,0.1435,1.0506,15.6453,31.2906,46.9359
13,0.7148,0.7195,0.2369,0.1473,0.2369,0.1440,1.0461,15.6453,15.6453,31.2906
14,0.7184,0.7217,0.2408,0.1478,0.2408,0.1446,1.0412,15.6453,31.2906,46.9359
15,0.7205,0.7252,0.2408,0.1482,0.2408,0.1453,1.0374,15.6453,15.6453,31.2906
16,0.7233,0.7295,0.2443,0.1487,0.2443,0.1460,1.0330,15.6453,31.2906,46.9359
17,0.7265,0.7316,0.2443,0.1493,0.2443,0.1464,1.0300,15.6453,15.6453,31.2906
18,0.7288,0.7339,0.2500,0.1496,0.2500,0.1469,1.0258,15.6453,31.2906,46.9359
19,0.7316,0.7349,0.2500,0.1501,0.2500,0.1471,1.0233,15.6453,15.6453,31.2906
20,0.7330,0.7384,0.2552,0.1503,0.2552,0.1478,1.0196,15.6453,31.2906,46.9359
