round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4475,0.5608,0.1636,0.1454,0.1636,0.1299,1.6329,15.6453,31.2906,46.9359
1,0.5794,0.6236,0.1636,0.1388,0.1636,0.1285,1.3451,15.6453,15.6453,31.2906
2,0.6251,0.6451,0.1891,0.1401,0.1891,0.1305,1.2296,15.6453,31.2906,46.9359
3,0.6401,0.6574,0.1891,0.1383,0.1891,0.1323,1.1817,15.6453,15.6453,31.2906
4,0.6549,0.6670,0.2066,0.1398,0.2066,0.1340,1.1419,15.6453,31.2906,46.9359
5,0.6655,0.6762,0.2066,0.1400,0.2066,0.1356,1.1230,15.6453,15.6453,31.2906
6,0.6765,0.6852,0.2178,0.1417,0.2178,0.1374,1.1024,15.6453,31.2906,46.9359
7,0.6842,0.6921,0.2178,0.1426,0.2178,0.1387,1.0916,15.6453,15.6453,31.2906
8,0.6928,0.6985,0.2248,0.1439,0.2248,0.1400,1.0779,15.6453,31.2906,46.9359
9,0.6986,0.7048,0.2248,0.1448,0.2248,0.1412,1.0701,15.6453,15.6453,31.2906
10,0.7033,0.7113,0.2325,0.1454,0.2325,0.1423,1.0618,15.6453,31.2906,46.9359
11,0.7082,0.7138,0.2325,0.1464,0.2325,0.1429,1.0556,15.6453,15.6453,31.2906
12,0.7125,0.7178,0.2369,0.1470,0.2369,0.1437,1.0489,15.6453,31.2906,46.9359
13,0.7171,0.7224,0.2369,0.1476,0.2369,0.1446,1.0444,15.6453,15.6453,31.2906
14,0.7192,0.7247,0.2413,0.1480,0.2413,0.1450,1.0398,15.6453,31.2906,46.9359
15,0.7223,0.7286,0.2413,0.1485,0.2413,0.1457,1.0360,15.6453,15.6453,31.2906
16,0.7249,0.7320,0.2476,0.1488,0.2476,0.1465,1.0315,15.6453,31.2906,46.9359
17,0.7278,0.7336,0.2476,0.1493,0.2476,0.1468,1.0285,15.6453,15.6453,31.2906
18,0.7300,0.7360,0.2528,0.1497,0.2528,0.1473,1.0245,15.6453,31.2906,46.9359
19,0.7333,0.7366,0.2528,0.1502,0.2528,0.1474,1.0220,15.6453,15.6453,31.2906
20,0.7343,0.7386,0.2569,0.1504,0.2569,0.1479,1.0183,15.6453,31.2906,46.9359
