round,cluster_id,accuracy,samples
0,0,0.3685,2000
0,1,0.5007,1500
0,2,0.4807,1500
0,3,0.5575,2000
0,4,0.3140,1000
0,5,0.3520,500
0,6,0.3620,500
0,7,0.5060,500
0,8,0.4540,500
1,0,0.6455,2000
1,1,0.5960,1500
1,2,0.5807,1500
1,3,0.6205,2000
1,4,0.4430,1000
1,5,0.4560,500
1,6,0.4860,500
1,7,0.6120,500
1,8,0.5540,500
2,0,0.7107,1500
2,1,0.6415,2000
2,2,0.6090,2000
2,3,0.6370,2000
2,4,0.5360,1500
2,5,0.5100,500
2,9,0.7020,500
3,0,0.7333,1500
3,1,0.6520,2000
3,2,0.6265,2000
3,3,0.6440,2000
3,4,0.5587,1500
3,5,0.5260,500
3,9,0.7100,500
4,0,0.7700,500
4,1,0.6675,2000
4,2,0.6355,2000
4,3,0.6505,2000
4,4,0.5805,2000
4,9,0.7210,1000
4,10,0.7500,500
5,0,0.7760,500
5,1,0.6750,2000
5,2,0.6460,2000
5,3,0.6595,2000
5,4,0.5945,2000
5,9,0.7370,1000
5,10,0.7600,500
6,0,0.7720,500
6,1,0.6830,2000
6,2,0.6535,2000
6,3,0.6705,2000
6,4,0.6225,2000
6,9,0.7467,1500
7,0,0.7780,500
7,1,0.6910,2000
7,2,0.6620,2000
7,3,0.6760,2000
7,4,0.6300,2000
7,9,0.7567,1500
8,1,0.6955,2000
8,2,0.6655,2000
8,3,0.6875,2000
8,4,0.6467,1500
8,9,0.7665,2000
8,10,0.6560,500
9,1,0.7010,2000
9,2,0.6725,2000
9,3,0.6950,2000
9,4,0.6540,1500
9,9,0.7685,2000
9,10,0.6620,500
10,1,0.6987,1500
10,2,0.6765,2000
10,3,0.7053,1500
10,4,0.6570,2000
10,9,0.7760,1500
10,11,0.7540,500
10,12,0.6960,500
10,13,0.7420,500
11,1,0.7020,1500
11,2,0.6835,2000
11,3,0.7107,1500
11,4,0.6610,2000
11,9,0.7813,1500
11,11,0.7560,500
11,12,0.7000,500
11,13,0.7480,500
12,1,0.6910,1000
12,2,0.6860,2000
12,3,0.7120,2000
12,4,0.6705,2000
12,9,0.7765,2000
12,13,0.7440,1000
13,1,0.6970,1000
13,2,0.6925,2000
13,3,0.7130,2000
13,4,0.6760,2000
13,9,0.7810,2000
13,13,0.7490,1000
14,1,0.6900,500
14,2,0.6985,2000
14,3,0.7145,2000
14,4,0.6795,2000
14,9,0.7880,1500
14,13,0.7347,1500
14,14,0.7560,500
15,1,0.6920,500
15,2,0.7025,2000
15,3,0.7170,2000
15,4,0.6810,2000
15,9,0.7940,1500
15,13,0.7380,1500
15,14,0.7560,500
16,2,0.7060,2000
16,3,0.7200,2000
16,4,0.6830,2000
16,9,0.7850,2000
16,13,0.7305,2000
17,2,0.7100,2000
17,3,0.7210,2000
17,4,0.6865,2000
17,9,0.7865,2000
17,13,0.7350,2000
18,2,0.7150,2000
18,3,0.7240,2000
18,4,0.6870,2000
18,9,0.7850,1000
18,13,0.7375,2000
18,14,0.7880,1000
19,2,0.7210,2000
19,3,0.7275,2000
19,4,0.6845,2000
19,9,0.7860,1000
19,13,0.7440,2000
19,14,0.7930,1000
20,2,0.7207,1500
20,3,0.7295,2000
20,4,0.6850,2000
20,9,0.7900,2000
20,13,0.7465,2000
20,15,0.7200,500
