round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4096,0.5603,0.1543,0.1476,0.1543,0.1305,1.6547,15.6453,31.2906,46.9359
1,0.5464,0.6241,0.1543,0.1439,0.1543,0.1285,1.3554,15.6453,15.6453,31.2906
2,0.4981,0.6456,0.1734,0.1625,0.1734,0.1306,1.2456,15.6453,31.2906,46.9359
3,0.5278,0.6577,0.1734,0.1621,0.1734,0.1322,1.1949,15.6453,15.6453,31.2906
4,0.5162,0.6673,0.1884,0.1733,0.1884,0.1341,1.1517,15.6453,31.2906,46.9359
5,0.5309,0.6760,0.1884,0.1744,0.1884,0.1356,1.1317,15.6453,15.6453,31.2906
6,0.5425,0.6854,0.2024,0.1779,0.2024,0.1375,1.1064,15.6453,31.2906,46.9359
7,0.5523,0.6938,0.2024,0.1786,0.2024,0.1391,1.0948,15.6453,15.6453,31.2906
8,0.5323,0.6992,0.2086,0.1859,0.2086,0.1401,1.0796,15.6453,31.2906,46.9359
9,0.5407,0.7056,0.2086,0.1865,0.2086,0.1414,1.0711,15.6453,15.6453,31.2906
10,0.5392,0.7108,0.2191,0.1952,0.2191,0.1423,1.0613,15.6453,31.2906,46.9359
11,0.5449,0.7146,0.2191,0.1953,0.2191,0.1431,1.0545,15.6453,15.6453,31.2906
12,0.5493,0.7184,0.2227,0.1982,0.2227,0.1438,1.0466,15.6453,31.2906,46.9359
13,0.5539,0.7215,0.2227,0.1981,0.2227,0.1444,1.0421,15.6453,15.6453,31.2906
14,0.5601,0.7247,0.2344,0.2038,0.2344,0.1450,1.0341,15.6453,31.2906,46.9359
15,0.5639,0.7275,0.2344,0.2039,0.2344,0.1455,1.0299,15.6453,15.6453,31.2906
16,0.5625,0.7307,0.2423,0.2052,0.2423,0.1462,1.0209,15.6453,31.2906,46.9359
17,0.5639,0.7329,0.2423,0.2049,0.2423,0.1467,1.0178,15.6453,15.6453,31.2906
18,0.5684,0.7351,0.2479,0.2107,0.2479,0.1472,1.0100,15.6453,31.2906,46.9359
19,0.5723,0.7369,0.2479,0.2106,0.2479,0.1475,1.0075,15.6453,15.6453,31.2906
20,0.5776,0.7388,0.2528,0.2122,0.2528,0.1479,1.0009,15.6453,31.2906,46.9359
