round,cluster_id,accuracy,samples
0,0,0.3200,2000
0,1,0.5195,2000
0,2,0.4320,1500
0,3,0.4853,1500
0,4,0.2760,1000
0,5,0.3040,500
0,6,0.3160,500
0,7,0.4960,500
0,8,0.4140,500
1,0,0.5935,2000
1,1,0.6025,2000
1,2,0.5540,1500
1,3,0.5627,1500
1,4,0.3950,1000
1,5,0.4160,500
1,6,0.4600,500
1,7,0.6040,500
1,8,0.5240,500
2,0,0.5307,1500
2,1,0.5310,2000
2,2,0.5260,2000
2,3,0.5635,2000
2,4,0.3460,1500
2,5,0.3280,500
2,9,0.5220,500
3,0,0.5753,1500
3,1,0.5490,2000
3,2,0.5470,2000
3,3,0.5730,2000
3,4,0.4020,1500
3,5,0.3760,500
3,9,0.5720,500
4,0,0.5860,500
4,1,0.5250,2000
4,2,0.5460,2000
4,3,0.5650,2000
4,4,0.3810,2000
4,9,0.5700,1000
4,10,0.5300,500
5,0,0.5920,500
5,1,0.5365,2000
5,2,0.5570,2000
5,3,0.5760,2000
5,4,0.4100,2000
5,9,0.5830,1000
5,10,0.5420,500
6,0,0.6120,500
6,1,0.5445,2000
6,2,0.5700,2000
6,3,0.5750,2000
6,4,0.4240,2000
6,9,0.5947,1500
7,0,0.6140,500
7,1,0.5525,2000
7,2,0.5800,2000
7,3,0.5795,2000
7,4,0.4460,2000
7,9,0.6000,1500
8,1,0.5065,2000
8,2,0.5980,2000
8,3,0.5715,2000
8,4,0.3960,1500
8,9,0.5850,2000
8,10,0.4140,500
9,1,0.5155,2000
9,2,0.6025,2000
9,3,0.5790,2000
9,4,0.4140,1500
9,9,0.5895,2000
9,10,0.4260,500
10,1,0.5087,1500
10,2,0.6145,2000
10,3,0.5660,1500
10,4,0.3925,2000
10,9,0.6020,1500
10,11,0.6040,500
10,12,0.5240,500
10,13,0.5980,500
11,1,0.5147,1500
11,2,0.6190,2000
11,3,0.5673,1500
11,4,0.4040,2000
11,9,0.6060,1500
11,11,0.6100,500
11,12,0.5320,500
11,13,0.6000,500
12,1,0.5015,2000
12,2,0.6370,2000
12,3,0.5590,1000
12,4,0.3980,2000
12,9,0.6145,2000
12,13,0.6320,1000
13,1,0.5055,2000
13,2,0.6370,2000
13,3,0.5630,1000
13,4,0.4080,2000
13,9,0.6185,2000
13,13,0.6380,1000
14,1,0.5175,2000
14,2,0.6320,2000
14,3,0.6005,2000
14,4,0.4210,2000
14,9,0.6360,1500
14,14,0.6100,500
15,1,0.5210,2000
15,2,0.6380,2000
15,3,0.6005,2000
15,4,0.4265,2000
15,9,0.6400,1500
15,14,0.6140,500
16,1,0.5145,2000
16,2,0.6325,2000
16,3,0.6040,2000
16,4,0.4340,2000
16,9,0.6275,2000
17,1,0.5150,2000
17,2,0.6335,2000
17,3,0.6060,2000
17,4,0.4375,2000
17,9,0.6275,2000
18,1,0.5200,2000
18,2,0.6295,2000
18,3,0.6000,2000
18,4,0.4530,2000
18,9,0.6360,1000
18,10,0.6430,1000
19,1,0.5230,2000
19,2,0.6320,2000
19,3,0.6045,2000
19,4,0.4575,2000
19,9,0.6440,1000
19,10,0.6450,1000
20,1,0.5260,2000
20,2,0.6293,1500
20,3,0.6035,2000
20,4,0.4730,2000
20,9,0.6515,2000
20,11,0.6480,500
