round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4297,0.5718,0.1525,0.1466,0.1525,0.1295,1.6070,26.0750,31.2906,57.3656
1,0.5593,0.6354,0.1525,0.1414,0.1525,0.1297,1.3339,26.0750,26.0750,52.1500
2,0.5783,0.6576,0.1478,0.1466,0.1478,0.1323,1.2419,26.0750,31.2906,57.3656
3,0.6052,0.6713,0.1478,0.1473,0.1478,0.1348,1.1936,26.0750,26.0750,52.1500
4,0.6056,0.6827,0.1464,0.1503,0.1464,0.1368,1.1683,26.0750,31.2906,57.3656
5,0.6197,0.6916,0.1464,0.1526,0.1464,0.1386,1.1486,26.0750,26.0750,52.1500
6,0.5912,0.7037,0.1662,0.1666,0.1662,0.1409,1.1251,26.0750,31.2906,57.3656
7,0.5999,0.7114,0.1662,0.1677,0.1662,0.1424,1.1133,26.0750,26.0750,52.1500
8,0.5735,0.7181,0.1107,0.1468,0.1107,0.1437,1.1255,26.0750,31.2906,57.3656
9,0.5818,0.7202,0.1107,0.1478,0.1107,0.1441,1.1172,26.0750,26.0750,52.1500
10,0.5873,0.7248,0.1867,0.1847,0.1867,0.1450,1.0625,26.0750,31.2906,57.3656
11,0.5927,0.7270,0.1867,0.1849,0.1867,0.1455,1.0556,26.0750,26.0750,52.1500
12,0.6236,0.7314,0.2120,0.1861,0.2120,0.1463,1.0354,26.0750,31.2906,57.3656
13,0.6285,0.7353,0.2120,0.1863,0.2120,0.1471,1.0307,26.0750,26.0750,52.1500
14,0.6349,0.7386,0.2167,0.1873,0.2167,0.1477,1.0254,26.0750,31.2906,57.3656
15,0.6382,0.7418,0.2167,0.1871,0.2167,0.1484,1.0215,26.0750,26.0750,52.1500
16,0.6428,0.7442,0.2228,0.1874,0.2228,0.1488,1.0162,26.0750,31.2906,57.3656
17,0.6470,0.7475,0.2228,0.1872,0.2228,0.1495,1.0129,26.0750,26.0750,52.1500
18,0.5733,0.7487,0.2210,0.2025,0.2210,0.1497,1.0187,26.0750,31.2906,57.3656
19,0.5768,0.7506,0.2210,0.2028,0.2210,0.1502,1.0163,26.0750,26.0750,52.1500
20,0.5863,0.7522,0.2122,0.1950,0.2122,0.1505,1.0209,26.0750,31.2906,57.3656
