round,cluster_id,accuracy,samples
0,0,0.5410,2000
0,1,0.5053,1500
0,2,0.3460,2000
0,3,0.4540,1500
0,4,0.2870,1000
0,5,0.3440,500
0,6,0.4300,500
0,7,0.3020,500
0,8,0.5180,500
1,0,0.6125,2000
1,1,0.5933,1500
1,2,0.5935,2000
1,3,0.5627,1500
1,4,0.4150,1000
1,5,0.4760,500
1,6,0.5340,500
1,7,0.4340,500
1,8,0.6200,500
2,0,0.6050,2000
2,1,0.5785,2000
2,2,0.6853,1500
2,3,0.5440,2000
2,4,0.4893,1500
2,7,0.4660,500
2,9,0.6660,500
3,0,0.6160,2000
3,1,0.6045,2000
3,2,0.7153,1500
3,3,0.5815,2000
3,4,0.5200,1500
3,7,0.4960,500
3,9,0.6940,500
4,0,0.5980,2000
4,1,0.5970,2000
4,2,0.7620,500
4,3,0.5730,2000
4,4,0.5065,2000
4,9,0.7360,1000
4,10,0.7800,500
5,0,0.6085,2000
5,1,0.6115,2000
5,2,0.7680,500
5,3,0.5900,2000
5,4,0.5305,2000
5,9,0.7390,1000
5,10,0.7860,500
6,0,0.5640,2000
6,1,0.5790,2000
6,3,0.5785,2000
6,4,0.4925,2000
6,9,0.7340,1500
6,10,0.7660,500
7,0,0.5705,2000
7,1,0.5840,2000
7,3,0.5885,2000
7,4,0.5105,2000
7,9,0.7367,1500
7,10,0.7740,500
8,0,0.5275,2000
8,1,0.5750,2000
8,3,0.5330,2000
8,4,0.5927,1500
8,9,0.6445,2000
8,11,0.5720,500
9,0,0.5385,2000
9,1,0.5855,2000
9,3,0.5410,2000
9,4,0.5967,1500
9,9,0.6510,2000
9,11,0.5820,500
10,0,0.5853,1500
10,1,0.6060,1500
10,3,0.5795,2000
10,4,0.5393,1500
10,9,0.6313,1500
10,12,0.6200,500
10,13,0.5700,500
10,14,0.5200,500
10,15,0.6320,500
11,0,0.5913,1500
11,1,0.6113,1500
11,3,0.5860,2000
11,4,0.5440,1500
11,9,0.6367,1500
11,12,0.6200,500
11,13,0.5780,500
11,14,0.5300,500
11,15,0.6320,500
12,0,0.5945,2000
12,1,0.6870,1000
12,3,0.6435,2000
12,4,0.5615,2000
12,9,0.6080,2000
12,15,0.7340,1000
13,0,0.6015,2000
13,1,0.6900,1000
13,3,0.6490,2000
13,4,0.5665,2000
13,9,0.6120,2000
13,15,0.7370,1000
14,0,0.6065,2000
14,1,0.7195,2000
14,3,0.6570,2000
14,4,0.5720,2000
14,9,0.6195,2000
15,0,0.6085,2000
15,1,0.7215,2000
15,3,0.6620,2000
15,4,0.5765,2000
15,9,0.6225,2000
16,0,0.6115,2000
16,1,0.7305,2000
16,3,0.6680,2000
16,4,0.5810,2000
16,9,0.6230,2000
17,0,0.6180,2000
17,1,0.7305,2000
17,3,0.6755,2000
17,4,0.5830,2000
17,9,0.6280,2000
18,0,0.4770,2000
18,1,0.5935,2000
18,3,0.6920,1000
18,4,0.4080,2000
18,9,0.6920,1000
18,10,0.6950,1000
18,11,0.6970,1000
19,0,0.4820,2000
19,1,0.5980,2000
19,3,0.6960,1000
19,4,0.4115,2000
19,9,0.6930,1000
19,10,0.6960,1000
19,11,0.7000,1000
20,0,0.4645,2000
20,1,0.6435,2000
20,3,0.7220,1500
20,4,0.4120,2000
20,9,0.6805,2000
20,11,0.7580,500
