exp_id,teacher_mode,teacher_source,teacher_desc,gm_hidden,pm_hidden,sum_hidden,final_round,pm_local_final,gm_global_final,global_final,local_final,total_mb_last,uplink_mb_last,downlink_mb_last,wrapper_params,baseline_params,wrapper_model_mb,baseline_model_mb,combined_score,source_acc_path,console_log
exp_001_client_all_gm256_pm1280,client_all,client,all client PM teachers,256,1280,1536,20,0.7522,0.2611,0.1517,0.7476,57.3656,26.0750,31.2906,1027924,1030666,3.921219,3.931679,0.506650,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1280_Fext_SmallFExt/pat/NC_20/date_20260219/time_083658/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_001_client_all_gm256_pm1280.log
exp_002_client_all_gm384_pm1152,client_all,client,all client PM teachers,384,1152,1536,20,0.7481,0.2511,0.1511,0.7427,54.7581,23.4676,31.2906,1027924,1030666,3.921219,3.931679,0.499600,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W384_PM_VGG8W1152_Fext_SmallFExt/pat/NC_20/date_20260219/time_090719/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_002_client_all_gm384_pm1152.log
exp_003_client_all_gm512_pm1024,client_all,client,all client PM teachers,512,1024,1536,20,0.7486,0.2556,0.1513,0.7444,52.1507,20.8601,31.2906,1027924,1030666,3.921219,3.931679,0.502100,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W512_PM_VGG8W1024_Fext_SmallFExt/pat/NC_20/date_20260219/time_093852/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_003_client_all_gm512_pm1024.log
exp_004_client_all_gm640_pm896,client_all,client,all client PM teachers,640,896,1536,20,0.7429,0.2609,0.1506,0.7392,49.5433,18.2527,31.2906,1027924,1030666,3.921219,3.931679,0.501900,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W640_PM_VGG8W896_Fext_SmallFExt/pat/NC_20/date_20260219/time_101137/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_004_client_all_gm640_pm896.log
exp_005_client_all_gm768_pm768,client_all,client,all client PM teachers,768,768,1536,20,0.7384,0.2552,0.1503,0.7330,46.9359,15.6453,31.2906,1027924,1030666,3.921219,3.931679,0.496800,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W768_PM_VGG8W768_Fext_SmallFExt/pat/NC_20/date_20260219/time_104422/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_005_client_all_gm768_pm768.log
exp_006_cluster_all_gm256_pm1280,cluster_all,cluster,all cluster representative PM teachers,256,1280,1536,20,0.7508,0.2604,0.1516,0.7457,57.3656,26.0750,31.2906,1027924,1030666,3.921219,3.931679,0.505600,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1280_Fext_SmallFExt/pat/NC_20/date_20260219/time_111654/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_006_cluster_all_gm256_pm1280.log
exp_007_cluster_all_gm384_pm1152,cluster_all,cluster,all cluster representative PM teachers,384,1152,1536,20,0.7466,0.2499,0.1511,0.7423,54.7581,23.4676,31.2906,1027924,1030666,3.921219,3.931679,0.498250,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W384_PM_VGG8W1152_Fext_SmallFExt/pat/NC_20/date_20260219/time_114741/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_007_cluster_all_gm384_pm1152.log
exp_008_cluster_all_gm512_pm1024,cluster_all,cluster,all cluster representative PM teachers,512,1024,1536,20,0.7489,0.2581,0.1515,0.7437,52.1507,20.8601,31.2906,1027924,1030666,3.921219,3.931679,0.503500,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W512_PM_VGG8W1024_Fext_SmallFExt/pat/NC_20/date_20260219/time_121824/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_008_cluster_all_gm512_pm1024.log
exp_009_cluster_all_gm640_pm896,cluster_all,cluster,all cluster representative PM teachers,640,896,1536,20,0.7430,0.2595,0.1506,0.7395,49.5433,18.2527,31.2906,1027924,1030666,3.921219,3.931679,0.501250,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W640_PM_VGG8W896_Fext_SmallFExt/pat/NC_20/date_20260219/time_124926/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_009_cluster_all_gm640_pm896.log
exp_010_cluster_all_gm768_pm768,cluster_all,cluster,all cluster representative PM teachers,768,768,1536,20,0.7386,0.2569,0.1504,0.7343,46.9359,15.6453,31.2906,1027924,1030666,3.921219,3.931679,0.497750,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W768_PM_VGG8W768_Fext_SmallFExt/pat/NC_20/date_20260219/time_132135/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_010_cluster_all_gm768_pm768.log
exp_011_client_conf_gm256_pm1280,client_conf,client,confidence-filtered client PM teachers,256,1280,1536,20,0.7521,0.2652,0.2281,0.5701,57.3656,26.0750,31.2906,1027924,1030666,3.921219,3.931679,0.508650,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1280_Fext_SmallFExt/pat/NC_20/date_20260219/time_135307/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_011_client_conf_gm256_pm1280.log
exp_012_client_conf_gm384_pm1152,client_conf,client,confidence-filtered client PM teachers,384,1152,1536,20,0.7470,0.2566,0.2186,0.5746,54.7581,23.4676,31.2906,1027924,1030666,3.921219,3.931679,0.501800,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W384_PM_VGG8W1152_Fext_SmallFExt/pat/NC_20/date_20260219/time_142636/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_012_client_conf_gm384_pm1152.log
exp_013_client_conf_gm512_pm1024,client_conf,client,confidence-filtered client PM teachers,512,1024,1536,20,0.7485,0.2599,0.2237,0.5723,52.1507,20.8601,31.2906,1027924,1030666,3.921219,3.931679,0.504200,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W512_PM_VGG8W1024_Fext_SmallFExt/pat/NC_20/date_20260219/time_145947/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_013_client_conf_gm512_pm1024.log
exp_014_client_conf_gm640_pm896,client_conf,client,confidence-filtered client PM teachers,640,896,1536,20,0.7431,0.2637,0.2284,0.5566,49.5433,18.2527,31.2906,1027924,1030666,3.921219,3.931679,0.503400,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W640_PM_VGG8W896_Fext_SmallFExt/pat/NC_20/date_20260219/time_153323/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_014_client_conf_gm640_pm896.log
exp_015_client_conf_gm768_pm768,client_conf,client,confidence-filtered client PM teachers,768,768,1536,20,0.7388,0.2528,0.2122,0.5776,46.9359,15.6453,31.2906,1027924,1030666,3.921219,3.931679,0.495800,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W768_PM_VGG8W768_Fext_SmallFExt/pat/NC_20/date_20260219/time_160441/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_015_client_conf_gm768_pm768.log
exp_016_cluster_conf_gm256_pm1280,cluster_conf,cluster,confidence-filtered cluster PM teachers,256,1280,1536,20,0.7522,0.2122,0.1950,0.5863,57.3656,26.0750,31.2906,1027924,1030666,3.921219,3.931679,0.482200,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1280_Fext_SmallFExt/pat/NC_20/date_20260219/time_163538/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_016_cluster_conf_gm256_pm1280.log
exp_017_cluster_conf_gm384_pm1152,cluster_conf,cluster,confidence-filtered cluster PM teachers,384,1152,1536,20,0.7479,0.2061,0.1985,0.5774,54.7581,23.4676,31.2906,1027924,1030666,3.921219,3.931679,0.477000,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W384_PM_VGG8W1152_Fext_SmallFExt/pat/NC_20/date_20260219/time_170412/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_017_cluster_conf_gm384_pm1152.log
exp_018_cluster_conf_gm512_pm1024,cluster_conf,cluster,confidence-filtered cluster PM teachers,512,1024,1536,20,0.7496,0.1822,0.1822,0.5771,52.1507,20.8601,31.2906,1027924,1030666,3.921219,3.931679,0.465900,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W512_PM_VGG8W1024_Fext_SmallFExt/pat/NC_20/date_20260219/time_173259/acc.csv,/home/mulsoap0504/FedCD/compare/20260219_083651/console/exp_018_cluster_conf_gm512_pm1024.log
