dataset,method,rho,metric,completed_runs,used_runs,mean,std,formatted,sources

cifar10,FedDST,0.0,local_test_acc,8,3,39.7800000000,0.0000000000,39.78 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_003548\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_021734\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_035537\acc.csv

cifar10,FedDST,0.2,local_test_acc,5,3,37.9333333333,0.5831237719,37.93 ± 0.58,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260618\time_102019\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_041716\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_114920\acc.csv

cifar10,FedDST,0.4,local_test_acc,5,3,36.7500000000,0.1385640646,36.75 ± 0.14,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260618\time_104103\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_043835\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_121021\acc.csv

cifar10,FedDST,0.6,local_test_acc,5,3,35.7833333333,0.8198373822,35.78 ± 0.82,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260618\time_110144\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_045931\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_123111\acc.csv

cifar10,FedDST,0.8,local_test_acc,5,3,35.2266666667,1.0507774899,35.23 ± 1.05,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260618\time_112227\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_052019\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_125212\acc.csv

FashionMNIST,FedDST,0.0,local_test_acc,6,3,92.5800000000,0.0000000000,92.58 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_003532\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_021725\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_054105\acc.csv

FashionMNIST,FedDST,0.2,local_test_acc,5,3,77.6600000000,12.3668427660,77.66 ± 12.37,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260618\time_120303\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_060119\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_131407\acc.csv

FashionMNIST,FedDST,0.4,local_test_acc,5,3,73.5900000000,9.1971897882,73.59 ± 9.20,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260618\time_122320\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_062136\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_133512\acc.csv

FashionMNIST,FedDST,0.6,local_test_acc,5,3,70.7366666667,6.6568486038,70.74 ± 6.66,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260618\time_124322\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_064150\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_135619\acc.csv

