dataset,method,rho,date,metric,completed_runs,used_runs,mean,std,formatted,sources
cifar10,FedDST,0.0,date_20260619,local_test_acc,3,3,39.7800000000,0.0000000000,39.78 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_003548\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_021734\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_035537\acc.csv
cifar10,FedDST,0.2,date_20260619,local_test_acc,2,2,38.2700000000,0.0000000000,38.27 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_041716\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_114920\acc.csv
cifar10,FedDST,0.4,date_20260619,local_test_acc,2,2,36.6700000000,0.0000000000,36.67 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_043835\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_121021\acc.csv
cifar10,FedDST,0.6,date_20260619,local_test_acc,2,2,35.3100000000,0.0000000000,35.31 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_045931\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_123111\acc.csv
cifar10,FedDST,0.8,date_20260619,local_test_acc,2,2,34.6200000000,0.0000000000,34.62 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_052019\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_125212\acc.csv
FashionMNIST,FedDST,0.0,date_20260619,local_test_acc,3,3,92.5800000000,0.0000000000,92.58 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_003532\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_021725\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_054105\acc.csv
FashionMNIST,FedDST,0.2,date_20260619,local_test_acc,2,2,84.8000000000,0.0000000000,84.80 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_060119\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_131407\acc.csv
FashionMNIST,FedDST,0.4,date_20260619,local_test_acc,2,2,78.9000000000,0.0000000000,78.90 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_062136\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_133512\acc.csv
FashionMNIST,FedDST,0.6,date_20260619,local_test_acc,2,2,74.5800000000,0.0000000000,74.58 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_064150\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_135619\acc.csv
FashionMNIST,FedDST,0.8,date_20260619,local_test_acc,2,2,71.2800000000,0.0000000000,71.28 ± 0.00,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_070208\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\FashionMNIST\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_141722\acc.csv
