dataset,rho,threshold,best_acc,server_pm_acc,oracle_pm_acc,offload_rate,best_round,run
cifar10,0.0,0.1,0.880984754268587,0.0,0.796875,0.0016,100,20260625/time_161728
cifar10,0.0,0.2,0.8789324023524897,0.0,0.8525641025641025,0.0039,100,20260625/time_161728
cifar10,0.0,0.3,0.8766834824050733,0.0,0.8415094339622642,0.006625,100,20260625/time_161728
cifar10,0.0,0.4,0.8733737968572235,0.0,0.8127853881278538,0.01095,100,20260625/time_161728
cifar10,0.0,0.5,0.8688689245557897,0.004457652303120356,0.8008915304606241,0.016825,100,20260625/time_161728
cifar10,0.2,0.1,0.7415401084834086,0.5115332428765265,0.8860244233378561,0.018425,85,20260625/time_161753
cifar10,0.2,0.2,0.745359415280825,0.4995648389904265,0.8885987815491732,0.028725,85,20260625/time_161753
cifar10,0.2,0.3,0.7454411560664511,0.47619047619047616,0.8772635814889336,0.037275,81,20260625/time_161753
cifar10,0.2,0.4,0.7465081235913705,0.4422187981510015,0.8751926040061633,0.048675,80,20260625/time_161753
cifar10,0.2,0.5,0.746550447348087,0.42317380352644834,0.874895046179681,0.05955,80,20260625/time_161753
cifar10,0.4,0.1,0.6410735663449705,0.5240641711229946,0.8885918003565062,0.02805,82,20260625/time_161808
cifar10,0.4,0.2,0.6478733754512137,0.5097276264591439,0.8949416342412452,0.044975,82,20260625/time_161808
cifar10,0.4,0.3,0.6517877102474187,0.49806451612903224,0.8916129032258064,0.058125,79,20260625/time_161808
cifar10,0.4,0.4,0.6557441390579073,0.48834782608695654,0.8907826086956522,0.071875,79,20260625/time_161808
cifar10,0.4,0.5,0.6589038831748045,0.4777647747220597,0.8908718548858982,0.08545,79,20260625/time_161808
cifar10,0.6,0.1,0.5685237025018304,0.5406269993602048,0.8765195137555982,0.039075,83,20260625/time_161826
cifar10,0.6,0.2,0.5783651700605453,0.539046010975095,0.8712536935415788,0.059225,83,20260625/time_161826
cifar10,0.6,0.3,0.5859340836940103,0.5384362680683311,0.878449408672799,0.0761,82,20260625/time_161826
cifar10,0.6,0.4,0.5925208442819361,0.530010718113612,0.8788853161843515,0.0933,82,20260625/time_161826
cifar10,0.6,0.5,0.5989429674958191,0.5191196087149844,0.8766118274788796,0.11245,82,20260625/time_161826
cifar10,0.8,0.1,0.5171496381737374,0.5265214963707426,0.8955890563930765,0.044775,100,20260625/time_160454
cifar10,0.8,0.2,0.5291759275407709,0.5286693112152903,0.8954201226108908,0.069325,100,20260625/time_160454
cifar10,0.8,0.3,0.5383348890391723,0.5271635271635272,0.8875238875238876,0.091575,95,20260625/time_160454
cifar10,0.8,0.4,0.5472143003873349,0.5239154616240267,0.8876529477196885,0.112375,95,20260625/time_160454
cifar10,0.8,0.5,0.5544246086911556,0.5144724556489262,0.8885154061624649,0.133875,95,20260625/time_160454
fashionmnist,0.2,0.1,0.8713124529581677,0.8045060658578856,0.9958405545927209,0.072125,26,20260626/time_014737
fashionmnist,0.2,0.2,0.8776408981535372,0.7836879432624113,0.9940898345153665,0.0846,26,20260626/time_014737
fashionmnist,0.2,0.3,0.8813370142386315,0.7727150175249393,0.9921811809112968,0.092725,27,20260626/time_014737
fashionmnist,0.2,0.4,0.883285811065823,0.7536374845869297,0.9893958076448829,0.101375,24,20260626/time_014737
fashionmnist,0.2,0.5,0.8847987235806681,0.7380294659300184,0.9896408839779005,0.1086,27,20260626/time_014737
fashionmnist,0.4,0.1,0.795409765691306,0.8114736150645938,0.9770089774469017,0.114175,5,20260626/time_014743
fashionmnist,0.4,0.2,0.8044011647205187,0.8009645705805973,0.991652754590985,0.134775,26,20260626/time_014743
fashionmnist,0.4,0.3,0.8111626032671576,0.7871695571645058,0.9900656676208116,0.148475,26,20260626/time_014743
fashionmnist,0.4,0.4,0.8162180900884414,0.7732295719844358,0.9892607003891051,0.160625,26,20260626/time_014743
fashionmnist,0.4,0.5,0.8192094200194211,0.7562915822967892,0.9884292739369396,0.17285,26,20260626/time_014743
