round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2313,2.2138,495.2512,10741.6435,11236.8947
1,0.4140,2.1190,495.2512,495.2512,990.5023
2,0.5609,2.0177,495.2512,495.2512,990.5023
3,0.6507,1.9080,495.2512,495.2512,990.5023
4,0.7238,1.7983,495.2512,10741.6435,11236.8947
5,0.7541,1.6871,495.2512,495.2512,990.5023
6,0.7749,1.5909,495.2512,495.2512,990.5023
7,0.7865,1.4995,495.2512,495.2512,990.5023
8,0.7966,1.4156,495.2512,10741.6435,11236.8947
9,0.8038,1.3485,495.2512,495.2512,990.5023
10,0.8081,1.2882,495.2512,495.2512,990.5023
11,0.8105,1.2391,495.2512,495.2512,990.5023
12,0.8103,1.1898,495.2512,10741.6435,11236.8947
13,0.8145,1.1494,495.2512,495.2512,990.5023
14,0.8163,1.1152,495.2512,495.2512,990.5023
15,0.8180,1.0819,495.2512,495.2512,990.5023
16,0.8202,1.0532,495.2512,10741.6435,11236.8947
17,0.8235,1.0264,495.2512,495.2512,990.5023
18,0.8259,1.0014,495.2512,495.2512,990.5023
19,0.8279,0.9800,495.2512,495.2512,990.5023
20,0.8287,0.9467,495.2512,10741.6435,11236.8947
21,0.8321,0.9197,495.2512,495.2512,990.5023
22,0.8347,0.8950,495.2512,495.2512,990.5023
23,0.8375,0.8743,495.2512,495.2512,990.5023
24,0.8374,0.8590,495.2512,10741.6435,11236.8947
25,0.8414,0.8393,495.2512,495.2512,990.5023
26,0.8440,0.8188,495.2512,495.2512,990.5023
27,0.8455,0.8043,495.2512,495.2512,990.5023
28,0.8443,0.7847,495.2512,10741.6435,11236.8947
29,0.8462,0.7711,495.2512,495.2512,990.5023
30,0.8475,0.7573,495.2512,495.2512,990.5023
31,0.8487,0.7457,495.2512,495.2512,990.5023
32,0.8457,0.7358,495.2512,10741.6435,11236.8947
33,0.8478,0.7261,495.2512,495.2512,990.5023
34,0.8483,0.7176,495.2512,495.2512,990.5023
35,0.8498,0.7081,495.2512,495.2512,990.5023
36,0.8491,0.7027,495.2512,10741.6435,11236.8947
37,0.8500,0.6891,495.2512,495.2512,990.5023
38,0.8512,0.6828,495.2512,495.2512,990.5023
39,0.8522,0.6753,495.2512,495.2512,990.5023
40,0.8546,0.6643,495.2512,10741.6435,11236.8947
41,0.8550,0.6571,495.2512,495.2512,990.5023
42,0.8559,0.6517,495.2512,495.2512,990.5023
43,0.8560,0.6466,495.2512,495.2512,990.5023
44,0.8518,0.6446,495.2512,10741.6435,11236.8947
45,0.8529,0.6382,495.2512,495.2512,990.5023
46,0.8536,0.6334,495.2512,495.2512,990.5023
47,0.8544,0.6283,495.2512,495.2512,990.5023
48,0.8541,0.6250,495.2512,10741.6435,11236.8947
49,0.8542,0.6187,495.2512,495.2512,990.5023
50,0.8546,0.6149,495.2512,495.2512,990.5023
51,0.8548,0.6116,495.2512,495.2512,990.5023
52,0.8747,0.5773,495.2512,10741.6435,11236.8947
