round,cluster_id,accuracy,samples
0,0,0.0060,665
0,1,0.0147,1363
0,2,0.2992,1063
0,3,0.1458,775
0,4,0.8451,794
0,5,0.4178,809
0,6,0.0550,291
0,7,0.2754,1282
0,8,0.0471,382
0,9,0.1492,744
0,10,0.2061,1082
0,11,0.3028,360
0,12,0.2423,454
0,13,0.2287,656
0,14,0.2805,1066
0,15,0.2143,406
0,16,0.1058,520
0,17,0.0841,1499
0,18,0.3055,491
0,19,0.6568,303
1,0,0.2496,665
1,1,0.3888,1363
1,2,0.4892,1063
1,3,0.2890,775
1,4,0.9547,794
1,5,0.5575,809
1,6,0.0928,291
1,7,0.8409,1282
1,8,0.0969,382
1,9,0.2339,744
1,10,0.2264,1082
1,11,0.4250,360
1,12,0.4581,454
1,13,0.3186,656
1,14,0.5216,1066
1,15,0.2734,406
1,16,0.1269,520
1,17,0.1775,1499
1,18,0.3585,491
1,19,0.8482,303
2,0,0.6241,665
2,1,0.8026,1363
2,2,0.6124,1063
2,3,0.3829,491
2,4,0.9824,794
2,5,0.2292,1082
2,6,0.2855,1499
2,7,0.6675,809
2,8,0.1443,291
2,9,0.4516,775
2,10,0.6366,454
2,11,0.9727,1282
2,12,0.5417,360
2,13,0.7017,1066
2,14,0.3948,656
2,15,0.3173,520
2,16,0.3522,406
2,17,0.8482,303
2,18,0.3629,744
2,19,0.2801,382
3,0,0.8496,665
3,1,0.9259,1363
3,2,0.7140,1063
3,3,0.3971,491
3,4,0.9950,794
3,5,0.2689,1082
3,6,0.3943,1499
3,7,0.7231,809
3,8,0.2234,291
3,9,0.6181,775
3,10,0.7533,454
3,11,0.9930,1282
3,12,0.5889,360
3,13,0.7786,1066
3,14,0.4192,656
3,15,0.5615,520
3,16,0.3941,406
3,17,0.8449,303
3,18,0.4745,744
3,19,0.4948,382
4,0,0.8707,665
4,1,0.9545,1363
4,2,0.3660,1082
4,3,0.7526,1063
4,4,0.9987,794
4,5,0.9252,775
4,6,0.4296,291
4,7,0.9938,1282
4,8,0.6440,382
4,9,0.8078,744
4,10,0.6576,809
4,11,0.7373,1066
4,12,0.8216,454
4,13,0.5722,360
4,14,0.5168,656
4,15,0.3177,406
4,16,0.7212,520
4,17,0.5544,1499
4,18,0.4094,491
4,19,0.8449,303
5,0,0.8707,665
5,1,0.9582,1363
5,2,0.4492,1082
5,3,0.7902,1063
5,4,1.0000,794
5,5,0.9445,775
5,6,0.5086,291
5,7,0.9945,1282
5,8,0.7382,382
5,9,0.8427,744
5,10,0.7268,809
5,11,0.7486,1066
5,12,0.8238,454
5,13,0.6222,360
5,14,0.5701,656
5,15,0.3424,406
5,16,0.7654,520
5,17,0.5904,1499
5,18,0.4277,491
5,19,0.8449,303
6,0,0.8707,665
6,1,0.9604,1363
6,2,0.8128,1063
6,3,0.9535,775
6,4,1.0000,794
6,5,0.5704,291
6,6,0.7553,809
6,7,0.4705,491
6,8,0.7827,382
6,9,0.8602,744
6,10,0.5046,1082
6,11,0.8260,454
6,12,0.7523,1066
6,13,0.6694,360
6,14,0.6570,656
6,15,0.3645,406
6,16,0.9945,1282
6,17,0.6164,1499
6,18,0.7654,520
6,19,0.8449,303
7,0,0.8707,665
7,1,0.9611,1363
7,2,0.8184,1063
7,3,0.9561,775
7,4,1.0000,794
7,5,0.6254,291
7,6,0.7738,809
7,7,0.4990,491
7,8,0.7853,382
7,9,0.8737,744
7,10,0.5296,1082
7,11,0.8260,454
7,12,0.7392,1066
7,13,0.7028,360
7,14,0.7210,656
7,15,0.3867,406
7,16,0.9945,1282
7,17,0.6384,1499
7,18,0.7654,520
7,19,0.8449,303
8,0,0.8496,665
8,1,0.9611,1363
8,2,0.8100,1063
8,3,0.9561,775
8,4,1.0000,794
8,5,0.5636,291
8,6,0.7923,809
8,7,0.9945,1282
8,8,0.7984,382
8,9,0.8548,744
8,10,0.5684,1082
8,11,0.8260,454
8,12,0.7139,360
8,13,0.7835,656
8,14,0.7420,1066
8,15,0.5345,406
8,16,0.7654,520
8,17,0.6504,1499
8,18,0.5356,491
8,19,0.8449,303
9,0,0.8496,665
9,1,0.9618,1363
9,2,0.8062,1063
9,3,0.9561,775
9,4,1.0000,794
9,5,0.6117,291
9,6,0.7923,809
9,7,0.9945,1282
9,8,0.8037,382
9,9,0.8763,744
9,10,0.5684,1082
9,11,0.8260,454
9,12,0.7222,360
9,13,0.8201,656
9,14,0.7392,1066
9,15,0.5271,406
9,16,0.7654,520
9,17,0.6798,1499
9,18,0.5642,491
9,19,0.8449,303
10,0,0.8496,665
10,1,1.0000,794
10,2,0.9618,1363
10,3,0.7984,382
10,4,0.8034,1063
10,5,0.7065,1499
10,6,0.6632,291
10,7,0.7361,360
10,8,0.5764,491
10,9,0.5619,1082
10,10,0.9561,775
10,11,0.8282,454
10,12,0.9945,1282
10,13,0.8415,656
10,14,0.7326,1066
10,15,0.7654,520
10,16,0.5345,406
10,17,0.8449,303
10,18,0.7936,809
10,19,0.8750,744
