round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1951,2.2379,495.2512,10741.6435,11236.8947
1,0.3027,2.1606,495.2512,495.2512,990.5023
2,0.3915,2.0801,495.2512,495.2512,990.5023
3,0.4835,1.9957,495.2512,495.2512,990.5023
4,0.5430,1.9083,495.2512,10741.6435,11236.8947
5,0.6077,1.8196,495.2512,495.2512,990.5023
6,0.6570,1.7302,495.2512,495.2512,990.5023
7,0.6937,1.6407,495.2512,495.2512,990.5023
8,0.7480,1.5484,495.2512,10741.6435,11236.8947
9,0.7683,1.4598,495.2512,495.2512,990.5023
10,0.7817,1.3736,495.2512,495.2512,990.5023
11,0.7899,1.2908,495.2512,495.2512,990.5023
12,0.7218,1.2194,495.2512,10741.6435,11236.8947
13,0.7467,1.1456,495.2512,495.2512,990.5023
14,0.7676,1.0762,495.2512,495.2512,990.5023
15,0.7848,1.0120,495.2512,495.2512,990.5023
16,0.8239,0.9420,495.2512,10741.6435,11236.8947
17,0.8280,0.8870,495.2512,495.2512,990.5023
18,0.8327,0.8379,495.2512,495.2512,990.5023
19,0.8374,0.7925,495.2512,495.2512,990.5023
20,0.8414,0.7507,495.2512,10741.6435,11236.8947
21,0.8444,0.7136,495.2512,495.2512,990.5023
22,0.8487,0.6800,495.2512,495.2512,990.5023
23,0.8513,0.6498,495.2512,495.2512,990.5023
24,0.8501,0.6217,495.2512,10741.6435,11236.8947
25,0.8537,0.5968,495.2512,495.2512,990.5023
26,0.8552,0.5741,495.2512,495.2512,990.5023
27,0.8570,0.5542,495.2512,495.2512,990.5023
28,0.8484,0.5406,495.2512,10741.6435,11236.8947
29,0.8555,0.5237,495.2512,495.2512,990.5023
30,0.8588,0.5081,495.2512,495.2512,990.5023
31,0.8602,0.4942,495.2512,495.2512,990.5023
32,0.8462,0.4888,495.2512,10741.6435,11236.8947
33,0.8581,0.4747,495.2512,495.2512,990.5023
34,0.8617,0.4635,495.2512,495.2512,990.5023
35,0.8621,0.4537,495.2512,495.2512,990.5023
36,0.8526,0.4485,495.2512,10741.6435,11236.8947
37,0.8653,0.4346,495.2512,495.2512,990.5023
38,0.8659,0.4264,495.2512,495.2512,990.5023
39,0.8666,0.4182,495.2512,495.2512,990.5023
40,0.8677,0.4118,495.2512,10741.6435,11236.8947
41,0.8680,0.4058,495.2512,495.2512,990.5023
42,0.8690,0.4001,495.2512,495.2512,990.5023
